match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_goals,player_sofascoreId,stat_punches,stat_goalAssist
11368673,home,Almería,Álex Centelles,,,centelles-alex,Á. Centelles,D,20,185.0,70,M,964174,EUR,935971200,D,20,20,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,home,Almería,Iddrisu Baba,,,iddrisu-baba,I. Baba,M,14,182.0,943,M,914014,EUR,822268800,M,4,4,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,home,Almería,Ibrahima Kone,,,ibrahima-kone,I. Kone,F,9,190.0,817,M,873630,EUR,929491200,F,23,23,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,home,Almería,Marko Milovanović,Marko,Milovanović,marko-milovanovic,M. Milovanović,F,9,196.0,376,M,1100957,EUR,1059955200,F,29,29,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,away,Getafe,David Soria,,,david-soria,D. Soria,G,13,192.0,676,M,604258,EUR,733881600,G,13,13,False,38.0,22.0,27.0,11.0,16.0,17.0,6.0,21.0,7.0,5.0,10.0,90.0,52.0,8.9,16.0,0.00127697,0,0.8799,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
11368673,away,Getafe,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183.0,1021,M,1015240,EUR,1012262400,D,18,18,False,22.0,17.0,1.0,1.0,10.0,12.0,7.0,12.0,4.0,,,80.0,38.0,6.9,9.0,0.00449686,0,,2.0,,3.0,1.0,3.0,5.0,,1.0,1.0,,2.0,2.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,
11368673,away,Getafe,Djené,,,djene,Djené,D,2,178.0,2527,M,307702,EUR,694137600,D,2,2,False,39.0,30.0,7.0,1.0,24.0,27.0,6.0,13.0,4.0,,,90.0,47.0,6.7,10.0,0.00661162,1,,1.0,,1.0,1.0,3.0,4.0,,,,,,1.0,,1.0,0.0237,,,2.0,,1.0,,2.0,1.0,True,,0.0252,,,,,,,
11368673,away,Getafe,Omar Alderete,,,omar-alderete,O. Alderete,D,15,187.0,5163,M,805137,EUR,851558400,D,15,15,False,36.0,25.0,14.0,7.0,19.0,22.0,7.0,16.0,1.0,,,90.0,49.0,6.8,12.0,0.0342638,1,,2.0,1.0,1.0,,5.0,,,,,,7.0,1.0,,,0.0351,,1.0,3.0,,,2.0,,,,,,1.0,,,,,,
11368673,away,Getafe,Diego Rico,,,diego-rico,D. Rico,D,16,181.0,662,M,350560,EUR,730425600,D,16,16,False,34.0,23.0,8.0,3.0,13.0,13.0,10.0,23.0,3.0,,,90.0,55.0,6.4,19.0,0.00817557,0,,2.0,,,1.0,6.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,4.0,,,,,,,,,1.0,,,,,,
11368673,away,Getafe,Ilaix Moriba,,,ilaix-moriba,I. Moriba,M,6,183.0,6577,M,962890,EUR,1042934400,M,24,24,False,19.0,14.0,2.0,1.0,4.0,6.0,10.0,13.0,3.0,,,68.0,30.0,7.4,8.0,0.125327,1,,,,1.0,1.0,3.0,4.0,,1.0,,,1.0,,2.0,2.0,0.0409,2.0,,1.0,,1.0,,2.0,1.0,,,0.0603,,1.0,,,ilaixmk,,1.0
11368673,away,Getafe,Luis Milla,,,luis-milla,L. Milla,M,5,175.0,1429,M,811629,EUR,781488000,M,5,5,False,33.0,25.0,3.0,1.0,11.0,12.0,15.0,24.0,7.0,,,80.0,44.0,6.6,13.0,0.0283305,0,,3.0,1.0,,,5.0,2.0,1.0,,,,,2.0,2.0,,,1.0,,3.0,,,,2.0,,,,,1.0,,,,,,
11368673,away,Getafe,Mason Greenwood,,,mason-greenwood,M. Greenwood,F,10,181.0,65939,M,942116,EUR,1001894400,M,12,12,False,27.0,22.0,2.0,1.0,7.0,7.0,15.0,20.0,3.0,,,90.0,39.0,8.4,11.0,0.248702,3,,,,,,10.0,1.0,2.0,2.0,,1.0,,1.0,2.0,,0.8255,2.0,,3.0,,2.0,,1.0,1.0,,,1.2214,3.0,1.0,,2.0,MGreenwood,,1.0
11368673,away,Getafe,Nemanja Maksimović,,,nemanja-maksimovic,N. Maksimović,M,88,184.0,1287,M,331449,EUR,791078400,M,20,20,False,19.0,16.0,1.0,1.0,4.0,5.0,12.0,14.0,1.0,,,90.0,28.0,6.5,5.0,0.0021731,0,,,,1.0,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
