match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_dispossessed,captain,player_sofascoreId,stat_errorLeadToAShot,stat_goals,stat_totalOffside
12530765,home,Alanyaspor,Yusuf Karagöz,Yusuf Karagoz,,yusuf-karagoz,Y. Karagöz,G,99,195,33,M,1133582,EUR,939081600,G,99,99,False,44.0,33.0,18.0,8.0,0.0,27.0,30.0,6.0,14.0,14.0,1.0,3.0,3.0,2.0,2.0,90.0,56.0,6.9,11.0,0.00179822,0,0.8227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530765,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,50.0,36.0,10.0,4.0,0.0,15.0,19.0,24.0,39.0,6.0,,,,,,90.0,80.0,7.3,21.0,0.204864,1,,8.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,0.0691,1.0,,,,,,,,,,,,,,,,,,
12530765,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,67.0,54.0,8.0,4.0,0.0,42.0,45.0,12.0,22.0,7.0,,,,,,90.0,82.0,6.8,14.0,0.00792798,1,,,,4.0,9.0,1.0,,,3.0,2.0,1.0,1.0,0.0354,,2.0,3.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,
12530765,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,55.0,48.0,6.0,4.0,0.0,29.0,32.0,19.0,23.0,2.0,,,,,,90.0,72.0,7.4,8.0,0.0261565,1,,,,5.0,9.0,,,1.0,2.0,3.0,1.0,3.0,0.1198,2.0,3.0,4.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,
12530765,home,Alanyaspor,Jure Balkovec,,,jure-balkovec,J. Balkovec,D,29,185,292,M,171625,EUR,779068800,D,29,29,False,17.0,13.0,4.0,1.0,0.0,4.0,4.0,11.0,18.0,,,,,,,45.0,30.0,6.5,8.0,0.071961,0,,5.0,2.0,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
12530765,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,59.0,53.0,3.0,2.0,0.0,30.0,31.0,23.0,30.0,12.0,,,,,,90.0,74.0,7.0,9.0,0.0188305,2,,2.0,,6.0,4.0,,,,1.0,1.0,1.0,,0.3032,2.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0894,,,,,,,,
12530765,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,M,20,20,False,18.0,14.0,3.0,2.0,0.0,6.0,8.0,8.0,10.0,4.0,,,,,,45.0,22.0,6.1,5.0,0.00683123,1,,,,4.0,2.0,,,,,,1.0,,0.1836,,1.0,,1.0,1.0,,3.0,,1.0,,,1.0,1.0,,,,,,
12530765,home,Alanyaspor,Loide Augusto,Loide Augusto,,loide-augusto,L. Augusto,M,50,183,1033,M,1110708,EUR,951523200,M,27,27,False,37.0,32.0,1.0,1.0,0.0,10.0,11.0,22.0,27.0,2.0,,,,,,90.0,58.0,7.1,12.0,0.341369,4,,1.0,,5.0,3.0,,,1.0,,,2.0,1.0,0.0797,1.0,,,1.0,,,1.0,,,2.0,0.1237,5.0,2.0,1.0,,,,,
12530765,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,37.0,35.0,,,0.0,12.0,13.0,23.0,24.0,6.0,,,,,,90.0,46.0,7.0,5.0,0.0465706,0,,,,2.0,3.0,,,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,2.0,1.0,,True,,,,
12530765,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,39.0,36.0,3.0,2.0,0.0,11.0,11.0,26.0,32.0,4.0,,,,,,90.0,66.0,6.4,13.0,0.0793351,1,,4.0,1.0,8.0,5.0,,,1.0,1.0,,3.0,1.0,0.4778,1.0,2.0,,,2.0,,2.0,,1.0,,,2.0,2.0,4.0,,,,,
