match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_dispossessed,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_wonTackle,stat_accurateCross,stat_totalContest,stat_wonContest,stat_challengeLost,stat_blockedScoringAttempt,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,captain,stat_goalAssist,stat_totalOffside,stat_savedShotsFromInsideTheBox
10407330,home,Cercle Brugge,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191.0,1544,M,849114,EUR,942710400,G,1,1,False,20.0,18.0,5.0,3.0,16.0,16.0,2.0,4.0,1.0,8.0,1.0,3.0,90.0,32.0,6.8,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407330,home,Cercle Brugge,Robbe Decostere,robbe-decostere,R. Decostere,D,,180.0,23,M,943248,EUR,894585600,D,8,8,False,55.0,39.0,7.0,1.0,15.0,18.0,24.0,40.0,1.0,11.0,,,84.0,85.0,7.0,27.0,1,,,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,
10407330,home,Cercle Brugge,Boris Popović,boris-popovic,B. Popović,D,5,189.0,112,M,902050,EUR,951523200,D,5,5,False,68.0,55.0,8.0,3.0,42.0,46.0,13.0,23.0,4.0,6.0,,,90.0,80.0,7.1,15.0,0,,,1.0,,8.0,3.0,10.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10407330,home,Cercle Brugge,Jesper Daland,jesper-daland,J. Daland,D,2,188.0,224,M,958915,EUR,947116800,D,4,4,False,76.0,62.0,14.0,9.0,46.0,52.0,16.0,25.0,2.0,8.0,,,90.0,86.0,7.3,15.0,1,,,1.0,3.0,3.0,3.0,7.0,1.0,,1.0,,,3.0,1.0,,,3.0,,,,,,,,,,,,,
10407330,home,Cercle Brugge,Louis Torres,torres-louis,L. Torres,M,,182.0,10,M,976277,EUR,988502400,D,29,29,False,39.0,27.0,6.0,2.0,13.0,17.0,15.0,26.0,2.0,6.0,,,90.0,66.0,7.3,20.0,0,,,4.0,1.0,2.0,1.0,6.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,
10407330,home,Cercle Brugge,Leonardo Lopes,leonardo-lopes,L. Lopes,M,22,168.0,205,M,783478,EUR,912384000,M,22,22,False,36.0,27.0,3.0,1.0,14.0,17.0,13.0,19.0,,8.0,,,90.0,52.0,6.9,15.0,1,,,,,1.0,3.0,8.0,,,,5.0,1.0,4.0,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,
10407330,home,Cercle Brugge,Ayase Ueda,ueda-ayase,A. Ueda,F,9,182.0,7400,M,985823,EUR,904262400,M,36,36,False,12.0,7.0,,,2.0,2.0,6.0,11.0,,2.0,,,85.0,31.0,8.1,10.0,6,,,1.0,,,3.0,6.0,1.0,,,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,bee18,3.0,1.0,1.0,,,,
10407330,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,55.0,36.0,6.0,4.0,16.0,17.0,20.0,39.0,,11.0,,,90.0,62.0,7.0,20.0,1,,,1.0,,1.0,2.0,5.0,1.0,,1.0,,,2.0,2.0,1.0,,2.0,,,,1.0,,,,,,True,,,
10407330,home,Cercle Brugge,Thibo Somers,somers-thibo,T. Somers,F,24,183.0,218,M,1002804,EUR,921542400,F,34,34,False,13.0,9.0,2.0,1.0,2.0,3.0,7.0,10.0,,5.0,,,66.0,21.0,7.3,5.0,4,,,,,1.0,1.0,2.0,2.0,,2.0,,,1.0,,1.0,,,,,,1.0,,,2.0,1.0,,,,,
10407330,home,Cercle Brugge,Kévin Denkey,kevin-denkey,K. Denkey,F,9,181.0,3470,M,862470,EUR,975542400,F,9,9,False,19.0,14.0,1.0,1.0,2.0,3.0,12.0,17.0,1.0,4.0,,,90.0,41.0,7.7,14.0,2,,,1.0,,4.0,3.0,10.0,1.0,,1.0,6.0,2.0,2.0,3.0,1.0,4.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,
