match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,player_firstName,player_lastName,stat_unsuccessfulTouch,stat_fouls,captain,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_blockedScoringAttempt,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches
12117164,home,Grêmio,Agustín Marchesín,agustin-marchesin,A. Marchesín,G,1,188,1568,M,47339,EUR,574473600,G,1,1,False,18.0,5.0,17.0,4.0,0.0,2.0,2.0,3.0,16.0,5.0,1.0,1.0,90.0,21.0,6.8,13.0,0.00064299,0,0.0395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117164,home,Grêmio,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,865,M,168745,EUR,752284800,D,5,5,False,31.0,17.0,7.0,2.0,0.0,9.0,15.0,8.0,16.0,4.0,,,90.0,48.0,7.5,14.0,0.00439168,1,,4.0,6.0,4.0,8.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,0.0256,,,,,,,,,,,,,,,,,,,,,,,
12117164,home,Grêmio,Jemerson,jemerson,Jemerson,D,21,184,1651,M,328519,EUR,714614400,D,28,28,False,22.0,13.0,10.0,3.0,0.0,8.0,13.0,5.0,9.0,7.0,,,90.0,31.0,6.9,10.0,0.00397794,0,,3.0,1.0,5.0,2.0,1.0,1.0,,4.0,1.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
12117164,home,Grêmio,Walter Kannemann,walter-kannemann,W. Kannemann,D,4,183,2119,M,249647,EUR,668908800,D,4,4,False,14.0,5.0,4.0,2.0,0.0,3.0,8.0,2.0,6.0,1.0,,,90.0,32.0,7.0,12.0,0.00048523,1,,,4.0,5.0,6.0,,,1.0,6.0,,1.0,,0.1069,,,1.0,5.0,True,2.0,2.0,2.0,,,,,,,,,,,,,,,
12117164,home,Grêmio,João Pedro,joao-pedro,J. Pedro,D,18,179,1116,M,605528,EUR,848016000,M,18,18,False,28.0,20.0,5.0,1.0,0.0,3.0,6.0,17.0,25.0,5.0,,,89.0,67.0,7.2,18.0,0.0242019,2,,,,1.0,3.0,1.0,,1.0,7.0,1.0,,,0.0607,,,3.0,,,,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,
12117164,home,Grêmio,Mathias Villasanti,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,32.0,19.0,7.0,1.0,0.0,4.0,5.0,16.0,29.0,10.0,,,89.0,56.0,7.3,18.0,0.0420572,2,,1.0,1.0,4.0,8.0,5.0,4.0,,4.0,,2.0,2.0,0.0244,,,3.0,1.0,,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,
12117164,home,Grêmio,Dodi,dodi,Dodi,M,17,169,1040,M,870804,EUR,829699200,M,17,17,False,17.0,7.0,4.0,,0.0,1.0,4.0,6.0,13.0,5.0,,,89.0,28.0,6.6,11.0,0.00621545,1,,,,2.0,2.0,,,,2.0,,2.0,1.0,0.0191,,,1.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,
12117164,home,Grêmio,Reinaldo,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,M,6,6,False,21.0,18.0,5.0,3.0,0.0,5.0,5.0,14.0,18.0,8.0,,,90.0,52.0,7.4,13.0,0.0416906,3,,1.0,,2.0,4.0,2.0,1.0,1.0,2.0,,1.0,1.0,0.0929,,,4.0,,,,2.0,1.0,2.0,2.0,3.0,1.0,,,,,,,,,,,
12117164,home,Grêmio,Cristian Pavón,cristian-pavon,C. Pavón,M,7,169,2406,M,358956,EUR,822182400,F,21,21,False,23.0,16.0,1.0,,1.0,,1.0,17.0,26.0,4.0,,,72.0,44.0,7.5,15.0,0.158617,3,,3.0,1.0,9.0,3.0,2.0,1.0,1.0,,,1.0,1.0,0.2534,,,1.0,2.0,,3.0,,,4.0,1.0,2.0,1.0,,1.0,1.0,1.0,0.2473,,,,,,
12117164,home,Grêmio,Franco Cristaldo,franco-cristaldo,F. Cristaldo,M,10,175,2295,M,558820,EUR,840067200,F,10,10,False,28.0,21.0,1.0,,0.0,2.0,2.0,20.0,37.0,5.0,,,83.0,58.0,6.9,22.0,0.0901604,4,,7.0,3.0,14.0,7.0,2.0,1.0,1.0,,,1.0,2.0,0.5894,,,2.0,1.0,,2.0,1.0,1.0,11.0,2.0,2.0,1.0,3.0,,1.0,,0.3357,1.0,,,,,
