match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_penaltyConceded,stat_keyPass,stat_dispossessed,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
11396235,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,41.0,28.0,24.0,11.0,18.0,21.0,10.0,20.0,2.0,2.0,1.0,1.0,1.0,11.0,2.0,4.0,1.0,7.0,1.0,90.0,61.0,8.9,13.0,0.0168,0.00861917,2,2.543,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Danilho Doekhi,danilho-doekhi,D. Doekhi,D,5,187,772,M,830803,EUR,899164800,D,5,5,False,27.0,22.0,5.0,2.0,18.0,21.0,4.0,6.0,,2.0,,,,2.0,,,,,,90.0,37.0,6.8,5.0,,0.00220157,0,,,,3.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Kevin Vogt,kevin-vogt,K. Vogt,D,7,194,163,M,48660,EUR,685584000,D,2,2,False,44.0,40.0,8.0,4.0,37.0,38.0,3.0,6.0,1.0,3.0,,,5.0,2.0,,,,,,90.0,56.0,6.8,4.0,,0.00593666,0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,38.0,33.0,5.0,2.0,23.0,24.0,10.0,14.0,1.0,6.0,1.0,,1.0,5.0,,,,,,90.0,59.0,6.9,10.0,0.0294,0.00819871,1,,,,2.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,,1.0,3.0,2.0,,,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,14.0,10.0,1.0,1.0,7.0,9.0,4.0,10.0,1.0,3.0,,,2.0,5.0,,,,,,63.0,30.0,6.6,11.0,,0.0223721,0,,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,True,5.0,1.0,1.0,1.0,,,,,,,,
11396235,home,1. FC Union Berlin,Lucas Tousart,tousart-lucas,L. Tousart,M,24,185,445,M,787889,EUR,862272000,M,29,29,False,26.0,17.0,2.0,,11.0,13.0,6.0,13.0,2.0,2.0,,,3.0,6.0,,,,,,90.0,43.0,6.7,12.0,,0.0196682,0,,,,2.0,7.0,3.0,2.0,,,2.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,
11396235,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,25.0,18.0,,,6.0,9.0,12.0,17.0,,4.0,,1.0,1.0,2.0,,,,,,63.0,37.0,6.6,10.0,0.0263,0.0104421,1,,,,2.0,4.0,,2.0,4.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,15.0,11.0,4.0,1.0,6.0,6.0,5.0,10.0,,2.0,,1.0,1.0,3.0,,,,,,62.0,21.0,6.5,5.0,0.0449,0.0259723,1,,,,2.0,3.0,,,2.0,,,,,2.0,,1.0,,1.0,,,,,,,,,,,
11396235,home,1. FC Union Berlin,Robin Gosens,robin-gosens,R. Gosens,D,21,183,3171,M,377118,EUR,773366400,M,6,6,False,20.0,13.0,2.0,,5.0,7.0,9.0,14.0,2.0,3.0,1.0,,1.0,4.0,,,,,,48.0,34.0,5.8,9.0,0.0195,0.169992,1,,,,1.0,6.0,,2.0,,1.0,1.0,,,,,2.0,,1.0,1.0,,2.0,2.0,1.0,,,,,,
11396235,home,1. FC Union Berlin,Brenden Aaronson,brenden-aaronson,B. Aaronson,M,11,178,2605,M,973431,EUR,972172800,F,7,7,False,20.0,16.0,,,10.0,12.0,6.0,9.0,1.0,5.0,,,,8.0,,,,,,79.0,34.0,6.5,11.0,,0.0105192,0,,,,,5.0,,,2.0,2.0,1.0,2.0,,1.0,1.0,,,1.0,,,,2.0,,,,,,,
