match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_wasFouled,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_keyPass,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_errorLeadToAShot
12764146,home,Borussia Dortmund,Gregor Kobel,gregor-kobel,G. Kobel,G,1,193,6863,M,gregorkobel,556866,EUR,881366400,G,1,1,False,34.0,30.0,6.0,2.0,0.0,30.0,32.0,2.0,1.0,12.0,1.0,3.0,5.0,90.0,46.0,7.4,4.0,0.00020198,0,-0.4509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Julian Ryerson,julian-ryerson,J. Ryerson,D,26,183,3457,M,,800951,EUR,879724800,D,26,26,False,20.0,18.0,1.0,1.0,0.0,14.0,16.0,4.0,2.0,4.0,,,,45.0,37.0,6.8,6.0,0.00056426,0,,4.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Emre Can,emre-can,E. Can,D,23,186,5008,M,emrecan23,138156,EUR,758332800,D,23,23,False,56.0,50.0,7.0,4.0,0.0,43.0,45.0,11.0,1.0,2.0,,,,90.0,65.0,6.6,6.0,0.00342346,0,,7.0,2.0,7.0,,3.0,3.0,1.0,2.0,1.0,,,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,191,10365,M,nico.schlotterbeck,940871,EUR,944006400,D,4,4,False,61.0,55.0,18.0,16.0,0.0,43.0,46.0,15.0,3.0,6.0,,,,90.0,77.0,7.1,8.0,0.00492254,1,,12.0,5.0,7.0,1.0,,,2.0,5.0,4.0,2.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.2359,,,,,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,186,29095,M,rbens,577726,EUR,797990400,D,5,5,False,30.0,24.0,3.0,2.0,0.0,13.0,16.0,17.0,2.0,9.0,,,,90.0,47.0,6.5,10.0,0.0801105,0,,12.0,4.0,2.0,,,,1.0,2.0,,2.0,,,,,,2.0,,,,1.0,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,177,8472,M,marcel7sabitzer,133908,EUR,763862400,M,20,20,False,23.0,17.0,,,0.0,9.0,13.0,13.0,1.0,2.0,,,,90.0,36.0,6.5,10.0,0.139073,1,,10.0,2.0,5.0,1.0,,,2.0,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,1.0,,0.2076,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,4006,M,,907463,EUR,971136000,M,8,8,False,42.0,40.0,4.0,3.0,0.0,28.0,28.0,14.0,,6.0,,,,90.0,63.0,6.7,11.0,0.0124371,2,,12.0,7.0,6.0,3.0,5.0,3.0,2.0,2.0,2.0,,,,,,,2.0,1.0,,1.0,,0.1055,,,2.0,1.0,1.0,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,185,5021,M,gioareyna,989056,EUR,1037145600,M,7,7,False,24.0,18.0,4.0,3.0,0.0,5.0,8.0,16.0,,3.0,,,,73.0,34.0,6.5,11.0,0.0103534,0,,13.0,3.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,
12764146,home,Borussia Dortmund,Julien Duranville,julien-duranville,J. Duranville,F,18,170,4599,M,julien.drnl,1171540,EUR,1146787200,F,16,16,False,22.0,17.0,1.0,1.0,0.0,9.0,10.0,13.0,,2.0,,,,73.0,38.0,7.0,14.0,0.159722,0,,8.0,5.0,6.0,2.0,4.0,3.0,,1.0,1.0,1.0,,,,,,1.0,2.0,,,,,1.0,,3.0,1.0,,1.0,1.0,,,,,,,,,,,
12764146,home,Borussia Dortmund,Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,187,50480,M,guirassy19off,328027,EUR,826588800,F,9,9,False,19.0,16.0,1.0,1.0,0.0,11.0,12.0,7.0,,2.0,,,,90.0,34.0,7.9,9.0,0.0518876,5,,5.0,5.0,6.0,2.0,1.0,,,,,,,,,2.0,4.0,,2.0,1.0,3.0,,2.0942,,,3.0,,,,3.0,2.0,2.0,1.0,1.8914,,,,,,,
