match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_accurateCross,stat_blockedScoringAttempt,stat_interceptionWon,stat_dispossessed,stat_totalContest,stat_wonContest,captain,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceCreated,player_firstName,stat_punches,stat_lastManTackle,player_lastName
14566777,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12217,M,oblakjan,69768,EUR,726364800,G,13,13,False,27.0,23.0,7.0,3.0,0.0,21.0,21.0,2.0,6.0,1.0,2.0,1.0,9.0,2.0,3.0,2.0,2.0,2.0,2.0,90.0,40.0,6.8,5.0,0.00062564,19.728,5.40079,0.0,0.1084,0,0.1811,0.04,0.0,0.16,-0.31,3.74,1.5,0.14,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13483,M,nahuelmolina_35,831799,EUR,891820800,D,16,16,False,71.0,56.0,6.0,3.0,0.0,26.0,29.0,30.0,42.0,,2.0,3.0,5.0,,,,,,,90.0,83.0,6.4,17.0,0.03422,28.548,11.22134,10.0,,0,,0.18,0.18,-0.07,,2.87,5.71,1.72,0.71,0.22,2.0,4.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6514,M,lenormand_r,787751,EUR,847670400,D,24,24,False,25.0,25.0,,,0.0,13.0,13.0,12.0,12.0,1.0,1.0,1.0,1.0,,,,,,,26.0,26.0,6.9,,0.00476478,27.756,3.10321,2.0,,0,,0.09,0.04,0.14,,0.77,1.65,0.47,0.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Dávid Hancko,david-hancko,D. Hancko,D,17,188,4795,M,,807771,EUR,881971200,D,17,17,False,83.0,74.0,6.0,2.0,0.0,43.0,47.0,31.0,36.0,3.0,4.0,3.0,7.0,1.0,,,,,,90.0,91.0,6.7,11.0,0.0343633,30.78,9.76152,8.0,,1,,0.27,0.26,-0.24,,3.08,4.78,1.25,0.42,0.23,3.0,5.0,,,,,2.0,2.0,1.0,0.0445,1.0,-0.13,,,,,,,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Matteo Ruggeri,matteo-ruggeri,M. Ruggeri,M,3,187,2530,M,,965011,EUR,1026345600,D,3,3,False,60.0,52.0,1.0,1.0,0.0,23.0,24.0,29.0,36.0,1.0,6.0,1.0,3.0,,,,,,,90.0,81.0,6.5,13.0,0.141543,31.104,10.9274,14.0,,1,,0.0,0.13,-0.24,,2.93,5.5,1.52,0.63,0.35,2.0,6.0,5.0,4.0,1.0,2.0,5.0,2.0,,0.0598,1.0,0.02,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178,16161,M,giulisimeone,1099352,EUR,1040169600,M,20,20,False,35.0,30.0,,,1.0,7.0,8.0,23.0,27.0,,5.0,,1.0,2.0,,,,,,88.0,56.0,6.6,17.0,0.201107,30.492,10.17962,14.0,,1,,0.34,0.14,-0.17,,2.8,4.82,1.54,0.71,0.31,2.0,11.0,,,2.0,,3.0,2.0,1.0,0.0501,1.0,-0.36,,,,2.0,8.0,3.0,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6634,M,PBarrios,1142588,EUR,1055635200,M,8,8,False,81.0,77.0,2.0,2.0,0.0,29.0,31.0,48.0,50.0,2.0,9.0,,5.0,3.0,,,,,,90.0,95.0,7.3,8.0,0.0359804,28.728,11.31256,11.0,,0,,0.06,0.14,-0.04,,2.9,5.64,1.86,0.7,0.22,,3.0,1.0,1.0,,,,,,,,,,,2.0,1.0,5.0,3.0,,,,,,,,,,,,,
14566777,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5864,M,Koke6,84539,EUR,694828800,M,6,6,False,68.0,67.0,6.0,6.0,0.0,25.0,26.0,42.0,42.0,1.0,4.0,,2.0,1.0,,,,,,62.0,76.0,7.2,5.0,0.0301764,27.54,8.03419,3.0,,0,,0.22,0.08,-0.05,,1.81,4.02,1.71,0.41,0.08,,4.0,2.0,,1.0,,,1.0,,,,,,,,2.0,1.0,,True,,,,,,,,,,,,
14566777,home,Atlético Madrid,Alejandro Baena,alejandro-baena,A. Baena,M,10,174,9587,M,alexbaena,910031,EUR,995587200,M,10,10,False,43.0,38.0,3.0,2.0,0.0,12.0,15.0,26.0,28.0,,2.0,1.0,1.0,2.0,,,,,,62.0,57.0,6.9,12.0,0.227401,29.196,8.00972,6.0,,0,,0.37,0.15,0.13,,1.85,4.24,1.3,0.46,0.15,,4.0,,,3.0,2.0,4.0,,,,3.0,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
14566777,home,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,99570,M,AGriez,85859,EUR,669513600,F,7,7,False,38.0,33.0,3.0,2.0,0.0,14.0,16.0,19.0,22.0,1.0,2.0,,2.0,,,,,,,62.0,44.0,6.9,7.0,0.329513,28.62,7.4228,7.0,,1,,0.28,0.16,-0.03,,1.99,3.64,1.13,0.53,0.13,,3.0,,,,1.0,1.0,,,0.1006,1.0,-0.1,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
