match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_fouls,stat_dispossessed,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,player_sofascoreId,stat_goals,stat_outfielderBlock
12499462,home,FC St. Pauli,Nikola Vasilj,,,nikola-vasilj,N. Vasilj,G,22,194,1626,M,325061,EUR,817862400,G,22,22,False,45.0,38.0,12.0,5.0,0.0,33.0,36.0,5.0,9.0,10.0,1.0,1.0,90.0,50.0,6.5,7.0,0.00316453,0,-0.1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Hauke Wahl,,,hauke-wahl,H. Wahl,D,5,189,150,M,253469,EUR,766368000,D,5,5,False,74.0,58.0,11.0,5.0,0.0,39.0,44.0,19.0,31.0,6.0,,,90.0,88.0,6.9,18.0,0.00848282,1,,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0921,0.512,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Eric Smith,,,eric-smith,E. Smith,D,8,191,412,M,542038,EUR,852681600,D,8,8,False,74.0,62.0,12.0,4.0,0.0,44.0,48.0,21.0,32.0,2.0,,,90.0,86.0,7.0,15.0,0.2562,1,,6.0,1.0,3.0,1.0,3.0,,,,,1.0,,,,,1.0,0.0536,,3.0,1.0,1.0,2.0,,,,,,,,,
12499462,home,FC St. Pauli,Karol Mets,,,karol-mets,K. Mets,D,3,190,509,M,57627,EUR,737510400,D,3,3,False,90.0,75.0,15.0,8.0,0.0,53.0,59.0,22.0,31.0,8.0,,,90.0,106.0,7.2,15.0,0.018662,0,,,1.0,3.0,1.0,7.0,,,,,8.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Philipp Treu,,,treu-philipp,P. Treu,M,29,172,176,M,979820,EUR,975801600,M,23,23,False,43.0,38.0,3.0,3.0,0.0,16.0,17.0,22.0,30.0,8.0,,,90.0,80.0,6.8,15.0,0.0310364,1,,4.0,1.0,,5.0,5.0,1.0,3.0,1.0,,2.0,,3.0,1.0,2.0,1.0,0.0466,,,,1.0,,1.0,,,,,,,,
12499462,home,FC St. Pauli,Robert Wagner,,,wagner-robert,R. Wagner,M,18,181,160,M,1131338,EUR,1058140800,M,39,39,False,31.0,23.0,2.0,1.0,0.0,10.0,12.0,13.0,20.0,6.0,,,76.0,47.0,6.6,13.0,0.0134967,0,,1.0,,1.0,6.0,6.0,1.0,1.0,,,,,3.0,1.0,,2.0,,,,,,,1.0,3.0,,,,,,,
12499462,home,FC St. Pauli,Jackson Irvine,,,jackson-irvine,J. Irvine,M,7,190,924,M,181581,EUR,731462400,M,7,7,False,40.0,26.0,3.0,2.0,0.0,14.0,16.0,12.0,24.0,4.0,,,90.0,54.0,6.8,18.0,0.152663,0,,,4.0,6.0,9.0,10.0,1.0,3.0,1.0,,,3.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,True,,,,,,
12499462,home,FC St. Pauli,Connor Metcalfe,,,connor-metcalfe,C. Metcalfe,M,24,178,230,M,888854,EUR,941760000,M,24,24,False,19.0,18.0,1.0,1.0,0.0,7.0,7.0,11.0,13.0,2.0,,,84.0,34.0,6.7,5.0,0.0147994,3,,1.0,3.0,1.0,5.0,3.0,,,,2.0,1.0,1.0,1.0,,2.0,1.0,0.3604,0.1819,,,1.0,,2.0,,,1.0,,,,,
12499462,home,FC St. Pauli,Lars Ritzka,,,lars-ritzka,L. Ritzka,D,21,185,86,M,873347,EUR,894499200,M,21,21,False,29.0,24.0,2.0,,0.0,16.0,16.0,8.0,18.0,5.0,,,76.0,57.0,7.2,12.0,0.00976362,2,,5.0,3.0,,8.0,10.0,3.0,,,,1.0,,8.0,5.0,,2.0,0.2416,,,,1.0,1.0,,2.0,,1.0,1.0,,,,
12499462,home,FC St. Pauli,Johannes Eggestein,,,johannes-eggestein,J. Eggestein,F,19,183,466,M,591588,EUR,894585600,F,11,11,False,36.0,27.0,4.0,2.0,0.0,11.0,13.0,17.0,25.0,4.0,,,90.0,50.0,6.8,16.0,0.116534,0,,2.0,2.0,,5.0,2.0,,,,,,,,,4.0,2.0,,,1.0,1.0,,2.0,1.0,2.0,,,,1.0,,,
12499462,home,FC St. Pauli,Morgan Guilavogui,,,morgan-guilavogui,M. Guilavogui,F,29,188,3047,M,990743,EUR,889488000,F,29,29,False,41.0,30.0,2.0,1.0,0.0,5.0,7.0,26.0,35.0,2.0,,,76.0,57.0,6.5,17.0,0.205044,3,,1.0,8.0,3.0,12.0,5.0,,1.0,1.0,,,,,,4.0,2.0,0.4165,,1.0,1.0,3.0,3.0,2.0,2.0,,1.0,,,MorganGuila,,
12499462,home,FC St. Pauli,Carlo Boukhalfa,,,carlo-boukhalfa,C. Boukhalfa,M,11,185,501,M,939623,EUR,925689600,M,16,16,True,6.0,3.0,1.0,,0.0,1.0,2.0,2.0,5.0,2.0,,,14.0,9.0,6.3,5.0,0.00104298,0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
12499462,home,FC St. Pauli,Manolis Saliakas,,,manolis-saliakas,M. Saliakas,M,2,175,358,M,280551,EUR,842486400,D,2,2,True,7.0,7.0,,,0.0,5.0,5.0,2.0,3.0,1.0,,,14.0,14.0,6.3,3.0,0.00146096,0,,1.0,,,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,
12499462,home,FC St. Pauli,Oladapo Afolayan,,,oladapo-afolayan,O. Afolayan,F,21,180,303,M,871621,EUR,873936000,F,17,17,True,5.0,4.0,1.0,,0.0,,,4.0,5.0,,,,14.0,9.0,6.4,3.0,0.00363825,0,,,1.0,,2.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,
12499462,home,FC St. Pauli,Elias Saad,Elias Saad,,elias-saad,E. Saad,F,24,185,4301,M,1130946,EUR,946252800,F,26,26,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,1.0,,,10.0,6.0,6.6,1.0,0.00792402,0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Ben Voll,,,ben-voll,B. Voll,G,1,195,91,M,987437,EUR,976320000,G,1,1,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Fin Stevens,Finley Stevens,,finley-stevens,F. Stevens,D,14,177,115,M,1064630,EUR,1049932800,D,14,14,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Adam Dźwigała,,,adam-dzwigala,A. Dźwigała,D,25,185,440,M,252343,EUR,811987200,D,25,25,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,David Nemeth,,,david-nemeth,D. Nemeth,D,4,191,155,M,966889,EUR,984873600,D,4,4,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499462,home,FC St. Pauli,Danel Sinani,,,danel-sinani,D. Sinani,F,10,185,628,M,887500,EUR,860198400,M,10,10,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
