match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_aerialLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalContest,stat_unsuccessfulTouch,stat_penaltyConceded,stat_accurateCross,stat_dispossessed,stat_outfielderBlock,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_totalOffside,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goals
12421128,home,Cercle Brugge,Maxime Delanghe,maxime-delanghe,M. Delanghe,G,21,189.0,144,M,909953,EUR,990576000,G,21,21,False,19.0,6.0,18.0,5.0,0.0,1.0,1.0,5.0,18.0,1.0,2.0,1.0,90.0,23.0,5.6,14.0,0.00182511,0,-1.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Ibrahim Diakité,ibrahim-diakite,I. Diakité,D,2,178.0,2182,M,1168646,EUR,1067558400,D,2,2,False,23.0,18.0,3.0,1.0,0.0,12.0,13.0,6.0,11.0,1.0,2.0,,82.0,28.0,5.9,6.0,0.0202433,1,,Ibrahim Diakité,,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0215,,,,,,,,,,,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,8.0,5.0,2.0,,0.0,3.0,4.0,2.0,5.0,,,,37.0,15.0,6.6,4.0,0.00175115,1,,,,1.0,1.0,1.0,3.0,,,,,2.0,,0.0367,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Emmanuel Kakou,emmanuel-kakou,E. Kakou,D,5,,182,M,1847412,EUR,1120089600,D,90,90,False,32.0,19.0,4.0,1.0,0.0,12.0,15.0,7.0,17.0,2.0,6.0,,90.0,46.0,5.6,16.0,0.00352542,0,,Emmanuel Kakou,,,1.0,3.0,5.0,,,1.0,,3.0,1.0,,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Gary Magnee,magnee-gary,G. Magnee,M,15,173.0,149,M,990265,EUR,939686400,M,15,15,False,16.0,9.0,6.0,1.0,0.0,1.0,3.0,11.0,20.0,,4.0,,78.0,50.0,7.3,20.0,0.229984,4,,,,7.0,2.0,6.0,4.0,2.0,3.0,,,2.0,,0.1997,1.0,1.0,2.0,2.0,1.0,,3.0,1.0,1.0,3.0,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Lawrence Agyekum,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,15.0,12.0,,,0.0,3.0,3.0,9.0,12.0,1.0,,,66.0,21.0,6.8,4.0,0.0202214,1,,Lawrence Agyekum,,,1.0,1.0,1.0,1.0,,,,,,0.0571,,,2.0,,1.0,,,,,1.0,1.0,0.497,,,,,,,,,,,
12421128,home,Cercle Brugge,Hannes Van Der Bruggen,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,29.0,20.0,5.0,3.0,0.0,7.0,8.0,13.0,21.0,3.0,1.0,,66.0,38.0,6.8,11.0,0.183681,1,,,,,2.0,2.0,2.0,,1.0,,,,,0.0169,1.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Flávio Nazinho,nazinho-flavio,F. Nazinho,D,20,180.0,637,M,1006113,EUR,1058659200,M,20,20,False,24.0,14.0,4.0,,0.0,3.0,8.0,13.0,26.0,2.0,3.0,,90.0,53.0,6.7,22.0,0.265518,0,,,,10.0,,1.0,2.0,,,,,1.0,1.0,,,,,1.0,,,2.0,,,1.0,,,1.0,,,,,,,,,,
12421128,home,Cercle Brugge,Alan Minda,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,F,11,11,False,13.0,9.0,1.0,,0.0,3.0,3.0,6.0,10.0,,2.0,,66.0,17.0,7.0,6.0,0.0246669,1,,,,,1.0,3.0,1.0,,,,,,,0.0234,1.0,,,2.0,,,,,1.0,2.0,1.0,0.0157,,1.0,,,,,,,,,
12421128,home,Cercle Brugge,Felipe Augusto,felipe-augusto,F. Augusto,F,99,187.0,1398,M,1106681,EUR,1077062400,F,10,10,False,8.0,3.0,,,0.0,,,3.0,10.0,,1.0,,90.0,19.0,6.7,11.0,0.00379997,2,,Felipe Augusto,,2.0,,9.0,3.0,,1.0,,,3.0,3.0,0.1859,4.0,,,,2.0,,,2.0,,,1.0,0.0671,,1.0,,,,,,,,,
12421128,home,Cercle Brugge,Thibo Somers,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,F,34,34,False,16.0,9.0,,,0.0,,,9.0,18.0,,3.0,,90.0,28.0,6.9,10.0,0.0298377,1,,,,2.0,5.0,5.0,7.0,1.0,1.0,,,2.0,2.0,0.046,2.0,,,,1.0,,,,,1.0,,,,,True,,,,,,,,
12421128,home,Cercle Brugge,Edgaras Utkus,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,True,18.0,9.0,5.0,1.0,0.0,5.0,6.0,4.0,12.0,7.0,3.0,,53.0,29.0,6.3,9.0,0.00136553,0,,,,,2.0,,5.0,,,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12421128,home,Cercle Brugge,Nils De Wilde,de-wilde-nils,N. D. Wilde,M,27,182.0,74,M,1101701,EUR,1043625600,M,27,27,True,10.0,8.0,4.0,2.0,0.0,,,8.0,11.0,,1.0,,24.0,11.0,6.3,3.0,0.0193987,0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
