match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_aerialWon,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_hitWoodwork,stat_accurateCross,stat_totalOffside,stat_penaltyMiss,stat_penaltyWon
12514045,home,SC Farense,Lucas Cañizares,lucas-canizares,L. Cañizares,G,30,186,485,M,1022248,EUR,1020988800,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,home,SC Farense,Rivaldo,rivaldo,Rivaldo,D,70,184,80,M,1533897,EUR,969235200,D,70,70,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,home,SC Farense,Marco Moreno,marco-moreno,M. Moreno,D,21,190,81,M,997094,EUR,982627200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,home,SC Farense,Gio Almeida,geovanny-almeida,G. Almeida,M,16,185,26,M,1890492,EUR,1089763200,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,27,27,False,,26.0,18.0,15.0,7.0,0.0,15.0,18.0,3.0,8.0,1.0,7.0,1.0,,1.0,,,,90.0,32.0,6.6,8.0,0.00318577,0,-0.2792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Wagner Pina,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,D,20,20,False,,23.0,18.0,2.0,1.0,0.0,11.0,14.0,7.0,10.0,2.0,3.0,,,,,,,73.0,53.0,7.8,7.0,0.0032452,0,,2.0,4.0,12.0,2.0,,,2.0,8.0,6.0,,1.0,,,,,,,,,,,1.0,,3.0,3.0,,,,,,,,
12514045,away,Estoril Praia,Pedro Álvaro,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,True,72.0,65.0,7.0,3.0,0.0,54.0,55.0,11.0,17.0,7.0,4.0,,,,,,,90.0,84.0,7.1,8.0,0.00944186,0,,2.0,3.0,4.0,,,,1.0,,,,1.0,2.0,,,,4.0,,,,,,,,,,1.0,1.0,,,,,,
12514045,away,Estoril Praia,Kévin Boma,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,,74.0,66.0,4.0,1.0,0.0,57.0,60.0,9.0,14.0,5.0,2.0,,,,,,,90.0,87.0,7.2,8.0,0.00270526,2,,1.0,2.0,8.0,,1.0,,,4.0,3.0,,1.0,1.0,0.2577,Kévin Boma,,3.0,,2.0,,0.9133,,,,,,1.0,,,,,,,
12514045,away,Estoril Praia,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,24,24,False,,58.0,50.0,6.0,2.0,0.0,33.0,36.0,18.0,28.0,1.0,8.0,,,,,,,90.0,87.0,6.7,19.0,0.0268126,0,,1.0,5.0,3.0,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,6.0,2.0,1.0,,,3.0,,,1.0,,,
12514045,away,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,,59.0,56.0,2.0,1.0,0.0,35.0,36.0,22.0,26.0,1.0,5.0,,,,,,,73.0,71.0,6.7,8.0,0.0302247,0,,,3.0,3.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,3.0,1.0,2.0,1.0,,1.0,,,1.0,,,
12514045,away,Estoril Praia,Vinicius Zanocelo,vinicius-zanocelo,Vinicius Zanocelo,M,25,184,577,M,973841,EUR,980812800,M,7,7,False,,62.0,58.0,6.0,5.0,0.0,34.0,36.0,24.0,26.0,6.0,5.0,,,,,,,90.0,81.0,7.0,6.0,0.0181123,2,,2.0,4.0,1.0,,,1.0,,1.0,1.0,,,1.0,0.0353,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,
12514045,away,Estoril Praia,Michel Costa,michel-costa,Michel,M,10,165,40,M,1015938,EUR,1008806400,M,8,8,False,,55.0,47.0,6.0,5.0,0.0,25.0,28.0,22.0,27.0,1.0,5.0,,,,,,,90.0,68.0,6.6,10.0,0.0162489,1,,2.0,9.0,5.0,3.0,,,,1.0,,,4.0,2.0,0.0126,,,,,,,,1.0,,2.0,,,,,1.0,,,,,
12514045,away,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,,16.0,14.0,,,0.0,6.0,7.0,8.0,9.0,1.0,2.0,,,,,,,59.0,23.0,6.1,4.0,0.00752451,1,,2.0,4.0,1.0,,1.0,1.0,,,,,1.0,2.0,0.7884,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
12514045,away,Estoril Praia,Alejandro Marqués,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,,6.0,2.0,,,0.0,,,2.0,6.0,1.0,1.0,,,,,,,90.0,16.0,6.5,8.0,0.00143637,0,,3.0,7.0,4.0,1.0,,,,,,,3.0,,,,,,,,,,,,3.0,1.0,1.0,,1.0,,,,,,
12514045,away,Estoril Praia,Fabrício Garcia,fabricio-garcia,F. Garcia,F,98,172,81,M,1190120,EUR,988934400,F,17,17,False,,14.0,11.0,1.0,,0.0,6.0,7.0,5.0,9.0,,4.0,,,,,,,73.0,33.0,7.0,14.0,0.0583754,0,,,6.0,7.0,,,,,2.0,1.0,,4.0,1.0,,,,,,,,,,2.0,3.0,3.0,1.0,,4.0,,,,,,1.0
12514045,away,Estoril Praia,André Lacximicant,andre-lacximicant,A. Lacximicant,F,19,190,159,M,1120679,EUR,990230400,F,19,19,True,,3.0,2.0,,,0.0,,,3.0,5.0,1.0,3.0,,,,,,,31.0,12.0,6.4,6.0,0.00389888,0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,3.0,1.0,,2.0,,,1.0,,,
12514045,away,Estoril Praia,Gonçalo Costa,goncalo-costa,G. Costa,D,20,170,81,M,1087354,EUR,950832000,D,18,18,True,,11.0,9.0,1.0,,0.0,7.0,8.0,3.0,5.0,1.0,1.0,,,,,,,17.0,18.0,6.9,4.0,0.192606,2,,,,,,,2.0,,,,,,,0.0499,,,,1.0,,,,1.0,2.0,,,,,,,,1.0,,,
12514045,away,Estoril Praia,Jandro Orellana,jandro-orellana,J. Orellana,M,6,178,224,M,877920,EUR,965606400,M,6,6,True,,18.0,17.0,2.0,2.0,0.0,12.0,12.0,5.0,8.0,1.0,,,,,,,,17.0,23.0,6.6,3.0,0.0302445,0,,1.0,2.0,2.0,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,
12514045,away,Estoril Praia,Israel Salazar,israel-salazar,I. Salazar,F,20,177,120,M,1090194,EUR,1052524800,F,92,92,True,,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,1.0,3.0,,,,,,,17.0,13.0,6.1,6.0,0.00021112,0,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,
12514045,away,Estoril Praia,Kevin Chamorro,kevin-chamorro,K. Chamorro,G,22,183,263,M,905406,EUR,955152000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Eliaquim Mangala,eliaquim-mangala,E. Mangala,D,,188,392,M,42892,EUR,666403200,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Ismael Sierra Arnal,ismael-sierra-arnal,I. S. Arnal,D,29,192,26,M,1137243,EUR,1047859200,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514045,away,Estoril Praia,Manga Foe Ondoa,foe-ondoa-manga,M. F. Ondoa,M,8,183,70,M,1596636,EUR,1134345600,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,Manga Foe Ondoa,,,,,,,,,,,,,,,,,,,
