match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_goals,stat_outfielderBlock,stat_bigChanceMissed,stat_challengeLost,stat_totalOffside,captain,stat_errorLeadToAGoal,stat_shotOffTarget,stat_hitWoodwork,stat_bigChanceCreated
14131861,home,Estoril Praia,Joel Robles,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,1,1,False,23.0,12.0,14.0,3.0,0.0,9.0,9.0,3.0,14.0,1.0,1.0,1.0,13.0,1.0,2.0,4.0,2.0,2.0,90.0,35.0,6.7,11.0,0.00029676,0.1106,0,0.9721,0.01,-0.01,0.16,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Kévin Boma,kevin-boma,K. Boma,D,44,193,411,M,1049465,EUR,1037750400,D,44,44,False,60.0,54.0,1.0,,0.0,33.0,35.0,21.0,25.0,,2.0,4.0,5.0,,,,,,90.0,69.0,6.5,7.0,0.0198521,,0,,0.09,0.26,-0.07,,Kévin Boma,,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Felix Bacher,felix-bacher,F. Bacher,D,25,190,92,M,943525,EUR,972432000,D,25,25,False,59.0,50.0,6.0,2.0,0.0,40.0,40.0,10.0,19.0,1.0,2.0,2.0,5.0,,,,,,90.0,67.0,6.5,10.0,0.00298477,,0,,-0.01,0.36,-0.1,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Pedro Amaral,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,24,24,False,64.0,61.0,2.0,1.0,0.0,35.0,35.0,26.0,29.0,1.0,2.0,1.0,1.0,,,,,,90.0,73.0,6.8,5.0,0.0147967,,1,,0.19,0.16,-0.12,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,0.053,0.037,-0.14,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Pedro Carvalho,carvalho-pedro,P. Carvalho,D,22,169,64,M,1511977,EUR,1045180800,M,22,22,False,26.0,22.0,,,0.0,11.0,11.0,11.0,15.0,,5.0,1.0,4.0,,,,,,84.0,51.0,7.0,9.0,0.0116511,,0,,-0.22,0.27,0.13,,,,,1.0,,3.0,1.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Nodar Lominadze,nodar-lominadze,N. Lominadze,M,7,194,295,M,1001313,EUR,1017878400,M,7,7,False,33.0,28.0,2.0,1.0,0.0,14.0,15.0,14.0,18.0,1.0,3.0,,3.0,,,,,,45.0,41.0,6.4,8.0,0.00721801,,0,,-0.22,0.09,0.18,,,,2.0,6.0,1.0,,2.0,2.0,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
14131861,home,Estoril Praia,Jordan Holsgrove,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,10,10,False,76.0,61.0,9.0,3.0,0.0,31.0,33.0,30.0,43.0,,4.0,,2.0,,,,,,79.0,93.0,6.8,24.0,0.107889,,2,,0.35,0.07,-0.06,,,,,4.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,,4.0,,0.035,,-0.13,,,1.0,2.0,1.0,,,,,,,,,,
14131861,home,Estoril Praia,Tiago Parente,tiago-parente,T. Parente,D,5,180,85,M,1403144,EUR,1074038400,M,55,55,False,24.0,23.0,1.0,1.0,0.0,11.0,11.0,12.0,13.0,1.0,7.0,,1.0,,,,,,90.0,53.0,8.6,8.0,0.0328118,,2,,0.09,0.5,0.13,,,,,1.0,2.0,1.0,,,2.0,5.0,4.0,,3.0,1.0,0.3762,0.9446,0.5,1.0,,,1.0,,1.0,1.0,,,,,,,,
14131861,home,Estoril Praia,Rafik Guitane,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,99,99,False,22.0,18.0,1.0,1.0,0.0,5.0,5.0,13.0,17.0,,5.0,,1.0,,,,,,64.0,39.0,8.0,13.0,0.254611,,1,,0.17,0.99,0.15,,,,,4.0,3.0,1.0,,3.0,,,,,1.0,1.0,0.0675,0.5329,0.29,5.0,4.0,,,1.0,,,1.0,,,,,,,
14131861,home,Estoril Praia,Yanis Begraoui,yanis-begraoui,Y. Begraoui,F,14,175,1812,M,930246,EUR,994204800,F,14,14,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,,1.0,1.0,1.0,,,,,,64.0,21.0,6.5,9.0,0.00844293,,2,,0.02,0.62,-0.06,,,,,3.0,6.0,,,1.0,,,,,,,0.1407,,-0.55,2.0,1.0,,2.0,,,,,1.0,1.0,,,,,
14131861,home,Estoril Praia,João Carvalho,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,F,12,12,False,41.0,32.0,8.0,6.0,0.0,14.0,15.0,18.0,26.0,1.0,5.0,,3.0,,,,,,88.0,57.0,7.2,15.0,0.0379968,,0,,0.2,0.21,0.14,,,,,4.0,3.0,2.0,1.0,,1.0,1.0,1.0,,1.0,,,,,3.0,1.0,1.0,,1.0,,,,1.0,,True,,,,
14131861,home,Estoril Praia,Patrick de Paula,patrick-de-paula,P. de Paula,M,12,180,1234,M,1015291,EUR,936748800,M,45,45,True,33.0,30.0,4.0,2.0,0.0,17.0,17.0,13.0,16.0,,5.0,,2.0,,,,,,45.0,41.0,6.7,4.0,0.00680643,,0,,0.08,0.11,-0.03,,,,,4.0,,4.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
14131861,home,Estoril Praia,Pizzi,pizzi,Pizzi,M,21,179,1284,M,77725,EUR,623635200,M,21,21,True,20.0,16.0,1.0,1.0,0.0,5.0,6.0,11.0,14.0,,1.0,1.0,,,,,,,26.0,26.0,6.5,6.0,0.0748023,,0,,0.16,-0.14,-0.04,,,,,2.0,,1.0,1.0,,,,,,3.0,,,,,1.0,,2.0,,1.0,,,,,,,,,,
