match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,captain,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,player_firstName,player_lastName,stat_interceptionWon,stat_unsuccessfulTouch,stat_accurateCross,stat_dispossessed,stat_aerialLost,stat_bigChanceMissed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_totalOffside,stat_errorLeadToAShot
12530722,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,32.0,17.0,24.0,9.0,0.0,13.0,15.0,4.0,17.0,1.0,1.0,5.0,1.0,1.0,3.0,90.0,37.0,6.6,15.0,0.00057837,0,-0.6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530722,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,D,28,28,False,28.0,22.0,3.0,2.0,1.0,10.0,13.0,12.0,16.0,4.0,5.0,1.0,1.0,,,82.0,47.0,6.9,9.0,0.0300908,0,,1.0,1.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12530722,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,32.0,25.0,7.0,2.0,0.0,21.0,22.0,4.0,10.0,5.0,6.0,1.0,1.0,,,90.0,44.0,7.1,7.0,0.00102655,1,,,3.0,1.0,1.0,,,1.0,1.0,,1.0,True,1.0,1.0,0.0572,,,,,,,,,,,,,,,,,
12530722,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180,183,M,332963,EUR,769564800,D,3,3,False,26.0,25.0,4.0,4.0,0.0,18.0,18.0,7.0,8.0,3.0,9.0,3.0,1.0,,,90.0,44.0,7.2,2.0,0.00315807,1,,,2.0,2.0,,,,,,2.0,,,1.0,1.0,0.0934,,,1.0,1.0,,,,,,,,,,,,,
12530722,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,23,23,False,29.0,20.0,6.0,3.0,0.0,12.0,16.0,9.0,14.0,4.0,5.0,2.0,2.0,,,90.0,53.0,6.7,15.0,0.0554117,0,,1.0,2.0,3.0,1.0,,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
12530722,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,M,6,6,False,35.0,31.0,8.0,4.0,0.0,16.0,17.0,15.0,18.0,6.0,3.0,5.0,,,,90.0,54.0,6.9,7.0,0.0425841,1,,,3.0,4.0,,,,3.0,2.0,,,,1.0,1.0,0.2243,,,2.0,,,3.0,1.0,1.0,,,,,,,,,
12530722,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,40.0,33.0,10.0,7.0,0.0,15.0,17.0,21.0,27.0,1.0,2.0,6.0,,,,82.0,53.0,7.2,10.0,0.388271,1,,4.0,,8.0,2.0,1.0,,1.0,,2.0,4.0,,,,0.0305,,,1.0,1.0,3.0,,3.0,,1.0,1.0,0.028,,,,,,
12530722,home,Kayserispor,Carlos Mané,carlos-mane,C. Mané,M,20,172,381,M,859748,EUR,763344000,M,20,20,False,25.0,22.0,,,0.0,11.0,11.0,12.0,17.0,4.0,,5.0,2.0,,,90.0,41.0,7.2,9.0,0.0769845,3,,3.0,,7.0,1.0,1.0,,2.0,,,,,1.0,,0.5083,,,,3.0,1.0,,5.0,,,1.0,0.7166,1.0,1.0,,,,
12530722,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,22.0,21.0,,,2.0,6.0,6.0,15.0,16.0,2.0,,3.0,,,,72.0,29.0,7.7,5.0,0.338228,0,,,1.0,4.0,,2.0,1.0,,,3.0,3.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,
12530722,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,26.0,18.0,3.0,2.0,0.0,5.0,5.0,13.0,24.0,6.0,2.0,,1.0,,,90.0,45.0,7.8,13.0,0.0884339,3,,3.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,0.1029,,,,1.0,,1.0,2.0,,,2.0,0.3351,,1.0,,,,
