match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_possessionLostCtrl,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_totalClearance,stat_aerialWon,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_penaltyConceded,stat_lastManTackle,stat_errorLeadToAShot
14025063,home,Bournemouth,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,1,1,False,13.0,13.0,1.0,1.0,0.0,13.0,13.0,5.0,90.0,18.0,6.1,7.042e-05,0,-1.2777,0.04,0.0,-0.17,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,Lewis Cook,lewis-cook,L. Cook,M,4,175,895,M,,548188,EUR,854928000,D,4,4,False,96.0,84.0,7.0,2.0,0.0,24.0,27.0,8.0,90.0,118.0,7.6,0.083249,1,,0.69,0.42,-0.29,,True,60.0,69.0,6.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,4.0,3.0,17.0,0.0205,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,Bafodé Diakité,bafode-diakite,B. Diakité,D,18,182,1863,M,,962408,EUR,978739200,D,18,18,False,49.0,46.0,1.0,,0.0,18.0,21.0,3.0,45.0,50.0,6.4,0.0301167,0,,0.29,0.19,-0.35,,,28.0,28.0,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,5596,M,,830659,EUR,863222400,D,5,5,False,90.0,74.0,13.0,6.0,1.0,28.0,31.0,5.0,90.0,106.0,8.1,0.407555,1,,1.0,0.47,-0.37,,,46.0,59.0,4.0,2.0,3.0,5.0,5.0,,,,,2.0,1.0,21.0,0.0179,3.0,-0.07,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,,999028,EUR,1006214400,D,3,3,False,58.0,51.0,2.0,,0.0,18.0,23.0,8.0,90.0,98.0,6.9,0.344135,0,,0.43,0.16,-0.27,,,33.0,35.0,18.0,5.0,,2.0,4.0,3.0,2.0,,1.0,1.0,,23.0,,4.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
14025063,home,Bournemouth,Alex Scott,alex-scott,A. Scott,M,8,178,2382,M,,1104986,EUR,1061424000,M,8,8,False,42.0,33.0,3.0,,0.0,13.0,15.0,4.0,45.0,55.0,6.1,0.0179255,1,,-0.25,0.3,-0.2,,,20.0,27.0,4.0,,,5.0,2.0,1.0,,,,2.0,1.0,18.0,0.02,,-0.12,Alex Scott,,1.0,,2.0,,,3.0,,1.0,1.0,,1.0,0.0638,,,,,,,,,,,,
14025063,home,Bournemouth,Tyler Adams,tyler-adams,T. Adams,M,12,175,2918,M,,800419,EUR,918950400,M,12,12,False,72.0,67.0,4.0,3.0,0.0,17.0,17.0,4.0,80.0,82.0,6.6,0.0472245,0,,0.14,0.37,-0.12,,,50.0,55.0,,,2.0,5.0,2.0,1.0,1.0,,2.0,1.0,,6.0,,,,,,2.0,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,David Brooks,david-brooks,D. Brooks,M,7,173,1281,M,,855731,EUR,868320000,M,7,7,False,27.0,21.0,,,0.0,4.0,5.0,3.0,61.0,46.0,6.2,0.206833,3,,-0.12,0.25,-0.07,,,17.0,22.0,2.0,1.0,2.0,5.0,5.0,2.0,1.0,3.0,,3.0,1.0,12.0,0.3179,2.0,-0.56,,,1.0,1.0,1.0,,,4.0,,1.0,,,,,,,,,,,,,,,,
14025063,home,Bournemouth,Eli Junior Kroupi,eli-junior-kroupi,E. J. Kroupi,F,22,179,7447,M,,1426228,EUR,1151020800,M,22,22,False,26.0,18.0,,,0.0,7.0,8.0,7.0,86.0,48.0,7.0,0.0314325,4,,0.09,0.27,-0.12,,,11.0,18.0,1.0,,,3.0,7.0,1.0,1.0,1.0,,3.0,2.0,15.0,0.8319,2.0,0.11,,,1.0,1.0,1.0,,1.0,4.0,2.0,1.0,1.0,,2.0,1.0513,1.0,,,,,,,,,,,
14025063,home,Bournemouth,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,178,1762,M,,895576,EUR,922060800,M,16,16,False,49.0,43.0,1.0,,0.0,4.0,5.0,4.0,90.0,83.0,7.4,0.119964,3,,0.33,0.34,-0.19,,,39.0,44.0,9.0,2.0,,7.0,6.0,4.0,1.0,1.0,,2.0,1.0,22.0,1.1538,1.0,0.31,,,1.0,,2.0,,1.0,4.0,3.0,,2.0,,1.0,0.966,,1.0,,,,,,,,,,
