match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_keyPass,captain,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,player_firstName,player_lastName,stat_hitWoodwork
11407441,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,42.0,39.0,14.0,11.0,35.0,35.0,4.0,7.0,1.0,8.0,1.0,1.0,1.0,1.0,90.0,51.0,7.4,4.0,0.00108914,0,0.0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407441,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,,355486,EUR,863568000,D,3,3,False,50.0,41.0,3.0,1.0,35.0,41.0,6.0,9.0,,1.0,,,,,90.0,72.0,6.7,11.0,0.00382204,0,,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
11407441,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,85.0,77.0,10.0,4.0,67.0,70.0,10.0,15.0,5.0,5.0,,,,,90.0,95.0,7.2,8.0,0.0106145,0,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
11407441,home,Bologna,Riccardo Calafiori,riccardo-calafiori,R. Calafiori,D,33,188,24414,M,richycala,957602,EUR,1021766400,D,33,33,False,82.0,77.0,4.0,2.0,70.0,73.0,7.0,9.0,3.0,11.0,,,,,90.0,95.0,7.6,5.0,0.00245172,0,,1.0,3.0,1.0,,1.0,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11407441,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188,706,M,,98212,EUR,751248000,D,22,22,False,33.0,23.0,6.0,3.0,17.0,25.0,7.0,10.0,2.0,5.0,,,,,80.0,55.0,6.9,11.0,0.0255261,0,,3.0,2.0,1.0,,,,,2.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
11407441,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182,1236,M,,850891,EUR,852508800,M,20,20,False,45.0,41.0,,,30.0,33.0,11.0,12.0,,1.0,,,,,73.0,54.0,6.6,8.0,0.00727653,0,,6.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,1.0,,,,,,True,,,,,,,,,,,
11407441,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,53.0,48.0,,,33.0,36.0,15.0,17.0,,3.0,,,,,90.0,63.0,7.0,7.0,0.0273725,0,,2.0,4.0,1.0,1.0,,,3.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
11407441,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183,5740,M,,793645,EUR,854064000,M,7,7,False,26.0,19.0,,,11.0,15.0,8.0,16.0,2.0,6.0,,,,,90.0,54.0,6.8,21.0,0.0213644,1,,5.0,8.0,,,6.0,3.0,2.0,,,6.0,1.0,1.0,2.0,,3.0,5.0,,,,1.0,0.0772,,,,,,,,,
11407441,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181,1972,M,,907152,EUR,935452800,M,19,19,False,37.0,28.0,3.0,1.0,12.0,14.0,16.0,24.0,,5.0,,,,,90.0,50.0,7.5,13.0,0.00863994,1,,4.0,1.0,1.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,,2.0,,1.0,,,,,0.1811,1.0,1.0,0.698,,,,,,
11407441,home,Bologna,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,AS56,901891,EUR,930441600,M,56,56,False,28.0,20.0,,,14.0,19.0,6.0,11.0,2.0,6.0,,,,,81.0,46.0,6.7,13.0,0.0100475,0,,6.0,5.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,
