match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_unsuccessfulTouch,captain,stat_dispossessed,stat_wonTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_goals,stat_penaltyWon,stat_bigChanceMissed,stat_penaltyConceded,stat_penaltyFaced
12436999,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,20.0,12.0,9.0,2.0,0.0,12.0,14.0,6.0,1.0,10.0,1.0,1.0,4.0,5.0,1.0,1.0,90.0,33.0,7.3,8.0,4.157e-05,0,0.3646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436999,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,42.0,36.0,5.0,4.0,0.0,16.0,19.0,26.0,2.0,2.0,,,,,,,78.0,64.0,7.0,9.0,0.0371767,1,,21.0,3.0,1.0,1.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0254,,,,,,,,,,,,,,,,,,
12436999,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,50.0,35.0,15.0,6.0,0.0,23.0,27.0,23.0,3.0,7.0,,,,,,,90.0,58.0,6.9,16.0,0.0410974,1,,12.0,,,1.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,0.0756,1.0,1.0,,,,,,,,,,,,,,,,
12436999,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,22.0,19.0,1.0,,0.0,14.0,16.0,6.0,5.0,1.0,,,,,,,90.0,33.0,6.7,3.0,0.0315286,1,,5.0,,,1.0,4.0,4.0,5.0,3.0,1.0,1.0,,,1.0,,0.0377,,,1.0,,,,,,,,,,,,,,,
12436999,home,Newcastle United,Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4167,M,lewishall_10,1136730,EUR,1094601600,D,20,20,False,40.0,28.0,7.0,3.0,0.0,15.0,21.0,23.0,1.0,10.0,,,,,,,90.0,56.0,7.2,16.0,0.113435,0,,14.0,4.0,1.0,,,1.0,2.0,1.0,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
12436999,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,16.0,13.0,2.0,1.0,0.0,6.0,7.0,12.0,1.0,6.0,,,,,,,78.0,30.0,6.8,10.0,0.0209575,0,,7.0,3.0,,1.0,,5.0,2.0,1.0,,2.0,,,2.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,,,,,,,,,,,
12436999,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,43.0,35.0,7.0,5.0,0.0,18.0,21.0,23.0,1.0,4.0,,,,,,,90.0,66.0,7.3,13.0,0.264176,0,,18.0,1.0,1.0,,,9.0,9.0,2.0,,2.0,,3.0,2.0,3.0,,,1.0,1.0,4.0,4.0,,1.0,True,4.0,2.0,,,,,,,,
12436999,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,30.0,26.0,,,0.0,15.0,18.0,12.0,4.0,6.0,,,,,,,90.0,53.0,7.0,12.0,0.0242973,2,,11.0,,,,4.0,10.0,8.0,2.0,,,,4.0,,3.0,0.1903,,1.0,1.0,,,,3.0,,5.0,3.0,2.0,0.3294,,,,,,
12436999,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,26.0,21.0,3.0,2.0,0.0,7.0,7.0,20.0,,2.0,,,,,,,90.0,31.0,7.0,7.0,0.0670079,0,,14.0,1.0,,,,2.0,3.0,1.0,,,,1.0,,,,,,2.0,2.0,2.0,,,,1.0,1.0,,,1.0,,,,,
12436999,home,Newcastle United,Anthony Gordon,,,gordon-anthony,A. Gordon,F,10,183,15696,M,AGordon,914902,EUR,982972800,F,10,10,False,17.0,15.0,,,0.0,6.0,6.0,15.0,,3.0,,,,,,,90.0,34.0,7.6,9.0,0.0995292,1,,11.0,4.0,2.0,1.0,,7.0,4.0,1.0,,,,1.0,2.0,2.0,0.7884,,,2.0,1.0,1.0,,1.0,,3.0,,1.0,0.6991,,1.0,1.0,,,
