match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_interceptionWon,player_firstName,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_ownGoals,stat_clearanceOffLine
12448389,home,Fortuna Sittard,Mattijs Branderhorst,mattijs-branderhorst,M. Branderhorst,G,31,192,151,M,146871,EUR,757296000,G,31,31,False,27.0,19.0,17.0,9.0,0.0,12.0,13.0,7.0,14.0,1.0,15.0,1.0,1.0,3.0,2.0,2.0,90.0,39.0,7.6,8.0,0.00246615,0,0.3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448389,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,D,12,12,False,30.0,23.0,5.0,1.0,0.0,13.0,14.0,11.0,19.0,2.0,2.0,,,,,,90.0,55.0,7.6,13.0,0.13848,0,,True,3.0,1.0,1.0,2.0,3.0,8.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
12448389,home,Fortuna Sittard,Shawn Adewoye,shawn-adewoye,S. Adewoye,D,4,183,156,M,989586,EUR,962236800,D,4,4,False,42.0,35.0,6.0,3.0,0.0,23.0,26.0,12.0,16.0,5.0,3.0,,,,,,90.0,54.0,7.3,8.0,0.0196852,0,,,,,,3.0,2.0,4.0,,,,1.0,1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,
12448389,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,55.0,46.0,8.0,2.0,0.0,40.0,41.0,6.0,15.0,3.0,2.0,,,,,,90.0,68.0,7.6,11.0,0.00434299,2,,,1.0,,3.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,Rodrigo,Guth,1.0,1.0,0.058,,,,,,,,,,
12448389,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192,201,M,235400,EUR,729216000,D,35,35,False,40.0,29.0,7.0,,0.0,13.0,15.0,16.0,25.0,,1.0,,,,,,68.0,47.0,6.2,14.0,0.00520282,0,,,,,1.0,,4.0,1.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
12448389,home,Fortuna Sittard,Ryan Fosso,ryan-fosso,R. Fosso,M,80,183,188,M,1142147,EUR,1024272000,M,80,80,False,26.0,22.0,3.0,2.0,0.0,12.0,14.0,11.0,18.0,1.0,7.0,,,,,,81.0,42.0,6.9,10.0,0.211639,0,,,6.0,1.0,1.0,1.0,6.0,4.0,2.0,1.0,,2.0,1.0,,2.0,1.0,2.0,Ryan,Fosso,,,,,1.0,1.0,,,,,,,
12448389,home,Fortuna Sittard,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190,104,M,954812,EUR,903052800,M,32,32,False,32.0,29.0,6.0,5.0,0.0,19.0,21.0,10.0,11.0,3.0,1.0,,,,,,90.0,42.0,6.8,4.0,0.0146518,1,,,,,5.0,,6.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,,,1.0,,0.0266,,1.0,,,,,,,,
12448389,home,Fortuna Sittard,Makan Aïko,makan-aiko,M. Aïko,F,90,180,103,M,1136902,EUR,978825600,M,11,11,False,5.0,4.0,,,0.0,1.0,2.0,3.0,5.0,,1.0,,,,,,45.0,13.0,6.8,3.0,0.00491976,1,,,2.0,,,,,4.0,,2.0,2.0,1.0,,,,,,,,,,0.0271,,,1.0,1.0,,,,,,
12448389,home,Fortuna Sittard,Ezequiel Bullaude,ezequiel-bullaude,E. Bullaude,M,10,184,548,M,960077,EUR,972518400,M,33,33,False,20.0,18.0,3.0,3.0,0.0,9.0,9.0,9.0,13.0,2.0,3.0,,,,,,89.0,39.0,7.5,9.0,0.0069633,1,,,2.0,,,2.0,2.0,8.0,,1.0,,3.0,2.0,3.0,1.0,1.0,2.0,,,,,0.1689,1.0,,3.0,1.0,1.0,,,,,
12448389,home,Fortuna Sittard,Jasper Dahlhaus,jasper-dahlhaus,J. Dahlhaus,D,8,176,32,M,1048758,EUR,1006819200,M,8,8,False,36.0,24.0,6.0,,0.0,11.0,15.0,15.0,28.0,2.0,10.0,,,,,,90.0,63.0,6.9,22.0,0.0562585,1,,,7.0,2.0,1.0,,2.0,3.0,,2.0,1.0,1.0,,3.0,,2.0,1.0,,,,1.0,0.0463,,,1.0,,,0.676,,,,
