match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_totalOffside,player_firstName,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_fouls,stat_dispossessed,player_lastName,captain,stat_bigChanceMissed,stat_onTargetScoringAttempt,player_sofascoreId,stat_accurateCross,stat_goals,stat_goodHighClaim,stat_blockedScoringAttempt
12624444,home,Al Wehda,Abdullah Hussein Alowayshir,abdullah-hussein-al-owisher,A. H. Alowayshir,G,1,184.0,43,M,976548,EUR,674092800,G,1,1,False,14.0,8.0,9.0,3.0,0.0,6.0,6.0,2.0,8.0,1.0,6.0,1.0,2.0,1.0,1.0,90.0,20.0,6.6,6.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624444,home,Al Wehda,Saeed Almuwallad,saeed-al-muwallad,S. Almuwallad,D,2,184.0,20,M,872205,EUR,668476800,D,2,2,False,22.0,18.0,2.0,2.0,0.0,10.0,11.0,8.0,17.0,,5.0,,,,,90.0,55.0,6.6,16.0,,1,6.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12624444,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174.0,20,M,1399144,EUR,924566400,D,22,22,False,35.0,25.0,9.0,2.0,0.0,15.0,18.0,10.0,17.0,,3.0,,,,,90.0,51.0,6.8,11.0,,0,,4.0,6.0,1.0,1.0,,,5.0,1.0,,,Ali Makki,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,
12624444,home,Al Wehda,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190.0,4432,M,877103,EUR,699321600,D,5,5,False,39.0,33.0,6.0,3.0,0.0,17.0,17.0,16.0,22.0,,7.0,,,,,90.0,51.0,6.7,6.0,,0,,,4.0,,,,7.0,1.0,3.0,,,,,1.0,,,2.0,,,,,,,,,,,,
12624444,home,Al Wehda,Ali Al-Salem,ali-al-salem,A. Al-Salem,D,2,181.0,21,M,990189,EUR,903052800,D,49,49,False,23.0,18.0,6.0,3.0,1.0,2.0,4.0,16.0,20.0,1.0,4.0,,,,,90.0,43.0,7.1,13.0,3.0,0,1.0,2.0,5.0,4.0,4.0,,1.0,,,4.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,
12624444,home,Al Wehda,Alexandru Crețu,alexandru-cretu,A. Crețu,M,4,189.0,120,M,229678,EUR,704073600,M,6,6,False,17.0,11.0,1.0,,0.0,6.0,7.0,5.0,10.0,,4.0,,,,,45.0,21.0,6.5,7.0,,0,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
12624444,home,Al Wehda,Ala'a Al-Hejji,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,826242,EUR,817948800,M,8,8,False,35.0,27.0,3.0,2.0,0.0,11.0,12.0,16.0,24.0,,3.0,,,,,79.0,46.0,7.0,10.0,1.0,1,1.0,4.0,6.0,2.0,2.0,1.0,,1.0,3.0,,,,,1.0,3.0,,3.0,,1.0,,,,,,,,,,
12624444,home,Al Wehda,Waleed Bakshween,waleed-bakshween,W. Bakshween,M,,176.0,23,M,911303,EUR,626832000,M,4,4,False,49.0,47.0,1.0,1.0,0.0,22.0,22.0,25.0,27.0,,8.0,,,,,83.0,61.0,6.8,6.0,,0,,5.0,3.0,,,,1.0,4.0,3.0,3.0,,,,,2.0,,2.0,,2.0,1.0,,True,,,,,,,
12624444,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,1085115,EUR,916617600,M,24,24,False,5.0,3.0,,,0.0,2.0,3.0,1.0,2.0,,3.0,,,,,45.0,14.0,6.2,6.0,,2,,6.0,2.0,1.0,,1.0,,,1.0,2.0,,Abdulaziz Noor,3.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,
12624444,home,Al Wehda,Juninho Bacuna,juninho-bacuna,J. Bacuna,M,4,178.0,542,M,788971,EUR,870912000,M,10,10,False,53.0,39.0,11.0,3.0,0.0,14.0,14.0,25.0,39.0,,10.0,,,,,90.0,62.0,6.6,15.0,1.0,1,,4.0,4.0,2.0,1.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,1.0,3.0,,,,,,,,,,
