match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_fouls,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_hitWoodwork,stat_ownGoals,stat_errorLeadToAGoal
11392809,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,41.0,35.0,12.0,6.0,33.0,34.0,2.0,7.0,1.0,1.0,1.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,52.0,8.0,6.0,0.00021853,0,0.7123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392809,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,D,8,8,False,33.0,31.0,1.0,,22.0,22.0,9.0,11.0,,,,3.0,,,,,,,90.0,43.0,6.9,5.0,0.00905681,0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11392809,home,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,,945217,EUR,946512000,D,6,6,False,70.0,66.0,7.0,6.0,51.0,52.0,15.0,18.0,2.0,6.0,3.0,7.0,,,,,,,90.0,85.0,7.7,4.0,0.00561823,0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11392809,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,94.0,86.0,12.0,6.0,59.0,61.0,27.0,33.0,,4.0,4.0,2.0,,,,,,,90.0,107.0,7.7,9.0,0.0120188,1,,,1.0,,2.0,,,,,1.0,4.0,2.0,,,,True,1.0,1.0,0.0854,0.0304,,,,,,,,,,,
11392809,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,D,26,26,False,53.0,46.0,4.0,1.0,34.0,35.0,14.0,21.0,1.0,3.0,,3.0,,,,,,,90.0,76.0,7.0,12.0,0.0641423,0,,,3.0,1.0,3.0,,,3.0,2.0,,,,,,,,1.0,,,,3.0,2.0,1.0,,,,,,,,
11392809,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,28,28,False,29.0,26.0,,,15.0,15.0,11.0,18.0,,5.0,1.0,4.0,,,,,,,90.0,53.0,6.4,12.0,0.141925,3,,,5.0,1.0,,1.0,2.0,1.0,,,4.0,,1.0,,,,2.0,1.0,0.3876,0.346,4.0,,2.0,2.0,2.0,,,,,,
11392809,home,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,,985934,EUR,909446400,M,55,55,False,32.0,26.0,,,16.0,20.0,10.0,12.0,2.0,3.0,1.0,5.0,,,,,,,75.0,38.0,6.2,7.0,0.0140834,0,,,4.0,2.0,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
11392809,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,k_thuram,904832,EUR,985564800,M,19,19,False,35.0,33.0,,,17.0,18.0,17.0,19.0,,4.0,,4.0,,,,,,,80.0,46.0,7.1,5.0,0.0362134,2,,1.0,4.0,1.0,,1.0,1.0,4.0,3.0,1.0,,,1.0,,,,,,0.1481,,2.0,1.0,1.0,,2.0,,,,,,
11392809,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,,149730,EUR,767923200,F,24,24,False,17.0,12.0,2.0,2.0,2.0,3.0,10.0,17.0,,3.0,1.0,5.0,,,,,,,63.0,36.0,7.3,14.0,0.15921,4,,,3.0,1.0,,,,1.0,,1.0,3.0,2.0,,,,,1.0,,0.2944,,3.0,,2.0,,3.0,1.0,,,,,
11392809,home,Nice,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,,894396,EUR,927590400,F,9,9,False,11.0,11.0,1.0,1.0,5.0,5.0,6.0,7.0,,6.0,,1.0,,,,,,,80.0,28.0,7.7,4.0,0.0516881,2,,2.0,6.0,1.0,,1.0,3.0,2.0,2.0,,1.0,1.0,3.0,,,,2.0,,0.1416,,1.0,,1.0,,1.0,1.0,1.0,,,,
