match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_keyPass,captain,stat_goalAssist,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,player_lastName,stat_totalCross,stat_accurateCross,stat_lastManTackle,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_dispossessed,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
11067460,home,Grêmio,Gabriel Grando,Gabriel Grando,gabriel-grando,G. Grando,G,12,192,1323,M,1111770,EUR,954288000,G,12,12,False,26.0,8.0,26.0,8.0,3.0,3.0,5.0,23.0,1.0,1.0,3.0,7.0,1.0,2.0,3.0,2.0,90.0,35.0,7.1,18.0,0.0,0.0,0.00090126,0,0.0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067460,home,Grêmio,Bruno Uvini,,bruno-uvini,Bruno Uvini,D,,187,190,M,158267,EUR,675907200,D,15,15,False,17.0,8.0,4.0,1.0,3.0,6.0,5.0,11.0,4.0,4.0,3.0,4.0,,,,,90.0,24.0,6.6,9.0,0.0,0.0,0.0041248,0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11067460,home,Grêmio,Bruno Alves,,bruno-alves,B. Alves,D,3,184,261,M,551810,EUR,671760000,D,34,34,False,6.0,4.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,,,,,,45.0,11.0,6.8,2.0,0.0,0.0,0.00086881,0,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11067460,home,Grêmio,Walter Kannemann,,walter-kannemann,W. Kannemann,D,4,183,2119,M,249647,EUR,668908800,D,4,4,False,18.0,10.0,5.0,1.0,2.0,5.0,8.0,13.0,,3.0,4.0,4.0,,,,,52.0,30.0,6.2,9.0,0.0,0.0,0.00644612,0,,,3.0,,,2.0,3.0,1.0,True,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067460,home,Grêmio,Fábio,,fabio,Fábio,D,2,172,304,M,40677,EUR,647481600,M,2,2,False,19.0,11.0,5.0,2.0,5.0,7.0,8.0,14.0,2.0,6.0,4.0,2.0,,,,,84.0,39.0,7.2,10.0,0.0,0.0,0.0676918,0,,4.0,8.0,3.0,1.0,,2.0,2.0,,,3.0,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,,
11067460,home,Grêmio,Mathias Villasanti,,mathias-villasanti,M. Villasanti,M,20,178,2843,M,1139775,EUR,854064000,M,20,20,False,12.0,6.0,2.0,1.0,4.0,6.0,2.0,6.0,,3.0,6.0,6.0,,,,,90.0,33.0,7.4,11.0,0.3176,1.0012,0.00106458,2,,,3.0,2.0,1.0,,1.0,,,,1.0,,5.0,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,
11067460,home,Grêmio,Felipe Carballo,,felipe-carballo,F. Carballo,M,,177,618,M,805038,EUR,844387200,M,8,8,False,22.0,18.0,,,5.0,6.0,13.0,17.0,1.0,4.0,1.0,3.0,,,,,90.0,30.0,6.5,7.0,0.0,0.0,0.238453,0,,1.0,5.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,
11067460,home,Grêmio,Reinaldo,,reinaldo,Reinaldo,D,6,178,2574,M,243109,EUR,622944000,M,22,22,False,28.0,18.0,3.0,,7.0,10.0,12.0,21.0,1.0,4.0,5.0,3.0,,,,,90.0,63.0,7.5,19.0,0.0282,0.0,0.167623,1,,,1.0,,1.0,,,3.0,,,1.0,,,1.0,,3.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,
11067460,home,Grêmio,Bitello,Bitello,bitello,Bitello,M,10,179,1768,M,1106839,EUR,947203200,F,39,39,False,9.0,7.0,1.0,1.0,2.0,2.0,5.0,7.0,,2.0,,4.0,,,,,70.0,22.0,7.1,6.0,0.3218,0.5371,0.00811328,2,,1.0,8.0,2.0,,2.0,3.0,,,,1.0,,2.0,1.0,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,
11067460,home,Grêmio,Luis Suárez,,luis-suarez,L. Suárez,F,9,182,125903,M,16943,EUR,538444800,F,9,9,False,30.0,23.0,1.0,1.0,9.0,10.0,14.0,20.0,4.0,7.0,,7.0,,,,,84.0,45.0,8.1,11.0,0.3801,0.4829,0.472335,4,,4.0,8.0,,,,3.0,2.0,,1.0,,,3.0,3.0,,,,,1.0,,1.0,1.0,,3.0,,,ElPistolero,1.0,1.0,,,
