match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_dispossessed,captain,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAGoal,stat_errorLeadToAShot,player_sofascoreId,stat_hitWoodwork
10382241,home,SC Cambuur,Robbin Ruiter,,,robbin-ruiter,R. Ruiter,G,196.0,25,M,40935,EUR,543628800,G,12,12,False,40.0,30.0,21.0,11.0,25.0,28.0,5.0,12.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,90.0,47.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382241,home,SC Cambuur,Doke Schmidt,Doke,Schmidt,doke-schmidt,D. Schmidt,D,177.0,10,M,163571,EUR,702604800,D,5,5,False,43.0,35.0,13.0,10.0,25.0,28.0,10.0,16.0,2.0,3.0,3.0,4.0,,,,,,,72.0,57.0,6.6,11.0,0,15,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10382241,home,SC Cambuur,Leon Bergsma,,,leon-bergsma,L. Bergsma,D,185.0,33,M,795134,EUR,854150400,D,4,4,False,41.0,35.0,9.0,5.0,28.0,31.0,7.0,10.0,3.0,3.0,3.0,2.0,,,,,,,90.0,48.0,6.9,6.0,1,21,,1.0,2.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
10382241,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,185.0,51,M,1394011,EUR,1043020800,D,33,33,False,46.0,42.0,5.0,3.0,38.0,40.0,4.0,6.0,2.0,4.0,8.0,5.0,,,,,,,90.0,62.0,6.8,5.0,0,3,,1.0,5.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10382241,home,SC Cambuur,Sai Van Wermeskerken,,,wermeskerken-sai-van,S. V. Wermeskerken,D,178.0,82,M,795221,EUR,772761600,D,24,24,False,43.0,27.0,11.0,2.0,20.0,25.0,8.0,19.0,,4.0,4.0,10.0,,,,,,,90.0,66.0,6.7,20.0,0,,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10382241,home,SC Cambuur,Daniel van Kaam,,,daniel-van-kaam,D. v. Kaam,M,175.0,86,M,876257,EUR,961718400,M,21,21,False,20.0,15.0,2.0,1.0,8.0,9.0,7.0,13.0,2.0,6.0,,4.0,,,,,,,90.0,32.0,6.5,12.0,0,8,2.0,,1.0,,1.0,,,,,,,,3.0,3.0,,1.0,,1.0,,,,,,,,,,,
10382241,home,SC Cambuur,Mitchell Paulissen,,,mitchell-paulissen,M. Paulissen,M,183.0,32,M,192290,EUR,735350400,M,10,10,False,37.0,26.0,6.0,5.0,16.0,17.0,10.0,21.0,4.0,10.0,2.0,9.0,,,,,,,90.0,48.0,7.2,13.0,0,6,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,1.0,2.0,,2.0,,,True,,,,,,,,,,
10382241,home,SC Cambuur,Navarone Foor,,,navarone-foor,N. Foor,M,170.0,71,M,156562,EUR,697161600,M,19,19,False,23.0,17.0,,,4.0,7.0,14.0,21.0,,2.0,,3.0,,,,,,,79.0,38.0,8.6,12.0,4,25,5.0,1.0,3.0,1.0,,2.0,1.0,,3.0,2.0,,,1.0,,1.0,,,1.0,,2.0,2.0,1.0,,,,,,,
10382241,home,SC Cambuur,Michael Breij,,,michael-breij,M. Breij,M,181.0,83,M,915171,EUR,853286400,F,14,14,False,15.0,13.0,2.0,,6.0,7.0,7.0,8.0,,2.0,,1.0,,,,,,,72.0,26.0,6.9,5.0,2,14,,2.0,4.0,,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,
10382241,home,SC Cambuur,Björn Johnsen,,,bjorn-johnsen,B. Johnsen,F,195.0,238,M,258739,EUR,689385600,F,9,9,False,29.0,17.0,,,4.0,6.0,13.0,23.0,5.0,5.0,1.0,1.0,,,,,,,86.0,38.0,7.3,16.0,3,28,,5.0,5.0,,,,,,,1.0,,,4.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,
