match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_unsuccessfulTouch,player_sofascoreId,stat_bigChanceCreated,stat_dispossessed,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_goals,stat_errorLeadToAShot,stat_penaltyWon,stat_goalAssist,stat_hitWoodwork
10407365,home,SV Zulte Waregem,Louis Bostyn,,,louis-bostyn,L. Bostyn,G,1,195.0,47,M,145093,EUR,749692800,G,25,25,False,32.0,23.0,22.0,13.0,15.0,17.0,8.0,15.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,90.0,45.0,6.1,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Alessandro Ciranni,,,alessandro-ciranni,A. Ciranni,D,2,172.0,38,M,845968,EUR,835920000,D,14,14,False,30.0,22.0,10.0,7.0,10.0,12.0,13.0,21.0,5.0,4.0,1.0,2.0,,1.0,2.0,,,,,90.0,54.0,6.5,15.0,1,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Modou Tambedou,Moudou Tambedou,,modou-tambedou,M. Tambedou,D,20,,99,M,1391466,EUR,1049414400,D,18,18,False,37.0,32.0,10.0,7.0,20.0,21.0,12.0,16.0,2.0,6.0,3.0,4.0,,2.0,,,,,,90.0,50.0,6.9,5.0,0,,,1.0,,,,,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Lukas Willen,,,willen-lukas,L. Willen,D,31,189.0,70,M,1145065,EUR,1051228800,D,31,31,False,30.0,24.0,14.0,9.0,18.0,19.0,6.0,11.0,3.0,4.0,5.0,3.0,,2.0,,,,,,90.0,44.0,6.7,7.0,0,,,3.0,,,,,2.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Novatus Miroshi,,,novatus-miroshi,N. Miroshi,M,20,185.0,3906,M,1103597,EUR,1030924800,D,26,26,False,30.0,18.0,6.0,,9.0,11.0,10.0,22.0,1.0,8.0,3.0,6.0,,1.0,1.0,,,,,84.0,60.0,7.5,18.0,0,3.0,1.0,,,,,,2.0,7.0,4.0,1.0,,,1.0,novatus_40,1.0,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186.0,77,M,846330,EUR,896140800,M,6,6,False,25.0,22.0,2.0,2.0,8.0,8.0,14.0,20.0,7.0,8.0,1.0,6.0,,,2.0,,,,,90.0,43.0,7.5,9.0,1,3.0,,1.0,2.0,2.0,,2.0,,5.0,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,
10407365,home,SV Zulte Waregem,Nicolas Rommens,,,nicolas-rommens,N. Rommens,M,8,183.0,22,M,328159,EUR,787622400,M,20,20,False,31.0,24.0,4.0,3.0,10.0,12.0,15.0,22.0,2.0,1.0,,7.0,,,2.0,,,,,85.0,39.0,7.0,9.0,0,3.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10407365,home,SV Zulte Waregem,Lasse Vigen,,,lasse-vigen-christensen,L. Vigen,M,6,178.0,53,M,135257,EUR,776908800,M,8,8,False,15.0,12.0,1.0,,7.0,7.0,5.0,9.0,2.0,4.0,1.0,6.0,,1.0,1.0,,,,,67.0,25.0,6.8,6.0,0,1.0,,,,,,,1.0,3.0,2.0,,,,1.0,,,1.0,,,,,,,,,,
10407365,home,SV Zulte Waregem,Jelle Vossen,,,jelle-vossen,J. Vossen,F,9,180.0,295,M,45946,EUR,606528000,F,9,9,False,16.0,12.0,2.0,1.0,5.0,6.0,7.0,14.0,1.0,2.0,2.0,1.0,,1.0,,,,,,90.0,26.0,6.6,10.0,0,4.0,,1.0,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,
10407365,home,SV Zulte Waregem,Zinho Gano,,,zinho-gano,Z. Gano,F,9,198.0,220,M,156645,EUR,750470400,F,93,93,False,18.0,12.0,,,3.0,4.0,9.0,14.0,4.0,7.0,,1.0,,2.0,,,,,,67.0,27.0,6.2,9.0,2,,,,1.0,1.0,1.0,,,,,,3.0,4.0,2.0,,,1.0,1.0,,2.0,2.0,,,,,,
