match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_errorLeadToAGoal,stat_clearanceOffLine
12421150,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184,297,M,39457,EUR,641347200,G,49,49,False,True,36.0,25.0,21.0,10.0,0.0,18.0,20.0,7.0,16.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,90.0,45.0,7.1,11.0,0.00252519,0,0.4898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421150,home,Royale Union Saint-Gilloise,Kevin Mac Allister,kevin-mac-allister,K. Mac Allister,D,5,175,9946,M,895327,EUR,878860800,D,5,5,False,,27.0,22.0,3.0,2.0,0.0,17.0,20.0,5.0,7.0,6.0,6.0,3.0,,,,,,70.0,46.0,6.9,6.0,0.00483191,2,,3.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,0.1372,0.1594,,,,,,,,,,,,,,,,,,,
12421150,home,Royale Union Saint-Gilloise,Christian Burgess,christian-burgess,C. Burgess,D,16,196,311,M,303634,EUR,686793600,D,16,16,False,,42.0,30.0,6.0,2.0,0.0,27.0,31.0,3.0,11.0,8.0,6.0,4.0,,,,,,90.0,58.0,7.1,12.0,0.00366577,0,,5.0,2.0,,,,3.0,1.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12421150,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190,1344,M,790977,EUR,872467200,D,28,28,False,,32.0,26.0,7.0,4.0,0.0,15.0,17.0,11.0,15.0,4.0,3.0,4.0,,,,,,90.0,56.0,7.1,6.0,0.0187139,4,,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,1.0,0.3091,0.2101,2.0,,,1.0,1.0,,,,,,,,,,,,,,
12421150,home,Royale Union Saint-Gilloise,Anan Khalaili,khalaili-anan,A. Khalaili,M,25,183,2317,M,1403362,EUR,1094169600,M,25,25,False,,31.0,23.0,3.0,3.0,0.0,5.0,7.0,20.0,30.0,6.0,,4.0,,,,,,89.0,63.0,8.3,16.0,0.432516,5,,1.0,8.0,1.0,2.0,3.0,4.0,2.0,1.0,,0.1672,0.2825,5.0,2.0,4.0,,,,,6.0,2.0,1.0,2.0,1.0,3.0,3.0,,,,,
12421150,home,Royale Union Saint-Gilloise,Charles Vanhoutte,charles-vanhoutte,C. Vanhoutte,M,24,182,634,M,928033,EUR,905904000,M,24,24,False,,52.0,45.0,4.0,4.0,0.0,24.0,28.0,28.0,41.0,1.0,2.0,8.0,,,,,,90.0,82.0,8.0,18.0,0.449519,1,,1.0,3.0,2.0,,,,,1.0,,0.0236,,1.0,1.0,1.0,,,,,17.0,7.0,,,,,6.0,1.0,,,,
12421150,home,Royale Union Saint-Gilloise,Kamiel Van de Perre,van-de-perre-kamiel,K. V. D. Perre,M,6,181,375,M,1146316,EUR,1076544000,M,6,6,False,,31.0,23.0,2.0,,0.0,15.0,16.0,8.0,15.0,10.0,2.0,5.0,2.0,,,,,90.0,52.0,7.7,8.0,0.0242074,0,,,5.0,2.0,,,7.0,5.0,,1.0,,,2.0,,3.0,,,,,,,,1.0,1.0,,2.0,,,,,
12421150,home,Royale Union Saint-Gilloise,Loïc Lapoussin,loic-lapoussin,L. Lapoussin,M,,181,702,M,902987,EUR,827884800,M,94,94,False,,41.0,32.0,1.0,1.0,0.0,10.0,12.0,23.0,31.0,3.0,,10.0,1.0,,,,,84.0,57.0,6.4,18.0,0.47072,1,,,8.0,3.0,,,1.0,1.0,2.0,,0.1764,,1.0,,,,,,,2.0,1.0,1.0,4.0,1.0,,2.0,1.0,,,,
12421150,home,Royale Union Saint-Gilloise,Sofiane Boufal,sofiane-boufal,S. Boufal,F,17,175,14022,M,257205,EUR,748224000,F,23,23,False,,16.0,13.0,3.0,2.0,0.0,3.0,4.0,10.0,14.0,1.0,,3.0,,,,,,45.0,26.0,6.2,10.0,0.0159625,0,,,6.0,,,,1.0,1.0,,1.0,,,,,,,,,,2.0,,,5.0,,,1.0,,Sofianeboufal_19,,,
12421150,home,Royale Union Saint-Gilloise,Promise David,promise-david,P. David,F,12,196,4992,M,1119328,EUR,994118400,F,12,12,False,,13.0,7.0,,,1.0,1.0,2.0,6.0,11.0,4.0,1.0,3.0,,,,,,90.0,35.0,6.6,13.0,0.0076372,7,,2.0,8.0,,4.0,1.0,,,4.0,2.0,1.1911,0.8036,3.0,,1.0,3.0,,Promise David,,,,,5.0,2.0,1.0,1.0,2.0,,,,
