match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,player_firstName,player_lastName,stat_wasFouled,stat_totalContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_keyPass,captain,stat_shotOffTarget,stat_penaltyWon,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_lastManTackle,stat_penaltyConceded
10437981,home,Rio Ave,Jhonatan,jhonatan,Jhonatan,G,189,96,M,798688,EUR,673660800,G,18,18,False,27.0,15.0,19.0,7.0,13.0,16.0,2.0,11.0,6.0,2.0,1.0,3.0,90.0,33.0,7.3,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10437981,home,Rio Ave,Renato Pantalon,renato-pantalon,R. Pantalon,D,196,88,M,826561,EUR,877910400,D,42,42,False,43.0,39.0,5.0,3.0,25.0,27.0,14.0,16.0,5.0,,,,90.0,56.0,6.9,6.0,0,84,1.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10437981,home,Rio Ave,Josué Sá,josue-sa,J. Sá,D,186,48,M,137982,EUR,708739200,D,23,23,False,36.0,30.0,2.0,,23.0,25.0,7.0,11.0,9.0,,,,90.0,46.0,7.1,6.0,0,3,1.0,6.0,5.0,8.0,,,5.0,1.0,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
10437981,home,Rio Ave,Patrick William,patrick-william,P. William,D,186,83,M,921624,EUR,865296000,D,4,4,False,38.0,27.0,8.0,4.0,14.0,15.0,13.0,23.0,7.0,,,,61.0,46.0,6.7,12.0,1,,,2.0,2.0,4.0,,,3.0,,,,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
10437981,home,Rio Ave,Costinha,costinha,Costinha,D,181,818,M,988333,EUR,954028800,M,20,20,False,31.0,25.0,1.0,1.0,12.0,12.0,15.0,27.0,5.0,,,,90.0,72.0,7.7,18.0,0,20,3.0,4.0,10.0,11.0,2.0,,4.0,,3.0,4.0,4.0,,,,1.0,2.0,,5.0,4.0,8.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
10437981,home,Rio Ave,Andreas Samaris,andreas-samaris,A. Samaris,M,189,309,,108398,EUR,613699200,M,30,30,False,44.0,37.0,6.0,5.0,18.0,22.0,19.0,23.0,9.0,,,,90.0,58.0,7.1,10.0,0,,,2.0,5.0,8.0,1.0,1.0,4.0,,,1.0,3.0,,,,4.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
10437981,home,Rio Ave,Gonçalo Rodrigues,goncalo-rodrigues,G. Rodrigues,M,168,231,M,357740,EUR,869184000,M,6,6,False,47.0,42.0,6.0,6.0,19.0,22.0,23.0,28.0,7.0,,,,90.0,61.0,7.1,12.0,2,16,1.0,,6.0,4.0,1.0,2.0,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,,1.0,True,1.0,,,,,,,,,
10437981,home,Rio Ave,Fábio Ronaldo,fabio-ronaldo,F. Ronaldo,F,178,236,M,1134514,EUR,988416000,M,77,77,False,22.0,19.0,2.0,2.0,4.0,4.0,15.0,21.0,1.0,,,,76.0,46.0,6.6,14.0,2,11,,,7.0,3.0,2.0,1.0,,1.0,,4.0,2.0,,,,,3.0,,2.0,1.0,3.0,,1.0,,1.0,,2.0,,,,,,,,,
10437981,home,Rio Ave,Miguel Baeza,miguel-baeza,M. Baeza,M,177,123,M,902051,EUR,954115200,F,15,15,False,10.0,8.0,,,3.0,3.0,6.0,9.0,2.0,,,,36.0,14.0,6.5,4.0,0,8,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,
10437981,home,Rio Ave,Emmanuel Boateng,emmanuel-boateng,E. Boateng,F,175,588,M,580392,EUR,832809600,F,22,22,False,8.0,6.0,,,2.0,2.0,5.0,7.0,1.0,,,,76.0,26.0,7.1,7.0,1,9,,4.0,2.0,9.0,,1.0,2.0,,,3.0,,,,,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,
