match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_wasFouled,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_dispossessed,stat_goals,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
12448276,home,Go Ahead Eagles,Luca Plogmann,luca-plogmann,L. Plogmann,G,1,187,85,M,877840,EUR,952646400,G,1,1,False,37.0,21.0,23.0,7.0,0.0,18.0,22.0,3.0,15.0,1.0,1.0,8.0,1.0,3.0,3.0,90.0,46.0,6.4,16.0,0.00058518,0,-0.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Mats Deijl,mats-deijl,M. Deijl,D,20,180,337,M,794013,EUR,868924800,D,2,2,False,21.0,13.0,5.0,2.0,0.0,9.0,10.0,4.0,12.0,,3.0,4.0,,,,90.0,43.0,6.3,12.0,0.195477,3,,,,True,1.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,0.2096,1.0,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Gerrit Nauber,gerrit-nauber,G. Nauber,D,3,185,79,M,133168,EUR,703123200,D,3,3,False,28.0,24.0,3.0,1.0,0.0,18.0,19.0,6.0,9.0,,2.0,3.0,,,,90.0,35.0,6.8,4.0,0.00559861,0,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Joris Kramer,joris-kramer,J. Kramer,D,4,190,140,M,793742,EUR,838944000,D,4,4,False,46.0,39.0,6.0,3.0,0.0,28.0,31.0,11.0,15.0,4.0,6.0,4.0,,,,90.0,62.0,7.1,7.0,0.00858433,4,,,,,,3.0,3.0,,,,2.0,1.0,1.0,6.0,,2.0,,,,0.258,1.0,,0.1737,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Dean James,dean-james,D. James,D,5,177,6697,M,1046722,EUR,957052800,D,5,5,False,48.0,41.0,4.0,2.0,0.0,19.0,20.0,22.0,32.0,,4.0,7.0,,,,90.0,84.0,7.4,13.0,0.540899,1,,,,,4.0,,2.0,,3.0,2.0,,,1.0,5.0,,2.0,1.0,1.0,1.0,0.0625,3.0,,,1.0,,,,,,,,,,
12448276,home,Go Ahead Eagles,Enric Llansana,enric-llansana,E. Llansana,M,24,183,329,M,916951,EUR,987033600,M,21,21,False,38.0,25.0,4.0,2.0,0.0,7.0,9.0,18.0,29.0,4.0,9.0,4.0,,,,89.0,62.0,7.3,16.0,0.106056,1,,,,,,2.0,4.0,1.0,1.0,,,,1.0,4.0,1.0,4.0,2.0,1.0,,0.0218,1.0,1.0,,,1.0,,,,,,,,,
12448276,home,Go Ahead Eagles,Evert Linthorst,evert-linthorst,E. Linthorst,M,8,187,123,M,932555,EUR,952041600,M,8,8,False,46.0,33.0,8.0,4.0,0.0,11.0,13.0,22.0,35.0,1.0,3.0,4.0,,,,90.0,64.0,7.3,17.0,0.0766978,1,,,,,2.0,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,0.016,,1.0,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Oliver Antman,oliver-antman,O. Antman,M,18,185,1317,M,975743,EUR,997833600,M,19,19,False,24.0,18.0,,,1.0,8.0,12.0,11.0,14.0,,6.0,7.0,,,,89.0,41.0,8.0,11.0,0.0853506,3,,,,,2.0,,,,4.0,4.0,1.0,1.0,1.0,,,,,3.0,,0.1343,4.0,,0.0461,1.0,2.0,1.0,1.0,,,,,,,
12448276,home,Go Ahead Eagles,Jakob Breum,jakob-breum,J. Breum,M,7,173,868,M,1029724,EUR,1069027200,M,7,7,False,35.0,27.0,3.0,1.0,1.0,8.0,8.0,22.0,37.0,,1.0,3.0,,,,89.0,54.0,8.2,15.0,0.516892,4,,,,,10.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,0.167,5.0,,0.1363,1.0,,3.0,,1.0,,,,,,
12448276,home,Go Ahead Eagles,Oliver Edvardsen,oliver-valaker-edvardsen,O. Edvardsen,M,17,175,591,M,878599,EUR,921801600,M,23,23,False,21.0,14.0,,,0.0,3.0,6.0,11.0,17.0,2.0,5.0,2.0,,,,90.0,47.0,7.7,17.0,0.230581,9,,,,,2.0,2.0,5.0,,,,6.0,2.0,1.0,1.0,1.0,1.0,,5.0,,1.1736,1.0,,0.625,,2.0,,1.0,,3.0,1.0,,,,
12448276,home,Go Ahead Eagles,Victor Kaj Edvardsen,victor-kaj-edvardsen,V. K. Edvardsen,F,16,185,433,M,841420,EUR,821577600,F,16,16,False,24.0,12.0,1.0,,0.0,1.0,1.0,12.0,27.0,,3.0,2.0,,,,90.0,36.0,8.0,17.0,0.181915,2,,,,,4.0,4.0,6.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,0.5391,3.0,,0.7444,,1.0,1.0,,,,1.0,,,,
12448276,home,Go Ahead Eagles,Calvin Twigt,calvin-twigt,C. Twigt,M,8,183,95,M,1084944,EUR,1043884800,M,6,6,True,,,,,0.0,,,,,,,,,,,1.0,,,,,0,,Calvin Twigt,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Robbin Weijenberg,robbin-weijenberg,R. Weijenberg,M,15,180,45,M,1386182,EUR,1099872000,M,15,15,True,1.0,,,,0.0,,,,1.0,,,,,,,1.0,3.0,,1.0,,0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Mathis Suray,mathis-suray,M. Suray,M,17,173,318,M,909960,EUR,996105600,M,17,17,True,,,,,0.0,,,,,,,,,,,1.0,1.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Nando Verdoni,nando-verdoni,N. Verdoni,G,33,189,34,M,1130708,EUR,1096243200,G,33,33,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Jari De Busser,jari-de-busser,J. D. Busser,G,22,190,290,M,837072,EUR,940464000,G,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Julius Dirksen,julius-dirksen,J. Dirksen,D,26,185,74,M,1001943,EUR,1044144000,D,26,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Luca Everink,luca-everink,L. Everink,D,36,179,80,M,1014260,EUR,981676800,D,24,24,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Aske Adelgaard,aske-adelgaard,A. Adelgaard,D,29,175,109,M,1133233,EUR,1068422400,D,29,29,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448276,home,Go Ahead Eagles,Søren Tengstedt,soren-tengstedt,S. Tengstedt,M,10,187,88,M,987647,EUR,962323200,M,10,10,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
