match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_hitWoodwork,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_outfielderBlock,stat_bigChanceMissed,stat_goals,stat_penaltyWon,stat_wonContest,player_sofascoreId,captain,stat_goodHighClaim,stat_penaltyFaced,stat_lastManTackle,stat_penaltyConceded
12448345,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,21.0,21.0,1.0,1.0,0.0,20.0,20.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,25.0,7.0,0.00041122,0,0.1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448345,home,PSV Eindhoven,Richard Ledezma,,,richard-ledezma,R. Ledezma,D,37,175,944,M,985176,EUR,968198400,D,37,37,False,94.0,89.0,4.0,1.0,0.0,24.0,27.0,66.0,74.0,,15.0,,,,,90.0,115.0,7.7,0.155852,2,,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,12.0,0.0758,0.1107,1.0,,,,,,,,,,,,,,,,,,,,,
12448345,home,PSV Eindhoven,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,D,6,6,False,67.0,61.0,2.0,1.0,0.0,25.0,26.0,36.0,41.0,1.0,5.0,,,,,87.0,73.0,7.2,0.0425929,1,,,,3.0,4.0,,,,,,,7.0,0.0765,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
12448345,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,108.0,93.0,12.0,5.0,1.0,32.0,39.0,61.0,70.0,2.0,4.0,,,,,90.0,120.0,8.3,0.635578,2,,1.0,,2.0,6.0,2.0,,,,1.0,1.0,17.0,0.0571,,1.0,,1.0,,2.0,4.0,2.0,,1.0,1.0,,,,,,,,,,,,
12448345,home,PSV Eindhoven,Matteo Dams,Matteo Dams,,matteo-dams,M. Dams,D,32,184,819,M,1162305,EUR,1078790400,D,32,32,False,66.0,59.0,4.0,1.0,0.0,25.0,29.0,36.0,45.0,,8.0,,,,,90.0,90.0,7.9,0.429956,1,,8.0,2.0,1.0,4.0,1.0,,,,,,14.0,0.0359,,2.0,,,,1.0,4.0,4.0,,1.0,,2.0,1.0,,,,,,,,,,
12448345,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,25.0,23.0,,,0.0,4.0,4.0,19.0,24.0,,,,,,,87.0,37.0,8.3,0.104933,4,,3.0,,3.0,4.0,,1.0,2.0,,,2.0,7.0,1.2171,0.9488,1.0,1.0,2.0,,2.0,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,
12448345,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,M,22,22,False,74.0,69.0,,,0.0,13.0,13.0,56.0,61.0,1.0,4.0,,,,,67.0,78.0,7.6,0.180589,0,,,,2.0,4.0,,2.0,,,1.0,,5.0,,,3.0,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,
12448345,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,100.0,89.0,5.0,3.0,0.0,18.0,20.0,76.0,97.0,1.0,6.0,,,,,90.0,126.0,8.6,0.452275,4,,17.0,5.0,4.0,1.0,1.0,,2.0,2.0,,,24.0,0.1627,0.167,5.0,,,,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,
12448345,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,F,11,11,False,51.0,43.0,,,0.0,4.0,4.0,40.0,63.0,,2.0,,,,,90.0,89.0,7.6,0.603701,5,,16.0,1.0,9.0,4.0,,8.0,2.0,2.0,,,34.0,0.2367,0.1255,2.0,,,2.0,1.0,1.0,1.0,2.0,,4.0,,,,,,3.0,johanbakayoko,,,,,
12448345,home,PSV Eindhoven,Luuk de Jong,,,luuk-de-jong,L. de Jong,F,26,188,8572,M,40878,EUR,651715200,F,9,9,False,14.0,11.0,1.0,1.0,0.0,1.0,3.0,10.0,11.0,2.0,1.0,,,,,67.0,24.0,7.8,0.0483439,3,,,,2.0,4.0,,2.0,3.0,,,,5.0,0.9613,1.6286,2.0,1.0,2.0,1.0,,,,,,1.0,,,,1.0,,2.0,luukdejong9,True,,,,
