match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,player_firstName,player_lastName,stat_goalAssist,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_keyPass,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_wasFouled,player_sofascoreId,stat_goals,stat_expectedGoalsOnTarget,stat_shotOffTarget,captain,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_clearanceOffLine
10385466,home,Leicester City,Danny Ward,danny-ward,D. Ward,G,21,191,698,M,197428,EUR,740707200,G,1,1,False,32.0,12.0,24.0,5.0,8.0,15.0,4.0,17.0,10.0,2.0,1.0,3.0,90.0,44.0,6.6,20.0,0.00101248,0,0.2745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385466,home,Leicester City,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,27,27,False,38.0,32.0,1.0,,18.0,18.0,14.0,22.0,5.0,,,,90.0,61.0,6.5,10.0,0.00575017,1,,2.0,3.0,1.0,5.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0175,,,,,,,,,,,,,,,,,,,,,,,
10385466,home,Leicester City,Harry Souttar,harry-souttar,H. Souttar,D,15,198,591,M,808680,EUR,909014400,D,15,15,False,50.0,44.0,7.0,5.0,21.0,21.0,23.0,29.0,8.0,,,,90.0,57.0,6.9,6.0,0.0105809,0,,,,,4.0,3.0,2.0,,1.0,3.0,3.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10385466,home,Leicester City,Wout Faes,wout-faes,W. Faes,D,25,185,1743,M,361696,EUR,891561600,D,3,3,False,45.0,42.0,2.0,2.0,31.0,34.0,11.0,11.0,5.0,,,,90.0,54.0,6.6,4.0,0.00383618,0,,,4.0,,5.0,,,,2.0,,,1.0,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,
10385466,home,Leicester City,Victor Kristiansen,kristiansen-victor,V. Kristiansen,D,16,181,1305,M,1092409,EUR,1039996800,D,16,16,False,42.0,33.0,7.0,3.0,14.0,16.0,19.0,27.0,5.0,,,,90.0,73.0,7.2,17.0,0.312895,1,,1.0,2.0,,4.0,8.0,,,2.0,6.0,4.0,1.0,0.0706,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
10385466,home,Leicester City,Nampalys Mendy,nampalys-mendy,N. Mendy,M,23,168,5158,M,123166,EUR,709257600,M,24,24,False,55.0,50.0,2.0,2.0,29.0,34.0,21.0,21.0,11.0,,,,69.0,69.0,7.8,8.0,0.00459566,1,,,,1.0,1.0,6.0,,1.0,,3.0,2.0,1.0,0.0315,,,,,2.0,,1.0,,1.0,,,,2.0,papy.mendy,1.0,0.1721,,,,,,,
10385466,home,Leicester City,Kiernan Dewsbury-Hall,dewsbury-hall-kiernan,K. Dewsbury-Hall,M,22,178,10632,M,861970,EUR,905040000,M,22,22,False,55.0,43.0,7.0,3.0,17.0,18.0,26.0,37.0,10.0,,,,90.0,66.0,7.2,14.0,0.0252753,0,,,,,4.0,3.0,1.0,,,3.0,2.0,2.0,,,,,,2.0,3.0,4.0,,,,,,,kdh_8,,,,,,,,,
10385466,home,Leicester City,Tetê,tete,Tetê,F,21,175,3978,M,980327,EUR,950572800,M,37,37,False,22.0,18.0,,,8.0,8.0,10.0,14.0,4.0,,,,77.0,34.0,6.4,8.0,0.00311201,2,,,5.0,1.0,9.0,4.0,3.0,,,1.0,,3.0,0.1372,,,,,,,,1.0,1.0,1.0,,,1.0,Tete,,,2.0,,,,,,
10385466,home,Leicester City,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,356398,EUR,848707200,M,10,10,False,42.0,33.0,2.0,1.0,10.0,10.0,24.0,33.0,5.0,,,,88.0,56.0,8.1,11.0,0.0890705,3,,1.0,,,4.0,6.0,1.0,1.0,,1.0,1.0,1.0,0.448,,,1.0,,,2.0,2.0,,4.0,3.0,,,2.0,Madders,1.0,0.5569,2.0,True,1.0,,,,
10385466,home,Leicester City,Harvey Barnes,harvey-barnes,H. Barnes,F,11,181,5550,M,855647,EUR,881625600,M,7,7,False,29.0,22.0,1.0,1.0,9.0,10.0,14.0,20.0,4.0,,,,90.0,48.0,7.4,12.0,0.174885,3,,1.0,3.0,2.0,13.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,0.4668,,,,,1.0,5.0,1.0,2.0,1.0,1.0,,,1.0,,1.0,0.3575,1.0,,1.0,1.0,1.0,,
