match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_aerialWon,stat_shotOffTarget,stat_totalClearance,stat_wonTackle,stat_fouls,player_firstName,player_lastName,captain,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_accurateCross,stat_onTargetScoringAttempt,stat_keyPass,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_punches
11452959,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,19.0,14.0,8.0,3.0,0.0,14.0,14.0,5.0,5.0,2.0,1.0,1.0,1.0,90.0,25.0,7.2,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452959,home,Al-Taawoun,Abdulmalik Al Oyayari,al-oyayari-abdulmalik,A. A. Oyayari,D,15,175.0,54,M,1210456,EUR,1071014400,D,15,15,False,38.0,34.0,,,0.0,10.0,11.0,30.0,3.0,,,,,81.0,53.0,6.8,9.0,0,24.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11452959,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,4,4,False,62.0,51.0,7.0,4.0,0.0,26.0,29.0,33.0,5.0,,,,,90.0,72.0,7.5,12.0,1,25.0,,1.0,4.0,9.0,,1.0,1.0,3.0,,,,6.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,
11452959,home,Al-Taawoun,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179.0,398,M,847235,EUR,712627200,D,14,14,False,45.0,44.0,1.0,1.0,0.0,24.0,24.0,21.0,9.0,,,,,90.0,54.0,7.4,2.0,0,20.0,,2.0,5.0,4.0,,1.0,1.0,,,,,3.0,,4.0,,2.0,,,True,1.0,1.0,2.0,,,,,,,,,,
11452959,home,Al-Taawoun,Muath Faqeehi,muath-faqeehi,M. Faqeehi,D,42,188.0,464,M,1457521,EUR,1022716800,D,42,42,False,36.0,30.0,2.0,2.0,0.0,11.0,13.0,29.0,7.0,,,,,90.0,62.0,7.4,15.0,1,20.0,6.0,1.0,5.0,4.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,Muath Muath,,,1.0,,1.0,1.0,,,,,,,,,
11452959,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,43.0,37.0,1.0,1.0,0.0,8.0,8.0,36.0,1.0,,,,,90.0,59.0,7.6,10.0,4,29.0,1.0,1.0,4.0,8.0,,1.0,1.0,6.0,,1.0,,1.0,4.0,,3.0,2.0,,,,,,,,,,,,,,,,
11452959,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,101.0,93.0,14.0,12.0,1.0,22.0,23.0,78.0,8.0,,,,,90.0,119.0,8.2,13.0,2,71.0,,,3.0,7.0,,2.0,,1.0,2.0,2.0,,4.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,2.0,,,,,,,
11452959,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,83.0,69.0,5.0,2.0,0.0,21.0,22.0,66.0,14.0,,,,,90.0,103.0,8.1,21.0,2,49.0,5.0,1.0,5.0,4.0,1.0,2.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,9.0,1.0,1.0,,,,,
11452959,home,Al-Taawoun,Mateus Castro,mateus-castro,Mateus Castro,F,10,167.0,280,M,815630,EUR,779241600,F,16,16,False,25.0,18.0,2.0,1.0,0.0,2.0,2.0,27.0,5.0,,,,,89.0,51.0,7.6,18.0,5,17.0,4.0,2.0,8.0,6.0,1.0,,,1.0,3.0,2.0,1.0,,2.0,2.0,1.0,,,,,8.0,3.0,,1.0,3.0,1.0,,,1.0,1.0,,,
11452959,home,Al-Taawoun,Léandre Tawamba,leandre-tawamba,L. Tawamba,F,,189.0,255,M,315224,EUR,630115200,F,3,3,False,12.0,9.0,,,0.0,2.0,2.0,10.0,2.0,,,,,89.0,22.0,6.9,7.0,1,7.0,,1.0,6.0,1.0,,2.0,,,2.0,,,,,1.0,,3.0,,,,1.0,1.0,,,,2.0,1.0,,,,1.0,,
