match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_goalAssist,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,player_firstName,player_lastName,stat_accurateCross,captain,stat_shotOffTarget,stat_totalOffside,stat_bigChanceMissed,stat_saves
11452978,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,26.0,15.0,16.0,5.0,13.0,17.0,2.0,9.0,1.0,7.0,1.0,1.0,1.0,90.0,32.0,6.6,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11452978,home,Al-Taawoun,Abdulmalik Al Oyayari,al-oyayari-abdulmalik,A. A. Oyayari,D,15,175.0,54,M,1210456,EUR,1071014400,D,15,15,False,52.0,46.0,2.0,2.0,19.0,20.0,27.0,34.0,,2.0,,,,90.0,77.0,7.0,13.0,0,2.0,1.0,1.0,7.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11452978,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,4,4,False,55.0,49.0,8.0,3.0,38.0,39.0,11.0,16.0,4.0,4.0,,,,90.0,70.0,7.3,8.0,1,,,1.0,2.0,6.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,
11452978,home,Al-Taawoun,Waleed Al-Ahmed,waleed-al-ahmed,W. Al-Ahmed,D,23,189.0,197,M,978400,EUR,925689600,D,23,23,False,53.0,47.0,8.0,5.0,34.0,35.0,13.0,18.0,3.0,4.0,,,,85.0,65.0,7.7,7.0,1,,2.0,3.0,4.0,6.0,1.0,,,,,3.0,1.0,1.0,,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,
11452978,home,Al-Taawoun,Muath Faqeehi,muath-faqeehi,M. Faqeehi,D,42,188.0,464,M,1457521,EUR,1022716800,D,42,42,False,46.0,41.0,2.0,1.0,20.0,23.0,23.0,26.0,,7.0,,,,85.0,63.0,6.9,7.0,1,3.0,,,4.0,2.0,2.0,,1.0,1.0,,2.0,1.0,2.0,,,1.0,,1.0,1.0,,,,,Muath Muath,,2.0,,,,,
11452978,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,63.0,57.0,5.0,4.0,25.0,25.0,32.0,38.0,1.0,7.0,,,,90.0,76.0,7.6,8.0,1,,,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,
11452978,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,113.0,108.0,11.0,10.0,60.0,61.0,48.0,52.0,3.0,11.0,,,,90.0,125.0,7.7,7.0,0,,2.0,2.0,4.0,6.0,1.0,,,,,2.0,1.0,1.0,4.0,,,,2.0,1.0,,,,2.0,,,,True,,,,
11452978,home,Al-Taawoun,Álvaro Medrán,alvaro-medran,Á. Medrán,M,10,176.0,321,M,537018,EUR,763689600,M,10,10,False,100.0,86.0,12.0,7.0,31.0,33.0,56.0,70.0,1.0,10.0,,,,90.0,118.0,8.8,17.0,5,3.0,,1.0,2.0,5.0,2.0,,1.0,1.0,,2.0,,,4.0,1.0,2.0,,1.0,1.0,,2.0,,2.0,,,1.0,,1.0,,,
11452978,home,Al-Taawoun,Mateus Castro,mateus-castro,Mateus Castro,F,10,167.0,280,M,815630,EUR,779241600,F,16,16,False,50.0,43.0,,,14.0,14.0,30.0,39.0,,3.0,,,,90.0,62.0,7.9,14.0,1,3.0,,,5.0,3.0,1.0,4.0,1.0,1.0,1.0,,1.0,,4.0,2.0,1.0,,,,,,,2.0,,,1.0,,,1.0,,
11452978,home,Al-Taawoun,Sattam Al-Roqi,sattam-al-roqi,S. Al-Roqi,F,24,169.0,18,M,1521951,EUR,1017273600,F,7,7,False,6.0,3.0,,,1.0,1.0,2.0,5.0,,,,,,85.0,15.0,7.3,7.0,2,,,1.0,3.0,3.0,,2.0,2.0,2.0,,,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,Sattam Al-Roqi,,,,,,,
