match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_shotOffTarget,stat_keyPass,stat_challengeLost,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,stat_goodHighClaim,stat_clearanceOffLine,stat_outfielderBlock
10388499,home,TSG Hoffenheim,Oliver Baumann,oliver-baumann,O. Baumann,G,1,185,1392,M,40244,EUR,644284800,G,1,1,False,True,31.0,26.0,8.0,3.0,25.0,26.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,90.0,35.0,5.6,5.0,0.0,0.0,0.00026657,0,-1.2091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Ozan Kabak,ozan-kabak,O. Kabak,D,5,185,2402,M,857740,EUR,953942400,D,5,5,False,,45.0,37.0,4.0,2.0,24.0,25.0,13.0,20.0,6.0,,,,,90.0,58.0,6.2,11.0,0.038,0.2603,0.0178015,1,,4.0,3.0,8.0,7.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,John Brooks,john-brooks,J. Brooks,D,25,193,355,M,132149,EUR,728179200,D,23,23,False,,76.0,59.0,13.0,4.0,49.0,54.0,10.0,22.0,12.0,,,,,90.0,89.0,6.5,17.0,0.0,0.0,0.00412724,0,,,3.0,2.0,9.0,,1.0,1.0,,2.0,1.0,3.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Stanley N'Soki,stanley-nsoki,S. N'Soki,D,34,184,416,M,904991,EUR,923616000,D,34,34,False,,55.0,48.0,8.0,5.0,27.0,29.0,21.0,26.0,11.0,,,,,90.0,62.0,6.3,7.0,0.038,0.0,0.0203664,0,,1.0,1.0,2.0,4.0,,1.0,1.0,,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Pavel Kadeřábek,pavel-kaderabek,P. Kadeřábek,M,3,182,266,M,109296,EUR,704160000,M,3,3,False,,26.0,19.0,3.0,,10.0,12.0,10.0,16.0,4.0,,,,,62.0,55.0,6.2,12.0,0.0946,0.0,0.178515,1,,1.0,,6.0,3.0,2.0,,,,1.0,,1.0,1.0,,2.0,3.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Sebastian Rudy,sebastian-rudy,S. Rudy,M,16,180,207,,35680,EUR,636163200,M,16,16,False,,21.0,17.0,2.0,,9.0,9.0,10.0,14.0,3.0,,,,,45.0,30.0,6.8,5.0,0.0292,0.02,0.0509408,1,,,,3.0,2.0,1.0,,,1.0,,1.0,2.0,1.0,,,1.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,
10388499,home,TSG Hoffenheim,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,,31.0,21.0,2.0,1.0,8.0,10.0,13.0,22.0,4.0,,,,,90.0,53.0,6.6,18.0,0.3448,0.0,0.437524,3,,4.0,5.0,13.0,9.0,3.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,5.0,,,1.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
10388499,home,TSG Hoffenheim,Angeliño,angelino,Angeliño,M,3,171,3342,M,848355,EUR,852336000,M,11,11,False,,41.0,22.0,9.0,2.0,12.0,17.0,11.0,32.0,5.0,,,,,90.0,71.0,6.0,32.0,0.0,0.0,0.0366367,0,,1.0,,4.0,2.0,,3.0,1.0,,,,1.0,,,,1.0,,,8.0,1.0,,,1.0,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Tom Bischof,tom-bischof,T. Bischof,M,20,176,6361,M,1129935,EUR,1119916800,F,39,39,False,,19.0,16.0,2.0,1.0,8.0,9.0,8.0,11.0,2.0,,,,,75.0,37.0,7.5,6.0,0.0651,0.0571,0.266897,2,,,,3.0,7.0,,,,1.0,,,4.0,3.0,2.0,3.0,3.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,
10388499,home,TSG Hoffenheim,Kasper Dolberg,kasper-dolberg,K. Dolberg,F,9,187,4191,M,795761,EUR,876096000,F,19,19,False,,7.0,5.0,,,2.0,2.0,3.0,5.0,,,,,,45.0,11.0,6.5,5.0,0.0818,0.0,0.00622174,1,,4.0,,7.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,KDolberg,1.0,,,,,
10388499,home,TSG Hoffenheim,Andrej Kramarić,andrej-kramaric,A. Kramarić,F,27,177,7591,M,67647,EUR,677289600,F,27,27,False,,34.0,28.0,2.0,1.0,9.0,11.0,20.0,28.0,1.0,,,,,90.0,50.0,7.1,13.0,0.3484,0.0,0.235997,4,,,1.0,1.0,3.0,,2.0,2.0,,1.0,,,,3.0,,,,,5.0,1.0,,2.0,2.0,1.0,,,,andrejkramaric,2.0,3.0,,,,
10388499,home,TSG Hoffenheim,Umut Tohumcu,umut-tohumcu,U. Tohumcu,M,8,176,432,M,1083410,EUR,1092182400,M,40,40,True,,19.0,17.0,4.0,3.0,11.0,12.0,6.0,7.0,1.0,,,,,45.0,26.0,6.5,3.0,0.0316,0.0,0.00635489,1,,,,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,Umut Tohumcu,,,,,,,,,,,,1.0,,,,,
10388499,home,TSG Hoffenheim,Ihlas Bebou,ihlas-bebou,I. Bebou,F,9,183,465,M,254297,EUR,767059200,F,9,9,True,,13.0,9.0,3.0,1.0,2.0,2.0,7.0,13.0,3.0,,,,,45.0,35.0,7.2,14.0,0.8143,0.9407,0.0367543,1,,,,4.0,3.0,2.0,4.0,2.0,1.0,,2.0,1.0,1.0,4.0,,,,,2.0,,,,1.0,,,,,,,,1.0,,,
10388499,home,TSG Hoffenheim,Munas Dabbur,munas-dabbur,M. Dabbur,F,19,182,608,M,114379,EUR,705801600,F,10,10,True,,12.0,7.0,,,1.0,1.0,6.0,11.0,3.0,,,,,28.0,14.0,6.5,5.0,0.0,0.0,0.0103665,0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
10388499,home,TSG Hoffenheim,Finn Ole Becker,becker-finn-ole,F. O. Becker,M,25,177,144,M,979821,EUR,960422400,M,20,20,True,,7.0,6.0,,,1.0,1.0,5.0,6.0,1.0,,,,,15.0,10.0,6.8,1.0,0.0,0.0,0.172047,0,,1.0,,2.0,3.0,,,,,,,3.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Luca Philipp,luca-philipp,L. Philipp,G,37,192,119,M,943550,EUR,975369600,G,37,37,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Ermin Bičakčić,ermin-bicakcic,E. Bičakčić,D,,185,530,M,103012,EUR,633139200,D,4,4,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Justin Che,justin-che,J. Che,D,17,186,339,M,1046097,EUR,1069113600,D,24,24,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Justin Che,,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Eduardo Quaresma,eduardo-quaresma,E. Quaresma,D,72,185,2180,M,989841,EUR,1015027200,D,26,26,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Eduardo,Quaresma,,,,,,,,,,,,,,,,
10388499,home,TSG Hoffenheim,Muhammed Damar,muhammed-damar,M. Damar,M,10,185,484,M,1128638,EUR,1081468800,M,35,35,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388499,away,Borussia M'gladbach,Jonas Omlin,jonas-omlin,J. Omlin,G,18,189,396,M,571622,EUR,758160000,G,1,1,False,,42.0,33.0,22.0,14.0,23.0,25.0,10.0,17.0,9.0,2.0,3.0,1.0,1.0,90.0,52.0,6.6,10.0,0.0,0.0,0.00152956,0,0.2781,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
10388499,away,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,,25.0,20.0,1.0,,9.0,11.0,11.0,14.0,5.0,,,,,89.0,42.0,6.2,8.0,0.0,0.0,0.121173,0,,,1.0,3.0,2.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
10388499,away,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,,52.0,43.0,6.0,1.0,34.0,35.0,9.0,17.0,3.0,,,,,90.0,64.0,7.4,10.0,0.0,0.0,0.00194803,0,,1.0,4.0,2.0,8.0,,,,,1.0,1.0,1.0,,1.0,4.0,,,,,,,,,1.0,,,,,,,,,1.0,2.0
10388499,away,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,,46.0,40.0,4.0,2.0,38.0,41.0,2.0,5.0,2.0,,,,,90.0,52.0,6.9,6.0,0.0,0.0,0.00075372,0,,1.0,3.0,2.0,4.0,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0
