match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_fouls,player_firstName,player_lastName,stat_challengeLost,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,captain,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10433805,home,Sivasspor,Ali Şaşal Vural,ali-sasal-vural,A. Ş. Vural,G,35,187,64,M,94540,EUR,647568000,G,35,35,False,27.0,15.0,15.0,3.0,12.0,13.0,3.0,14.0,12.0,3.0,90.0,37.0,7.3,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Murat Paluli,murat-paluli,M. Paluli,D,7,175,36,M,893014,EUR,776390400,D,2,2,False,46.0,33.0,4.0,1.0,15.0,19.0,18.0,28.0,4.0,,90.0,64.0,7.1,18.0,0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Dimitris Goutas,dimitris-goutas,D. Goutas,D,6,189,262,M,257497,EUR,765417600,D,6,6,False,49.0,40.0,12.0,8.0,27.0,28.0,13.0,21.0,7.0,,90.0,64.0,8.1,11.0,0,,2.0,1.0,2.0,3.0,,,8.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Aaron Appindangoyé,aaron-appindangoye,A. Appindangoyé,D,2,185,333,M,785850,EUR,698544000,D,4,4,False,45.0,41.0,12.0,9.0,31.0,32.0,10.0,13.0,5.0,,90.0,49.0,7.0,4.0,0,,3.0,,3.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Uğur Çiftçi,ugur-ciftci,U. Çiftçi,D,58,180,67,M,142850,EUR,704937600,D,3,3,False,32.0,26.0,5.0,2.0,10.0,10.0,16.0,25.0,6.0,,88.0,57.0,6.9,12.0,0,3.0,1.0,,4.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Kader Keïta,kader-keita,K. Keïta,M,18,178,285,M,991653,EUR,973468800,M,28,28,False,50.0,43.0,5.0,4.0,21.0,23.0,22.0,28.0,13.0,,90.0,68.0,7.1,11.0,1,1.0,1.0,,4.0,4.0,,,1.0,4.0,2.0,2.0,,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
10433805,home,Sivasspor,Clinton N'Jie,clinton-njie,C. N'Jie,F,,175,918,M,291665,EUR,745372800,M,10,10,False,25.0,16.0,2.0,1.0,6.0,7.0,12.0,27.0,4.0,,64.0,48.0,6.7,19.0,4,9.0,,1.0,3.0,4.0,4.0,3.0,1.0,1.0,,1.0,,,,,2.0,,2.0,,,,1.0,2.0,2.0,3.0,,,,,,,,,
10433805,home,Sivasspor,Charis Charisis,charis-charisis,C. Charisis,M,8,177,125,M,317297,EUR,789868800,M,15,15,False,9.0,6.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,,45.0,14.0,6.8,4.0,0,,,,1.0,2.0,,,,2.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
10433805,home,Sivasspor,Hakan Arslan,hakan-arslan,H. Arslan,M,,186,43,M,60646,EUR,585187200,M,37,37,False,23.0,21.0,1.0,,15.0,15.0,6.0,8.0,4.0,,55.0,26.0,6.5,3.0,0,,2.0,1.0,3.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,
10433805,home,Sivasspor,Max Gradel,max-gradel,M. Gradel,M,,177,1295,M,16590,EUR,565228800,M,7,7,False,29.0,24.0,2.0,1.0,2.0,4.0,24.0,37.0,7.0,,89.0,57.0,6.3,23.0,0,12.0,1.0,,8.0,3.0,3.0,,,1.0,1.0,3.0,,,1.0,2.0,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,
