match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_penaltyConceded,stat_wonContest,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_expectedGoals,stat_blockedScoringAttempt,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_errorLeadToAShot,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon
11451092,home,İstanbulspor,David Jensen,david-jensen,D. Jensen,G,195,47,M,47860,EUR,701481600,G,1,1,False,27.0,22.0,7.0,2.0,21.0,22.0,1.0,5.0,1.0,6.0,3.0,1.0,90.0,32.0,6.8,5.0,0.00830682,1.0,0,-0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Demeaco Duhaney,duhaney-demeaco,D. Duhaney,D,180,24,M,851095,EUR,908236800,D,21,21,False,33.0,27.0,3.0,1.0,14.0,15.0,14.0,21.0,5.0,6.0,,,90.0,56.0,6.9,12.0,0.0296417,,0,,,,21,3.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Okan Erdoğan,okan-erdogan,O. Erdoğan,D,185,54,M,881213,EUR,907027200,D,23,23,False,61.0,50.0,7.0,3.0,38.0,42.0,12.0,19.0,9.0,4.0,,,90.0,78.0,6.7,11.0,0.0081897,,0,,,,3,,,3.0,5.0,4.0,1.0,,,1.0,3.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Racine Coly,racine-coly,R. Coly,D,185,81,M,553454,EUR,818380800,D,13,13,False,59.0,56.0,4.0,3.0,47.0,49.0,9.0,10.0,1.0,11.0,,,90.0,66.0,6.7,5.0,0.00367841,,0,,,,,,,1.0,4.0,3.0,1.0,,3.0,,,,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Ali Yaşar,ali-yasar,A. Yaşar,D,180,31,M,190815,EUR,794620800,D,66,66,False,45.0,38.0,2.0,,22.0,27.0,16.0,19.0,4.0,4.0,,,89.0,65.0,7.3,12.0,0.546952,1.0,0,,,,66,1.0,,1.0,3.0,7.0,,2.0,,,2.0,1.0,2.0,,3.0,,,,1.0,True,1.0,1.0,,,,,,,,,,,,
11451092,home,İstanbulspor,Modestas Vorobjovas,modestas-vorobjovas,M. Vorobjovas,M,177,70,M,319751,EUR,820281600,M,6,6,False,19.0,16.0,,,7.0,8.0,9.0,11.0,,1.0,,,45.0,24.0,6.6,5.0,0.00426705,,0,,,,6,,,,3.0,,2.0,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Muammer Sarıkaya,muammer-sarikaya,M. Sarıkaya,M,179,36,M,816571,EUR,886982400,M,24,24,False,52.0,43.0,9.0,6.0,31.0,36.0,12.0,16.0,1.0,4.0,,,90.0,61.0,6.9,12.0,0.00625099,,1,,,,24,,,,1.0,5.0,,1.0,,1.0,3.0,1.0,,,2.0,,,,2.0,,,,1.0,0.0553,,,,,,,,,,
11451092,home,İstanbulspor,Alassane Ndao,ndao-alassane,A. Ndao,M,176,333,M,1016033,EUR,851040000,M,18,18,False,29.0,22.0,1.0,,9.0,10.0,13.0,24.0,,5.0,,,82.0,55.0,6.6,20.0,0.0354597,,4,,,,,5.0,,,6.0,6.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,,,,1.0,3.0,,,,1.0,0.1684,3.0,1.0,,,,,,,,
11451092,home,İstanbulspor,Florian Loshaj,florian-loshaj,F. Loshaj,M,174,152,M,831407,EUR,839894400,M,34,34,False,48.0,43.0,4.0,1.0,31.0,32.0,13.0,20.0,1.0,6.0,,,90.0,60.0,6.9,11.0,0.0512358,,0,,,,10,4.0,1.0,,4.0,1.0,1.0,1.0,,,1.0,,,2.0,,2.0,,,2.0,,,,,,,,,,,,,,,
11451092,home,İstanbulspor,Jackson,jackson,Jackson,M,178,61,M,911351,EUR,924912000,M,99,99,False,31.0,29.0,1.0,1.0,19.0,21.0,10.0,10.0,1.0,3.0,,,82.0,44.0,6.6,7.0,0.0144402,,1,,,,,,,,4.0,3.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,2.0,,,,,0.0797,,,1.0,0.3286,,,,,,
