match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_accurateCross,captain,stat_blockedScoringAttempt,stat_dispossessed,stat_lastManTackle,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_goals
12528245,home,Bodrum FK,Diogo Sousa,diogo-sousa,D. Sousa,G,1,195,145,M,882110,EUR,905904000,G,1,1,False,26.0,8.0,23.0,5.0,0.0,3.0,5.0,5.0,21.0,1.0,13.0,1.0,3.0,4.0,4.0,1.0,1.0,90.0,39.0,7.6,19.0,0.0137533,0,1.2414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528245,home,Bodrum FK,Uzeyir Ergun,uzeyir-ergun,U. Ergun,D,23,178,29,M,996122,EUR,720835200,D,23,23,False,24.0,13.0,8.0,2.0,0.0,8.0,10.0,5.0,16.0,4.0,2.0,1.0,,,,,,90.0,42.0,6.9,16.0,0.025591,0,,,,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12528245,home,Bodrum FK,Arlind Ajeti,arlind-ajeti,A. Ajeti,D,15,184,457,M,111746,EUR,748915200,D,15,15,False,17.0,10.0,7.0,2.0,0.0,5.0,5.0,5.0,12.0,4.0,,1.0,,,,,,90.0,27.0,7.0,7.0,0.00442071,1,,,,,,2.0,1.0,1.0,,,,,3.0,1.0,1.0,4.0,1.0,0.0108,,,,,,,,,,,,,
12528245,home,Bodrum FK,Ali Aytemur,ali-aytemur,A. Aytemur,D,34,184,29,M,802650,EUR,828489600,D,34,34,False,29.0,23.0,4.0,2.0,0.0,14.0,17.0,9.0,12.0,1.0,2.0,,,,,,,90.0,35.0,6.9,6.0,0.0166038,1,,,,,,1.0,,2.0,,,,2.0,,,1.0,,1.0,0.1041,1.0,1.0,1.0,0.5813,,,,,,,,,
12528245,home,Bodrum FK,Cenk Şen,cenk-sen,C. Şen,D,77,170,45,M,957359,EUR,970444800,D,77,77,False,17.0,12.0,3.0,,0.0,5.0,8.0,8.0,13.0,1.0,4.0,,,,,,,90.0,34.0,6.5,13.0,0.125719,0,,,,4.0,1.0,3.0,,1.0,,,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,,1.0,,,,,,,,
12528245,home,Bodrum FK,Ege Bilsel,ege-bilsel,E. Bilsel,D,70,175,74,M,1011244,EUR,1073174400,M,70,70,False,10.0,9.0,,,0.0,3.0,4.0,6.0,7.0,2.0,2.0,1.0,,,,,,42.0,18.0,6.8,4.0,0.0102842,0,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,
12528245,home,Bodrum FK,Fredy,fredy,Fredy,M,16,169,1026,M,845281,EUR,638496000,M,16,16,False,27.0,19.0,3.0,1.0,0.0,9.0,10.0,10.0,18.0,1.0,,,,,,,,59.0,37.0,6.4,10.0,0.0194585,4,,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,0.1401,,,2.0,0.068,,True,1.0,,,,,,
12528245,home,Bodrum FK,Musah Mohammed,mohammed-musah,M. Mohammed,M,6,192,126,M,1105505,EUR,1010188800,M,26,26,False,14.0,9.0,2.0,1.0,0.0,4.0,6.0,5.0,8.0,9.0,3.0,3.0,,,,,,90.0,27.0,6.8,6.0,0.00237859,1,,,,,2.0,6.0,,3.0,2.0,2.0,,1.0,4.0,,,2.0,5.0,0.0142,,,,,,,1.0,,,,,,
12528245,home,Bodrum FK,Zdravko Dimitrov,zdravko-dimitrov,Z. Dimitrov,M,22,180,222,M,871342,EUR,903916800,M,7,7,False,17.0,12.0,2.0,1.0,0.0,,1.0,12.0,19.0,5.0,2.0,2.0,,,,,,85.0,32.0,6.9,12.0,0.0183935,0,,,,3.0,,3.0,,,,,1.0,,,,,,,,4.0,3.0,,,,,,2.0,,,,,
12528245,home,Bodrum FK,Gökdeniz Bayrakdar,gokdeniz-bayrakdar,G. Bayrakdar,F,41,181,144,M,952564,EUR,1006473600,F,41,41,False,15.0,10.0,1.0,,0.0,2.0,4.0,8.0,12.0,4.0,5.0,,,,,,,90.0,30.0,6.8,10.0,0.0481551,1,,,,1.0,2.0,9.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,5.0,0.027,3.0,2.0,,,,,,1.0,,,,,
