match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_wasFouled,captain,player_sofascoreId,stat_accurateCross,stat_dispossessed,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,player_firstName,player_lastName,stat_shotOffTarget,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon
11067606,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,24.0,21.0,16.0,13.0,21.0,21.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,90.0,31.0,7.0,3.0,0.00014238,0,0.9529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Mariano,mariano,Mariano,D,,177,308,M,40076,EUR,519868800,D,25,25,False,49.0,39.0,12.0,9.0,20.0,24.0,28.0,1.0,9.0,,,,,,90.0,64.0,6.2,14.0,0.0110389,0,,19.0,3.0,1.0,7.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Igor Rabello,igor-rabello,I. Rabello,D,21,190,883,M,753662,EUR,799027200,D,16,16,False,32.0,27.0,5.0,2.0,16.0,18.0,14.0,5.0,4.0,,,,,,90.0,49.0,6.5,7.0,0.00464549,0,,11.0,,2.0,9.0,7.0,6.0,,,3.0,4.0,3.0,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Réver,rever,Réver,D,4,192,176,,39421,EUR,473644800,D,4,4,False,39.0,37.0,7.0,5.0,27.0,28.0,11.0,2.0,3.0,,,,,,90.0,45.0,6.9,3.0,0.0471472,0,,10.0,,,,1.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Guilherme Arana,guilherme-arana,G. Arana,D,13,176,4933,M,1127439,EUR,860976000,D,13,13,False,40.0,34.0,6.0,4.0,14.0,14.0,30.0,1.0,4.0,,,,,,90.0,73.0,6.6,18.0,0.101034,0,,22.0,4.0,,5.0,3.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,,guiarana,2.0,1.0,1.0,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Otávio,otavio,Otávio,M,94,173,1027,M,552686,EUR,768009600,M,5,5,False,37.0,35.0,7.0,5.0,19.0,19.0,18.0,2.0,4.0,,,,,,90.0,46.0,6.7,3.0,0.00667702,0,,16.0,,,6.0,4.0,2.0,,,,3.0,2.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
11067606,home,Atlético Mineiro,Edenilson,edenilson,Edenilson,M,8,175,1388,M,221636,EUR,629942400,M,8,8,False,33.0,30.0,3.0,3.0,17.0,19.0,15.0,,6.0,,,,,,80.0,45.0,7.0,6.0,0.0169555,1,,13.0,1.0,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,1.0,0.0285,,,,,,,,,,,
11067606,home,Atlético Mineiro,Matías Zaracho,matias-zaracho,M. Zaracho,M,11,171,1332,M,859970,EUR,889488000,M,15,15,False,36.0,31.0,3.0,1.0,5.0,5.0,31.0,,4.0,,,,,,83.0,55.0,7.4,10.0,0.148035,1,,26.0,,1.0,7.0,12.0,3.0,1.0,1.0,,9.0,7.0,,,,,2.0,2.0,,,,3.0,1.0,,0.0336,,,1.0,,,,,,,,
11067606,home,Atlético Mineiro,Paulinho,paulinho,Paulinho,F,10,175,11050,M,885179,EUR,963619200,M,10,10,False,26.0,24.0,,,6.0,7.0,19.0,,2.0,,,,,,89.0,42.0,7.3,9.0,0.147527,2,,18.0,,1.0,6.0,5.0,,3.0,2.0,,2.0,2.0,,1.0,1.0,,3.0,,,paulinho10,,3.0,1.0,1.0,0.2902,,,,1.0,1.0,1.0,0.9156,,,,
11067606,home,Atlético Mineiro,Igor Gomes,igor-gomes,I. Gomes,M,17,182,1159,M,913598,EUR,921628800,M,17,17,False,23.0,17.0,4.0,2.0,5.0,5.0,20.0,,,,,,,,45.0,32.0,6.6,11.0,0.0244695,0,,12.0,2.0,,3.0,1.0,1.0,,,1.0,1.0,,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,
