match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_totalClearance,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,captain,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside
10411747,home,Udinese,Marco Silvestri,marco-silvestri,M. Silvestri,G,16,191.0,324,M,43970,EUR,667872000,G,1,1,False,25.0,17.0,17.0,9.0,9.0,10.0,8.0,15.0,3.0,3.0,6.0,90.0,33.0,8.3,8.0,0.0,0.0,0.00102491,0,2.3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411747,home,Udinese,Rodrigo Becão,rodrigo-becao,R. Becão,D,50,191.0,1878,M,880207,EUR,822009600,D,50,50,False,35.0,24.0,9.0,4.0,19.0,23.0,5.0,12.0,7.0,,,90.0,53.0,7.4,13.0,0.0,0.0,0.00817166,0,,,,1.0,7.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10411747,home,Udinese,Jaka Bijol,jaka-bijol,J. Bijol,D,15,192.0,2511,M,886930,EUR,918172800,D,29,29,False,9.0,8.0,,,5.0,5.0,3.0,4.0,,,,24.0,14.0,7.0,1.0,0.0,0.0,0.00033351,0,,,,,4.0,,,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411747,home,Udinese,Adam Masina,adam-masina,A. Masina,D,,189.0,5428,M,259995,EUR,757468800,D,3,3,False,45.0,34.0,7.0,,25.0,27.0,10.0,19.0,5.0,,,90.0,64.0,7.2,13.0,0.0,0.0,0.00844707,0,,,,5.0,6.0,,,1.0,1.0,,2.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,
10411747,home,Udinese,Nehuén Pérez,nehuen-perez,N. Pérez,D,18,184.0,3369,M,913401,EUR,961804800,M,18,18,False,8.0,7.0,1.0,1.0,2.0,2.0,5.0,9.0,,,,49.0,19.0,5.7,6.0,0.0,0.0,0.00588511,0,,,,1.0,,,,,,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,
10411747,home,Udinese,Roberto Pereyra,roberto-pereyra,R. Pereyra,M,37,184.0,1199,M,122701,EUR,663206400,M,37,37,False,34.0,24.0,2.0,1.0,7.0,9.0,17.0,26.0,5.0,,,90.0,50.0,7.1,15.0,0.2958,0.0,0.0878945,4,,,,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,,,2.0,,True,1.0,1.0,1.0,3.0,2.0,2.0,,,,,
10411747,home,Udinese,Walace,walace,Walace,M,5,188.0,1455,M,553686,EUR,796953600,M,11,11,False,55.0,45.0,3.0,2.0,16.0,19.0,29.0,36.0,3.0,,,90.0,68.0,7.0,12.0,0.0498,0.0,0.032277,1,,,,4.0,4.0,1.0,1.0,3.0,1.0,,1.0,,1.0,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,
10411747,home,Udinese,Jean-Victor Makengo,jean-victor-makengo,J. Makengo,M,17,177.0,232,M,802138,EUR,897609600,M,6,6,False,30.0,24.0,,,9.0,10.0,15.0,20.0,4.0,,,45.0,35.0,6.8,6.0,0.0,0.0,0.184726,0,,,,3.0,3.0,,,,,3.0,2.0,,,1.0,,,,1.0,1.0,,,,,,,2.0,,,,,
10411747,home,Udinese,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186.0,5941,M,983572,EUR,1038441600,M,13,13,False,31.0,25.0,2.0,2.0,13.0,15.0,12.0,16.0,4.0,,,90.0,68.0,7.3,16.0,0.0471,0.0902,0.0289322,1,,,,5.0,7.0,4.0,3.0,3.0,2.0,1.0,,,1.0,1.0,,,1.0,,1.0,,3.0,,,,6.0,1.0,udogiethree,1.0,,,
10411747,home,Udinese,Isaac Success,isaac-success,S. Isaac,F,29,182.0,366,M,359640,EUR,820972800,F,7,7,False,24.0,14.0,1.0,,5.0,8.0,9.0,16.0,3.0,,,68.0,40.0,6.6,18.0,0.0,0.0,0.125279,0,,Isaac,Success,9.0,6.0,4.0,3.0,,,3.0,,,,,,,5.0,,,,3.0,,,,4.0,1.0,,,,,
