match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,captain
12530806,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,29.0,23.0,11.0,5.0,0.0,21.0,23.0,2.0,6.0,12.0,1.0,2.0,2.0,90.0,41.0,7.0,6.0,0.00033544,0,-0.4436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530806,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,39.0,28.0,4.0,2.0,0.0,14.0,20.0,15.0,22.0,2.0,,,,90.0,57.0,6.8,18.0,0.425372,0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12530806,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,49.0,46.0,5.0,2.0,0.0,35.0,35.0,11.0,14.0,4.0,,,,90.0,60.0,7.0,3.0,0.00399276,0,,,,2.0,6.0,4.0,,1.0,1.0,,2.0,,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,
12530806,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,46.0,37.0,9.0,3.0,0.0,29.0,30.0,8.0,17.0,5.0,,,,90.0,60.0,6.6,12.0,0.00573786,1,,1.0,,,2.0,3.0,,5.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0278,,,,,,,,,,
12530806,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,44.0,36.0,8.0,3.0,0.0,13.0,17.0,23.0,30.0,3.0,,,,90.0,75.0,7.1,20.0,0.0372229,0,,3.0,,1.0,3.0,5.0,,2.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,
12530806,home,Alanyaspor,Richard,,,richard-candido,Richard,M,36,191,349,M,897617,EUR,761529600,M,25,25,False,42.0,34.0,2.0,2.0,0.0,21.0,23.0,14.0,20.0,6.0,,,,90.0,57.0,7.1,9.0,0.0667901,0,,1.0,1.0,4.0,9.0,7.0,1.0,6.0,,1.0,,1.0,,4.0,2.0,4.0,1.0,,,,,,3.0,,,,,,,,
12530806,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,32.0,29.0,2.0,1.0,0.0,7.0,9.0,22.0,23.0,4.0,,,,85.0,44.0,7.3,10.0,0.0160962,2,,,,1.0,6.0,2.0,,1.0,,3.0,1.0,2.0,,,,2.0,,2.0,,,0.3894,1.0,1.0,1.0,1.0,1.0,0.6618,,,,
12530806,home,Alanyaspor,Sergio Córdova,,,sergio-cordova,S. Córdova,F,9,188,672,M,881222,EUR,871084800,M,9,9,False,25.0,18.0,,,0.0,6.0,8.0,12.0,21.0,4.0,,,,89.0,47.0,8.1,14.0,0.0443886,3,,4.0,,3.0,6.0,9.0,,2.0,,1.0,3.0,1.0,,1.0,,1.0,,4.0,3.0,1.0,1.0342,1.0,3.0,,2.0,1.0,1.5645,2.0,,,
12530806,home,Alanyaspor,Nicolas Janvier,,,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,32.0,28.0,7.0,6.0,0.0,12.0,13.0,16.0,24.0,3.0,,,,72.0,46.0,7.0,11.0,0.0127063,1,,5.0,,,1.0,4.0,,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,0.1952,,1.0,1.0,,,,,1.0,1.0,
12530806,home,Alanyaspor,Efecan Karaca,,,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,33.0,25.0,1.0,1.0,0.0,12.0,14.0,14.0,24.0,5.0,,,,90.0,49.0,6.5,16.0,0.079153,2,,5.0,1.0,,5.0,5.0,,2.0,,2.0,1.0,,,1.0,1.0,3.0,1.0,1.0,,,0.3693,,3.0,1.0,1.0,,0.2042,,1.0,,True
12530806,home,Alanyaspor,Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1040,M,791314,EUR,714960000,F,16,16,False,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,1.0,,,,72.0,10.0,6.5,2.0,0.00277853,1,,,,1.0,3.0,2.0,,,,,2.0,1.0,,,,,,,,1.0,0.0721,2.0,,,,,,3.0,,,
12530806,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,True,7.0,5.0,1.0,,0.0,4.0,4.0,1.0,3.0,1.0,,,,18.0,8.0,6.4,2.0,0.00510656,0,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
