match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_dispossessed,captain,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_interceptionWon,stat_accurateCross,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_punches,stat_hitWoodwork
11406758,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,24.0,19.0,7.0,2.0,19.0,22.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,2.0,2.0,90.0,31.0,6.5,6.0,9.853e-05,0,-0.5853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406758,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,,355486,EUR,863568000,D,3,3,False,50.0,40.0,5.0,2.0,18.0,21.0,30.0,5.0,2.0,3.0,1.0,,,,,,68.0,65.0,6.9,13.0,0.0136684,2,,22.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0317,1.0,,,,,,,,,,,,,,,,,
11406758,home,Bologna,Sam Beukema,sam-beukema,S. Beukema,D,31,188,2235,M,,898815,EUR,911260800,D,31,31,False,70.0,65.0,8.0,4.0,34.0,37.0,33.0,2.0,2.0,3.0,,,,,,,64.0,75.0,6.2,5.0,0.0292161,0,,31.0,,,2.0,2.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
11406758,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,87.0,85.0,9.0,8.0,51.0,51.0,36.0,3.0,4.0,7.0,2.0,,,,,,90.0,98.0,7.2,5.0,0.0126749,1,,34.0,,2.0,,3.0,,,,1.0,3.0,1.0,0.1466,,,1.0,1.0,,,,,,,,,,,,,,
11406758,home,Bologna,Victor Kristiansen,kristiansen-victor,V. Kristiansen,D,16,181,1305,M,,1092409,EUR,1039996800,D,15,15,False,66.0,61.0,2.0,1.0,34.0,36.0,32.0,10.0,,5.0,,,,,,,90.0,84.0,7.0,9.0,0.00870168,0,,27.0,2.0,1.0,2.0,5.0,2.0,1.0,,,,1.0,,,,7.0,4.0,1.0,1.0,,,,,,,,,,,,
11406758,home,Bologna,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,8,8,False,75.0,70.0,2.0,1.0,29.0,30.0,46.0,2.0,1.0,2.0,1.0,,,,,,90.0,90.0,6.7,9.0,0.0213033,0,,41.0,1.0,2.0,,8.0,1.0,,,,,,,,2.0,1.0,1.0,3.0,2.0,True,,,,,,,,,,,
11406758,home,Bologna,Dan Ndoye,dan-ndoye,D. Ndoye,M,14,184,4721,M,,944327,EUR,972432000,M,11,11,False,20.0,20.0,1.0,1.0,8.0,8.0,13.0,5.0,,4.0,4.0,,,,,,87.0,38.0,7.1,8.0,0.043327,2,,12.0,1.0,1.0,,6.0,1.0,,,1.0,3.0,,0.1071,2.0,,1.0,1.0,1.0,3.0,,,,1.0,0.0529,,,,,,,
11406758,home,Bologna,Oussama El Azzouzi,oussama-el-azzouzi,O. E. Azzouzi,M,17,189,7762,M,o.elazzouzi,1127191,EUR,991094400,M,17,17,False,20.0,17.0,3.0,2.0,9.0,10.0,10.0,2.0,1.0,,1.0,,,,,,45.0,25.0,6.4,4.0,0.00280748,0,,8.0,,3.0,,6.0,,,,,1.0,2.0,,,,1.0,,2.0,,,Oussama El Azzouzi,,,,,,,,,,
11406758,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182,1236,M,,850891,EUR,852508800,M,20,20,False,70.0,63.0,3.0,1.0,23.0,25.0,45.0,9.0,,9.0,2.0,,,,,,90.0,97.0,7.2,12.0,0.0207827,3,,40.0,,,,7.0,5.0,4.0,1.0,1.0,1.0,3.0,0.1178,,,3.0,,1.0,2.0,,,,1.0,0.1256,1.0,,,,,,
11406758,home,Bologna,Alexis Saelemaekers,alexis-saelemaekers,A. Saelemaekers,M,56,180,7592,M,AS56,901891,EUR,930441600,M,56,56,False,57.0,51.0,,,14.0,15.0,52.0,11.0,,5.0,6.0,,,,,,90.0,90.0,8.3,21.0,0.18716,4,,39.0,10.0,1.0,1.0,8.0,6.0,3.0,1.0,1.0,1.0,,0.2461,3.0,,1.0,1.0,1.0,3.0,,,,2.0,0.2467,,2.0,1.0,,,,
