match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,injury,length
12117068,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
12117068,,1.0,1.0,,90,8.0,,1,,,goal,183712648.0,True,regular,215956.0,Bastos,,,,,
12117068,,,,,90,,,1,,,card,121399643.0,False,yellow,358166.0,Alex Santana,Alex Santana,Foul,False,,
12117068,,,,,90,,,1,,,substitution,122815868.0,False,regular,,,,,,False,
12117068,,,,,90,,,1,,,substitution,122815869.0,False,regular,,,,,,False,
12117068,,,,,85,,,6,,,card,121399637.0,False,yellow,374486.0,Pablo,Pablo,Foul,False,,
12117068,,,,,82,,,9,,,substitution,122815864.0,False,regular,,,,,,False,
12117068,,,,,82,,,9,,,substitution,122815863.0,False,regular,,,,,,False,
12117068,,,,,81,,,10,,,substitution,122815861.0,True,regular,,,,,,False,
12117068,,,,,81,,,10,,,substitution,122815862.0,True,regular,,,,,,False,
12117068,,,,,77,,,14,,,card,121399633.0,False,yellow,1087079.0,Lucas Esquivel,Lucas Esquivel,Foul,False,,
12117068,,,,,76,,,15,,,card,121399632.0,False,yellow,981733.0,Christian,Christian,Foul,False,,
12117068,,,,,72,,,19,,,substitution,122815848.0,False,injury,,,,,,True,
12117068,,,,,69,,,22,,,substitution,122815842.0,True,regular,,,,,,False,
12117068,,,,,69,,,22,,,substitution,122815843.0,True,regular,,,,,,False,
12117068,,,,,57,,,34,,,substitution,122815837.0,True,regular,,,,,,False,
12117068,,0.0,1.0,,53,,,38,,,goal,183711783.0,False,regular,345847.0,Gonzalo Mastriani,,,,,
12117068,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
12117068,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,1.0
12117068,,,,,42,,,4,,,card,121399611.0,False,yellow,874063.0,Erick,Erick,Foul,False,,
