match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_goals,player_sofascoreId,stat_errorLeadToAGoal,stat_bigChanceMissed,stat_hitWoodwork,captain,stat_totalOffside,stat_penaltyFaced,stat_errorLeadToAShot,stat_penaltyConceded
14025271,home,Wolverhampton,Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,600,M,98427,EUR,733017600,G,31,31,False,31.0,24.0,13.0,6.0,0.0,21.0,21.0,3.0,10.0,1.0,14.0,1.0,1.0,1.0,2.0,4.0,90.0,45.0,6.8,7.0,0.00198254,0.1281,0,-1.1178,0.12,0.02,0.4,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025271,home,Wolverhampton,Ki-Jana Hoever,ki-jana-hoever,K. Hoever,D,12,180,945,M,954044,EUR,1011312000,D,26,26,False,36.0,27.0,4.0,2.0,0.0,8.0,8.0,19.0,28.0,6.0,2.0,,1.0,1.0,,,76.0,56.0,6.5,18.0,0.0544169,,0,,0.27,0.18,-0.36,,6.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025271,home,Wolverhampton,Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1175,M,846308,EUR,910569600,D,4,4,False,69.0,66.0,4.0,3.0,0.0,23.0,23.0,43.0,46.0,4.0,2.0,,1.0,,,,90.0,85.0,7.0,3.0,0.0203544,,1,,0.28,0.26,-0.3,,,2.0,2.0,3.0,,,,4.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0491,0.1586,-0.35,,,,,,,,,,,,,,,,,,,
14025271,home,Wolverhampton,Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,37,191,2172,M,856250,EUR,924566400,D,37,37,False,91.0,73.0,15.0,6.0,1.0,29.0,35.0,44.0,56.0,4.0,7.0,,,,,,90.0,108.0,7.1,25.0,0.68859,,1,,0.7,0.28,-0.45,,4.0,2.0,4.0,5.0,1.0,,,6.0,1.0,,2.0,,1.0,,0.0652,,-0.08,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14025271,home,Wolverhampton,Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,695,M,1013928,EUR,1032307200,D,3,3,False,36.0,32.0,3.0,2.0,0.0,11.0,13.0,21.0,23.0,5.0,4.0,,3.0,1.0,,,84.0,67.0,6.7,16.0,0.0860295,,1,,0.23,0.3,-0.39,,12.0,,1.0,3.0,1.0,1.0,,3.0,1.0,1.0,,,,,0.0628,,-0.15,,,1.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,
14025271,home,Wolverhampton,Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,187,1937,M,894733,EUR,835401600,M,5,5,False,9.0,4.0,,,0.0,2.0,4.0,2.0,5.0,8.0,2.0,,2.0,1.0,,,84.0,27.0,6.8,11.0,0.00072554,,2,,-0.36,0.2,-0.05,,,4.0,5.0,10.0,2.0,1.0,,3.0,,1.0,3.0,2.0,,,0.5794,1.0085,0.38,,,3.0,,,,,,,1.0,,,,,,,,,
14025271,home,Wolverhampton,André,andre,André,M,7,176,9098,M,1035996,EUR,995241600,M,7,7,False,38.0,32.0,3.0,2.0,0.0,13.0,16.0,19.0,22.0,,5.0,,,,,,68.0,46.0,6.4,9.0,0.0698491,,0,,0.03,0.15,-0.1,,1.0,,,3.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,André,,1.0,1.0,,,Andre7,,,,,,,,
14025271,home,Wolverhampton,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,28999,M,845273,EUR,898905600,M,27,27,False,53.0,43.0,6.0,4.0,0.0,11.0,13.0,32.0,40.0,10.0,2.0,,3.0,1.0,,,90.0,79.0,6.5,19.0,0.121694,,2,,0.22,0.39,-0.52,,4.0,2.0,2.0,7.0,3.0,5.0,4.0,,1.0,1.0,1.0,1.0,,,0.0573,0.0258,-0.04,,1.0,3.0,1.0,,,2.0,,,,,1.0,,,,,,,
14025271,home,Wolverhampton,Jhon Arias,jhon-arias,J. Arias,M,11,170,30226,M,844096,EUR,874800000,F,10,10,False,16.0,14.0,,,0.0,4.0,5.0,10.0,11.0,3.0,2.0,,1.0,,,,68.0,32.0,6.6,6.0,0.0380642,,2,,0.03,0.0,0.14,,3.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,,,,,0.3832,,-0.08,,,1.0,1.0,,,2.0,,2.0,,jhonariasa,,1.0,1.0,,,,,
14025271,home,Wolverhampton,Jørgen Strand Larsen,jorgen-strand-larsen,J. S. Larsen,F,22,193,4810,M,876599,EUR,949795200,F,9,9,False,17.0,13.0,,,0.0,3.0,3.0,10.0,14.0,2.0,1.0,,,,,,90.0,28.0,7.1,7.0,0.132654,,2,,0.28,0.09,-0.05,,,2.0,,5.0,,2.0,1.0,1.0,,1.0,1.0,2.0,,,0.8256,0.9267,0.3,,,2.0,1.0,,,,1.0,,1.0,,,,,True,,,,
