match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_outfielderBlock,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_penaltyWon,stat_totalOffside,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,captain,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_penaltyConceded,stat_errorLeadToAShot
14035850,home,Royal Antwerp FC,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27447,M,964753,EUR,1026000000,G,91,91,False,41.0,29.0,22.0,10.0,0.0,22.0,25.0,7.0,16.0,3.0,3.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,90.0,51.0,7.2,13.0,0.00455115,0,-0.5354,0.17,0.02,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Yuto Tsunashima,Yuto Tsunashima,,tsunashima-yuto,Y. Tsunashima,D,4,188.0,256,M,1470622,EUR,966297600,D,4,4,False,40.0,38.0,5.0,3.0,0.0,21.0,21.0,17.0,19.0,1.0,1.0,5.0,2.0,,,,,,55.0,49.0,7.3,3.0,0.0055831,0,,0.16,0.03,0.37,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Rosen Bozhinov,Rosen Bozhinov,,rosen-bozhinov,R. Bozhinov,D,2,195.0,619,M,1152943,EUR,1106438400,D,26,26,False,75.0,73.0,4.0,3.0,0.0,64.0,65.0,9.0,10.0,3.0,3.0,5.0,1.0,,,,,,90.0,86.0,6.7,3.0,0.00409362,1,,0.07,0.05,-0.01,1.0,3.0,4.0,1.0,1.0,1.0,0.0567,-0.13,,,,,,,,,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Zeno Van Den Bosch,,,van-den-bosch-zeno,Z. V. D. Bosch,D,33,191.0,594,M,1103765,EUR,1057449600,D,33,33,False,79.0,68.0,9.0,4.0,0.0,47.0,51.0,21.0,28.0,4.0,5.0,6.0,,,,,,,90.0,91.0,7.3,12.0,0.0447292,0,,0.37,0.08,0.16,1.0,,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Thibo Somers,,,somers-thibo,T. Somers,F,24,183.0,225,M,1002804,EUR,921542400,M,24,24,False,19.0,16.0,1.0,,0.0,8.0,8.0,8.0,11.0,,4.0,3.0,1.0,1.0,,,,,90.0,39.0,7.0,9.0,0.0384275,0,,-0.17,-0.11,-0.02,,1.0,3.0,,1.0,1.0,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Michel Ange Balikwisha,,,michel-ange-balikwisha,M. A. Balikwisha,M,10,177.0,4201,M,923969,EUR,989452800,M,10,10,False,27.0,26.0,2.0,2.0,0.0,12.0,13.0,14.0,14.0,,4.0,1.0,3.0,2.0,,,,,86.0,45.0,7.7,5.0,0.0306425,2,,0.14,0.33,0.25,,1.0,5.0,1.0,2.0,2.0,0.8473,0.27,2.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,0.8744,1.0,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Dennis Praet,,,dennis-praet,D. Praet,M,8,181.0,724,M,135647,EUR,768873600,M,8,8,False,51.0,46.0,8.0,4.0,0.0,30.0,31.0,16.0,20.0,1.0,6.0,4.0,5.0,2.0,,,,,90.0,74.0,7.4,15.0,0.0721033,1,,0.1,0.43,0.14,,,2.0,1.0,1.0,1.0,0.0171,-0.12,1.0,1.0,,7.0,,1.0,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,
14035850,home,Royal Antwerp FC,Mahamadou Doumbia,Mahamadou Doumbia,,mahamadou-doumbia,M. Doumbia,M,17,186.0,5407,M,1400846,EUR,1084579200,M,20,20,False,28.0,26.0,2.0,,0.0,8.0,8.0,18.0,20.0,,11.0,,2.0,5.0,,,,,86.0,51.0,8.0,10.0,0.0394141,2,,0.25,0.34,0.14,,2.0,7.0,,1.0,,0.8437,0.31,3.0,,,,,3.0,,,,1.0,1.0,0.9834,1.0,8.0,6.0,1.0,,,,,,,,
14035850,home,Royal Antwerp FC,Daam Foulon,,,daam-foulon,D. Foulon,M,5,180.0,205,M,826170,EUR,922147200,M,5,5,False,30.0,22.0,2.0,,1.0,11.0,15.0,11.0,15.0,2.0,8.0,3.0,2.0,4.0,,,,,90.0,61.0,6.9,19.0,0.0159592,0,,-0.25,-0.29,-0.01,,,3.0,,1.0,1.0,,,1.0,2.0,1.0,5.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Gyrano Kerk,,,gyrano-kerk,G. Kerk,M,7,175.0,505,M,386950,EUR,817862400,F,7,7,False,14.0,10.0,,,0.0,2.0,3.0,8.0,11.0,1.0,1.0,1.0,1.0,,,,,,80.0,25.0,6.0,11.0,0.0311031,0,,-0.31,-0.51,0.28,1.0,,6.0,,1.0,1.0,,,1.0,,,,,2.0,,1.0,,,,,1.0,4.0,,,,,,,,,,
14035850,home,Royal Antwerp FC,Vincent Janssen,,,vincent-janssen,V. Janssen,F,18,184.0,1452,M,339901,EUR,771552000,F,18,18,False,26.0,21.0,,,0.0,11.0,14.0,10.0,12.0,1.0,5.0,,3.0,2.0,,,,,86.0,42.0,6.8,10.0,0.0825391,4,,0.06,-0.39,0.15,,,2.0,,,,0.1284,-0.25,1.0,2.0,,,,2.0,,2.0,,1.0,,0.0849,,1.0,,3.0,True,,,,,,,
14035850,home,Royal Antwerp FC,Andreas Verstraeten,Andreas,Verstraeten,andreas-verstraeten,A. Verstraeten,M,21,178.0,127,M,1465835,EUR,1136851200,M,21,21,True,25.0,21.0,5.0,2.0,0.0,14.0,15.0,7.0,10.0,,,1.0,,,,,,,35.0,26.0,6.5,4.0,0.00377177,0,,0.04,0.07,-0.08,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
14035850,home,Royal Antwerp FC,Farouck Adekami,Farouck Adekami,,farouck-adekami,F. Adekami,M,22,,253,M,1920581,EUR,1139788800,M,22,22,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,2.0,6.0,,,2.0,,,,,10.0,9.0,8.0,1.0,0.00019005,1,,-0.01,0.13,-0.03,,,1.0,,,,0.053,0.57,,,,,,,,,,1.0,1.0,0.4055,,3.0,2.0,,,,,,,,,
14035850,home,Royal Antwerp FC,Mauricio Benitez,Mauricio Benitez,,mauricio-benitez,M. Benitez,M,16,185.0,390,M,1402224,EUR,1075766400,M,16,16,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,,,,,,,,13.0,2.0,6.4,1.0,1.38e-06,0,,0.02,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
