match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,player_sofascoreId,stat_aerialWon,stat_errorLeadToAShot,player_firstName,player_lastName,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_keyPass,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,captain,stat_totalOffside
12624458,home,Al-Ittihad,Mohammed Al-Mahasneh,mohammed-al-mahasneh,M. Al-Mahasneh,G,33,180,55,M,1018709,EUR,862185600,G,33,33,False,17.0,16.0,4.0,3.0,0.0,14.0,15.0,2.0,2.0,2.0,7.0,1.0,1.0,2.0,1.0,90.0,27.0,7.3,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624458,home,Al-Ittihad,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176,240,M,818572,EUR,830217600,D,27,27,False,33.0,30.0,2.0,1.0,0.0,7.0,7.0,23.0,26.0,1.0,4.0,,,,,80.0,41.0,6.9,5.0,0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12624458,home,Al-Ittihad,Abdulelah Al-Amri,abdulelah-al-amri,A. Al-Amri,D,5,185,1135,M,881831,EUR,853286400,D,4,4,False,52.0,48.0,2.0,1.0,0.0,24.0,24.0,24.0,28.0,2.0,5.0,,,,,90.0,61.0,7.6,4.0,1,3.0,3.0,,3.0,2.0,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12624458,home,Al-Ittihad,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4062,M,99545,EUR,684374400,D,2,2,False,65.0,64.0,5.0,5.0,0.0,29.0,29.0,35.0,36.0,8.0,6.0,,,,,90.0,78.0,7.6,2.0,1,,3.0,,2.0,2.0,1.0,,,,1.0,,,DaniloP,1.0,1.0,,,,,,,,,,,,,,,
12624458,home,Al-Ittihad,Hassan Kadesh,hassan-kadesh,H. Kadesh,D,15,179,398,M,847235,EUR,712627200,D,15,15,False,68.0,67.0,1.0,,0.0,16.0,17.0,51.0,53.0,3.0,5.0,,,,,90.0,82.0,7.0,5.0,0,5.0,2.0,1.0,1.0,,,,3.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,
12624458,home,Al-Ittihad,N'Golo Kanté,ngolo-kante,N. Kanté,M,17,169,44806,M,234148,EUR,670204800,M,7,7,False,104.0,96.0,2.0,1.0,0.0,20.0,20.0,76.0,84.0,,10.0,,,,,90.0,119.0,7.6,13.0,1,8.0,4.0,3.0,1.0,1.0,1.0,,1.0,1.0,,,5.0,nglkante,2.0,,,,,2.0,2.0,1.0,1.0,3.0,,,,,,,
12624458,home,Al-Ittihad,Fabinho,fabinho,Fabinho,M,8,187,9249,M,243585,EUR,751334400,M,8,8,False,92.0,91.0,6.0,5.0,1.0,16.0,16.0,75.0,76.0,1.0,8.0,,,,,90.0,107.0,8.5,2.0,2,2.0,8.0,1.0,5.0,5.0,1.0,,,2.0,,1.0,1.0,Fabinho,2.0,,,,,,,1.0,1.0,2.0,1.0,,,,,,
12624458,home,Al-Ittihad,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7562,M,855817,EUR,931305600,M,19,19,False,61.0,55.0,3.0,3.0,0.0,9.0,9.0,48.0,59.0,,5.0,,,,,90.0,81.0,8.3,18.0,2,5.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,,1.0,,,moussadiaby,,,,,7.0,,1.0,1.0,,7.0,1.0,2.0,3.0,1.0,,,
12624458,home,Al-Ittihad,Houssem Aouar,aouar-houssem,H. Aouar,M,10,175,14747,M,846081,EUR,899164800,M,10,10,False,69.0,57.0,2.0,1.0,0.0,4.0,6.0,53.0,64.0,,5.0,,,,,80.0,92.0,7.7,24.0,4,8.0,5.0,7.0,,,3.0,3.0,1.0,,2.0,,,houssem_aouar,,,,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,,,,,,
12624458,home,Al-Ittihad,Unai Hernández,unai-hernandez,U. Hernández,M,7,171,2275,M,1170547,EUR,1102982400,M,30,30,False,52.0,48.0,1.0,1.0,0.0,10.0,10.0,38.0,45.0,,2.0,,,,,80.0,75.0,7.7,15.0,3,4.0,2.0,3.0,2.0,1.0,3.0,,1.0,,2.0,1.0,2.0,,,,Unai Hernandez,,3.0,,,,1.0,,,,,,1.0,,
