match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_accurateCross,stat_totalContest,stat_fouls,stat_keyPass,stat_wonContest,stat_interceptionWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox
12514115,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,29.0,22.0,9.0,3.0,0.0,20.0,23.0,2.0,6.0,2.0,8.0,1.0,1.0,2.0,1.0,90.0,37.0,6.7,8.0,0.00029503,0,-0.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514115,home,Santa Clara,Frederico Venâncio,,,frederico-venancio,F. Venâncio,D,21,186,71,M,254815,EUR,728784000,D,21,21,False,,56.0,51.0,9.0,5.0,0.0,32.0,33.0,19.0,23.0,1.0,1.0,,,,,80.0,61.0,6.9,5.0,0.00968949,0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12514115,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,57.0,53.0,2.0,,0.0,49.0,49.0,4.0,8.0,4.0,3.0,,,,,90.0,65.0,6.7,5.0,0.00194344,1,,,2.0,1.0,2.0,,,1.0,1.0,0.051,0.6456,,,,,,,,,,,,,,,,,,,,
12514115,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,75.0,57.0,20.0,13.0,0.0,35.0,42.0,22.0,34.0,9.0,3.0,1.0,,,,90.0,105.0,7.4,22.0,0.0674069,2,,2.0,5.0,3.0,6.0,,,,1.0,0.2738,0.0941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12514115,home,Santa Clara,Lucas Soares,,,lucas-soares,L. Soares,M,42,176,85,M,991358,EUR,894240000,M,42,42,False,,27.0,23.0,1.0,1.0,0.0,13.0,15.0,13.0,18.0,5.0,3.0,,,,,80.0,54.0,7.1,10.0,0.0752986,0,,,,6.0,1.0,,,2.0,,,,6.0,1.0,,,,,1.0,3.0,1.0,2.0,3.0,,,,,,,,,
12514115,home,Santa Clara,Pedro Ferreira,,,ferreira-pedro,P. Ferreira,M,8,183,121,M,851277,EUR,883958400,M,8,8,False,,23.0,16.0,2.0,1.0,0.0,6.0,9.0,10.0,16.0,3.0,3.0,,,,,81.0,36.0,6.9,10.0,0.0136508,1,,,1.0,4.0,3.0,1.0,1.0,,1.0,0.076,0.2485,2.0,2.0,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,
12514115,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,41.0,32.0,6.0,1.0,0.0,12.0,14.0,20.0,29.0,2.0,1.0,2.0,,,,90.0,58.0,6.5,16.0,0.0199391,0,,1.0,1.0,6.0,3.0,2.0,1.0,2.0,,,,2.0,,,,,,,,1.0,2.0,1.0,,1.0,,,,,,,
12514115,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,M,3,3,False,,26.0,19.0,2.0,,0.0,9.0,9.0,12.0,24.0,5.0,5.0,1.0,,,,90.0,54.0,7.3,13.0,0.316658,3,,2.0,2.0,5.0,5.0,,,,,0.1619,,7.0,,,2.0,1.0,,2.0,2.0,1.0,4.0,3.0,1.0,,1.0,1.0,,,,,
12514115,home,Santa Clara,Ricardinho,,,ricardinho,Ricardinho,M,21,178,116,M,1094399,EUR,902361600,F,10,10,False,,18.0,12.0,1.0,,0.0,1.0,3.0,11.0,16.0,1.0,4.0,2.0,,,,90.0,35.0,6.7,13.0,0.0228931,2,,,,7.0,2.0,1.0,,1.0,,0.3887,,1.0,1.0,1.0,2.0,1.0,,1.0,,3.0,2.0,,,3.0,,,,,,,
12514115,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,13.0,7.0,,,0.0,3.0,3.0,4.0,10.0,,2.0,2.0,,,,89.0,29.0,7.0,14.0,0.0059211,2,,3.0,2.0,10.0,4.0,1.0,1.0,3.0,1.0,0.8709,0.9858,,,,1.0,,,1.0,,3.0,1.0,,,1.0,,,1.0,1.0,,,
