match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,captain,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_keyPass,stat_shotOffTarget,player_sofascoreId,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_bigChanceMissed
13981431,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,45,177,2531,M,932643,EUR,912729600,F,45,45,False,22.0,21.0,1.0,1.0,0.0,5.0,5.0,16.0,17.0,,4.0,,7.0,,,,,81.0,37.0,6.7,7.0,0.0118092,,0,,0.01,0.16,0.18,,,7.0,1.0,4.0,,,2.0,1.0,1.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,
13981431,home,Sassuolo,Alieu Fadera,fadera-alieu,A. Fadera,M,20,181,1183,M,1031548,EUR,1004745600,F,20,20,True,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,,4.0,,2.0,,,,,17.0,10.0,7.1,2.0,0.215869,,1,,0.34,0.26,0.14,,,4.0,1.0,2.0,2.0,,,,1.0,,,,2.0,,,,,1.0,2.0,0.0402,,-0.14,,,,1.0,,,,,,,
13981431,home,Sassuolo,Fali Candé,fali-cande,F. Candé,D,5,184,402,M,892430,EUR,885600000,D,5,5,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,1.0,,,,,,,9.0,3.0,6.7,,0.00319434,,0,,0.0,,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13981431,home,Sassuolo,Andrea Ghion,andrea-ghion,A. Ghion,M,18,180,64,M,928879,EUR,951264000,M,8,8,True,1.0,1.0,,,0.0,1.0,1.0,,0.0,,1.0,,,,,,,9.0,3.0,6.7,1.0,6.015e-05,,0,,-0.04,0.01,0.16,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Nicholas Pierini,pierini-nicholas,N. Pierini,F,77,176,186,M,829581,EUR,902361600,F,77,77,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,0.0697866,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
13981431,home,Sassuolo,Luca Moro,luca-moro,L. Moro,F,24,189,353,M,949780,EUR,980380800,F,24,24,True,,,,,0.0,,,,,,,,,,,,,1.0,2.0,,1.0,,,0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Gioele Zacchi,gioele-zacchi,G. Zacchi,G,16,183,105,M,1012165,EUR,1057795200,G,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1886,M,888971,EUR,910396800,G,49,49,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Giacomo Satalino,giacomo-satalino,G. Satalino,G,12,188,82,M,832375,EUR,927158400,G,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Jay Idzes,jay-idzes,J. Idzes,D,21,190,19111,M,933641,EUR,959904000,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jayidzes,,,,,,,,
13981431,home,Sassuolo,Edoardo Pieragnolo,edoardo-pieragnolo,E. Pieragnolo,D,15,184,390,M,1069028,EUR,1041552000,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Filippo Missori,filippo-missori,F. Missori,D,2,182,223,M,1121184,EUR,1080086400,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Cristian Volpato,volpato-cristian,C. Volpato,M,7,187,875,M,1155625,EUR,1068854400,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Samuele Mulattieri,mulattieri-samuele,S. Mulattieri,F,7,183,531,M,927030,EUR,970876800,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,home,Sassuolo,Agustín Álvarez,agustin-alvarez,A. Álvarez,F,25,180,1490,M,1065937,EUR,990230400,F,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981431,away,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,34.0,28.0,9.0,4.0,0.0,27.0,32.0,1.0,2.0,1.0,1.0,,6.0,1.0,,2.0,,90.0,41.0,7.0,6.0,0.00023149,0.0288,0,0.0426,0.01,0.02,0.2,0.03,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,
13981431,away,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,58.0,52.0,1.0,1.0,0.0,26.0,26.0,26.0,32.0,3.0,6.0,1.0,2.0,,,,,90.0,73.0,7.1,9.0,0.022992,,0,,0.1,-0.36,-0.04,,1.0,3.0,,1.0,,,2.0,,1.0,,,True,,1.0,,,,,1.0,,,,,,dilorenzo22,,,,,,,,
