match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_aerialLost,stat_outfielderBlock,stat_aerialWon,stat_errorLeadToAShot,stat_totalCross,stat_challengeLost,player_firstName,player_lastName,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_penaltyConceded,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_bigChanceCreated
10433961,home,Gaziantep FK,Günay Güvenç,gunay-guvenc,G. Güvenç,G,19,187,2940,M,103457,EUR,677808000,G,1,1,False,True,39.0,23.0,26.0,10.0,21.0,25.0,2.0,14.0,1.0,9.0,4.0,1.0,5.0,1.0,90.0,49.0,7.4,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Stelios Kitsiou,stelios-kitsiou,S. Kitsiou,D,70,173,90,M,189627,EUR,749174400,D,70,70,False,,29.0,25.0,4.0,2.0,17.0,18.0,8.0,11.0,1.0,4.0,,,,,70.0,48.0,7.5,7.0,0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Ertuğrul Ersoy,ertugrul-ersoy,E. Ersoy,D,5,185,90,M,355004,EUR,855792000,D,15,15,False,,48.0,43.0,7.0,3.0,36.0,38.0,7.0,10.0,7.0,3.0,,,,,90.0,59.0,6.7,7.0,0,4.0,,,,,,,2.0,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Papy Djilobodji,papy-djilobodji,P. Djilobodji,D,3,193,176,M,106661,EUR,596937600,D,3,3,False,,43.0,39.0,3.0,1.0,38.0,41.0,1.0,2.0,7.0,6.0,,,,,90.0,56.0,6.8,4.0,0,4.0,5.0,,,2.0,1.0,,,2.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Matěj Hanousek,matej-hanousek,M. Hanousek,D,23,182,55,M,320905,EUR,738979200,D,16,16,False,,33.0,18.0,3.0,,8.0,13.0,10.0,21.0,1.0,2.0,,,,,90.0,53.0,6.3,19.0,0,4.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Ángelo Sagal,angelo-sagal,Á. Sagal,M,25,180,261,M,588784,EUR,735091200,M,28,28,False,,17.0,11.0,2.0,1.0,4.0,6.0,7.0,12.0,,2.0,,,,,70.0,25.0,6.7,9.0,0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,Ángelo,Sagal,1.0,1.0,,,,,,,,,,
10433961,home,Gaziantep FK,Abdulkadir Parmak,abdulkadir-parmak,A. Parmak,M,20,176,57,M,344225,EUR,788572800,M,19,19,False,,37.0,33.0,2.0,1.0,20.0,23.0,13.0,15.0,2.0,6.0,,,,,90.0,52.0,7.2,7.0,1,5.0,7.0,,,,4.0,3.0,1.0,3.0,,,3.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,
10433961,home,Gaziantep FK,Marko Jevtović,marko-jevtovic,M. Jevtović,M,16,194,134,M,310068,EUR,743472000,M,8,8,False,,30.0,21.0,5.0,1.0,10.0,13.0,11.0,17.0,1.0,5.0,,,,,85.0,39.0,6.6,9.0,0,4.0,2.0,,,2.0,2.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Mustafa Eskihellaç,mustafa-eskihellac,M. Eskihellaç,D,19,175,564,M,899069,EUR,862790400,M,17,17,False,,15.0,12.0,1.0,,5.0,6.0,7.0,11.0,1.0,4.0,,,,,45.0,28.0,6.9,8.0,0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,,,,2.0,1.0,,,,,,,,,,
10433961,home,Gaziantep FK,Alexandru Maxim,alexandru-maxim,A. Maxim,M,44,177,797,M,180511,EUR,647395200,F,44,44,False,,41.0,36.0,3.0,3.0,14.0,14.0,22.0,31.0,,7.0,,,,,90.0,55.0,7.9,9.0,4,1.0,4.0,2.0,2.0,,,,,1.0,1.0,,1.0,,1.0,,4.0,,,,,,3.0,1.0,1.0,,,,,,,
10433961,home,Gaziantep FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1262,M,841012,EUR,833155200,F,25,25,False,,13.0,9.0,,,3.0,6.0,6.0,8.0,1.0,1.0,,,,,85.0,21.0,6.3,9.0,0,8.0,1.0,2.0,1.0,,,,2.0,,3.0,,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,
10433961,home,Gaziantep FK,Tomáš Pekhart,tomas-pekhart,T. Pekhart,F,17,194,281,M,41999,EUR,612144000,F,9,9,True,,17.0,13.0,,,6.0,6.0,7.0,11.0,,1.0,,,,,45.0,25.0,6.4,9.0,0,6.0,3.0,2.0,1.0,,1.0,,3.0,,1.0,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,
10433961,home,Gaziantep FK,Ömürcan Artan,omurcan-artan,Ö. Artan,D,2,179,18,M,1016384,EUR,933033600,D,27,27,True,,6.0,4.0,,,3.0,4.0,1.0,2.0,2.0,,,,,,20.0,12.0,6.6,2.0,0,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10433961,home,Gaziantep FK,Lazar Marković,lazar-markovic,L. Marković,M,50,175,324,M,98461,EUR,762566400,M,50,50,True,,13.0,9.0,,,6.0,6.0,3.0,7.0,,,,,,,20.0,18.0,5.8,5.0,0,4.0,3.0,2.0,2.0,,1.0,,1.0,,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,
