match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_bigChanceCreated,stat_bigChanceMissed,player_firstName,player_lastName,stat_challengeLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11396175,home,SV Werder Bremen,Michael Zetterer,michael-zetterer,M. Zetterer,G,23,187,476,M,190161,EUR,805507200,G,30,30,False,39.0,22.0,23.0,6.0,0.0,21.0,31.0,1.0,8.0,11.0,4.0,6.0,90.0,53.0,7.5,18.0,0.00040743,0,0.3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396175,home,SV Werder Bremen,Miloš Veljković,milos-veljkovic,M. Veljković,D,13,188,1253,M,227224,EUR,812073600,D,13,13,False,33.0,24.0,8.0,2.0,0.0,20.0,24.0,5.0,11.0,4.0,,,90.0,49.0,7.1,11.0,0.042886,0,,2.0,1.0,4.0,3.0,4.0,6.0,3.0,3.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396175,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,24.0,18.0,4.0,3.0,0.0,16.0,18.0,2.0,6.0,4.0,,,90.0,38.0,7.7,6.0,0.00069165,1,,,,5.0,5.0,5.0,9.0,6.0,1.0,,3.0,,,True,1.0,1.0,1.0,1.0,0.0963,0.5168,,,,,,,,,,,,,,,
11396175,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,D,3,3,False,37.0,34.0,3.0,2.0,0.0,30.0,31.0,4.0,6.0,4.0,,,90.0,45.0,7.6,3.0,0.00354519,1,,,,2.0,3.0,2.0,3.0,5.0,1.0,,,,1.0,,1.0,1.0,,,0.5147,0.7434,,,,,,,,,,,,,,,
11396175,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,28.0,21.0,3.0,2.0,0.0,10.0,13.0,11.0,16.0,5.0,,,90.0,64.0,7.1,18.0,0.223302,5,,1.0,,3.0,2.0,11.0,5.0,1.0,,3.0,1.0,3.0,3.0,,1.0,,,1.0,0.225,0.0364,1.0,5.0,1.0,4.0,4.0,,,,,,,,,,
11396175,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,False,31.0,22.0,4.0,1.0,0.0,14.0,18.0,9.0,15.0,2.0,,,73.0,46.0,7.2,13.0,0.347826,1,,2.0,1.0,2.0,1.0,5.0,5.0,,,1.0,2.0,1.0,4.0,,1.0,,,2.0,0.1394,0.5187,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,
11396175,home,SV Werder Bremen,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,14,14,False,19.0,14.0,1.0,,0.0,7.0,10.0,7.0,9.0,3.0,,,45.0,21.0,6.2,5.0,0.00908627,0,,,,4.0,1.0,8.0,1.0,2.0,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,
11396175,home,SV Werder Bremen,Nick Woltemade,nick-woltemade,N. Woltemade,F,27,198,55679,M,980623,EUR,1013644800,M,29,29,False,18.0,17.0,2.0,1.0,0.0,8.0,9.0,9.0,9.0,3.0,,,73.0,36.0,7.2,5.0,0.243851,3,,,,1.0,1.0,5.0,4.0,,,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,0.1844,0.1141,2.0,2.0,1.0,,1.0,,,,,,2.0,,,,
11396175,home,SV Werder Bremen,Felix Agu,agu-felix,F. Agu,M,27,180,629,M,933398,EUR,938390400,M,27,27,False,29.0,23.0,3.0,2.0,0.0,14.0,17.0,9.0,13.0,2.0,,,85.0,57.0,7.3,14.0,0.0124285,1,,1.0,,3.0,2.0,5.0,7.0,3.0,2.0,,1.0,3.0,1.0,,,,1.0,4.0,0.0272,,,3.0,1.0,1.0,,1.0,,,,,,,,,
11396175,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,F,20,20,False,32.0,27.0,3.0,2.0,1.0,14.0,15.0,14.0,20.0,8.0,,,89.0,59.0,8.1,20.0,0.182398,5,,3.0,1.0,4.0,1.0,11.0,4.0,,,2.0,2.0,6.0,1.0,,2.0,1.0,2.0,,0.7335,1.1587,3.0,4.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,
11396175,home,SV Werder Bremen,Marvin Ducksch,marvin-ducksch,M. Ducksch,F,33,187,1088,M,258325,EUR,762998400,F,7,7,False,17.0,11.0,2.0,,2.0,2.0,4.0,14.0,26.0,4.0,,,90.0,45.0,8.0,19.0,0.812759,5,,13.0,5.0,2.0,1.0,6.0,1.0,1.0,,1.0,,2.0,5.0,,3.0,,,,0.7703,0.7402,1.0,2.0,,,,2.0,2.0,,,1.0,2.0,,,,
11396175,home,SV Werder Bremen,Jens Stage,jens-stage,J. Stage,M,6,187,697,M,830142,EUR,847411200,M,6,6,True,21.0,16.0,1.0,1.0,0.0,8.0,8.0,8.0,14.0,1.0,,,45.0,29.0,7.7,6.0,0.0675012,3,,1.0,,,2.0,3.0,4.0,,,1.0,1.0,,1.0,,2.0,1.0,,1.0,0.2222,0.8743,,,,1.0,,,,,,3.0,,1.0,,,
