match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_wasFouled,stat_keyPass,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_goalAssist,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId
11399496,home,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196.0,132,M,945955,EUR,878256000,G,1,1,False,30.0,16.0,24.0,10.0,6.0,7.0,10.0,23.0,10.0,2.0,4.0,90.0,38.0,6.6,14.0,0.0,0.0,0.00853484,0,-0.6357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399496,home,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175.0,76,M,983662,EUR,948326400,D,20,20,False,5.0,4.0,,,4.0,4.0,,2.0,2.0,,,25.0,12.0,6.5,4.0,0.0183,0.0,5.519e-05,1,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11399496,home,Almere City FC,Damian van Bruggen,damian-van-bruggen,D. v. Bruggen,D,14,184.0,62,M,285991,EUR,827107200,D,4,4,False,24.0,15.0,5.0,1.0,11.0,12.0,4.0,12.0,2.0,,,85.0,33.0,6.8,9.0,0.0,0.0,0.00314588,0,,,3.0,3.0,,,,,True,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
11399496,home,Almere City FC,Theo Barbet,theo-barbet,T. Barbet,D,22,184.0,56,M,911846,EUR,983836800,D,22,22,False,52.0,34.0,10.0,4.0,23.0,27.0,11.0,25.0,12.0,,,90.0,61.0,6.5,19.0,0.0,0.0,0.017456,0,,,3.0,6.0,,2.0,1.0,,,4.0,8.0,3.0,,,4.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,
11399496,home,Almere City FC,Sherel Floranus,sherel-floranus,S. Floranus,D,2,181.0,189,M,803021,EUR,903830400,D,2,2,False,37.0,26.0,7.0,3.0,9.0,14.0,18.0,26.0,3.0,,,90.0,59.0,6.4,21.0,0.0257,0.0,0.0878182,1,,3.0,3.0,4.0,,1.0,1.0,,,1.0,5.0,,,,1.0,Sherel,Floranus,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11399496,home,Almere City FC,Álvaro Peña,alvaro-pena,Á. Peña,M,23,178.0,37,M,294351,EUR,688262400,M,6,6,False,15.0,11.0,3.0,1.0,6.0,8.0,5.0,7.0,2.0,,,45.0,20.0,6.6,4.0,0.0,0.0,0.00572189,0,,,1.0,3.0,,,,,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,
11399496,home,Almere City FC,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186.0,510,M,922018,EUR,957398400,M,15,15,False,45.0,29.0,5.0,3.0,13.0,18.0,16.0,27.0,13.0,,,90.0,66.0,7.2,19.0,0.0481,0.0,0.0202644,2,,,2.0,7.0,,5.0,3.0,3.0,,2.0,5.0,3.0,1.0,2.0,2.0,,,,,,,1.0,,2.0,,,,,,,,,,
11399496,home,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181.0,101,M,38096,EUR,675993600,M,27,27,False,16.0,8.0,,,2.0,2.0,9.0,25.0,5.0,,,90.0,47.0,7.0,26.0,0.1528,0.108,0.234612,3,,11.0,1.0,5.0,1.0,,,5.0,,5.0,12.0,,,,2.0,,,5.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,
11399496,home,Almere City FC,Lance Duijvestijn,lance-duijvestijn,L. Duijvestijn,M,70,179.0,148,M,946505,EUR,916358400,M,10,10,False,29.0,25.0,2.0,2.0,3.0,3.0,22.0,26.0,5.0,,,74.0,41.0,6.4,12.0,0.0,0.0,0.230611,0,,,,3.0,,,,3.0,,,9.0,,,,2.0,,,5.0,2.0,1.0,,3.0,1.0,,,1.0,,,,,,,,
11399496,home,Almere City FC,Yoann Cathline,cathline-yoann,Y. Cathline,M,10,176.0,517,M,1105700,EUR,1027296000,M,19,19,False,5.0,3.0,,,1.0,1.0,2.0,9.0,,,,45.0,16.0,6.3,10.0,0.0,0.0,0.0196348,0,,5.0,,1.0,,,,1.0,,,2.0,,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,
11399496,home,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180.0,359,M,790802,EUR,840326400,F,9,9,False,19.0,12.0,,,5.0,5.0,7.0,15.0,3.0,,,90.0,26.0,7.1,9.0,0.1556,0.0,0.0234756,1,,1.0,9.0,11.0,,1.0,1.0,1.0,,6.0,7.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,,,,
