match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_keyPass,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_lastManTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_totalContest,stat_wonContest,stat_dispossessed,captain,stat_challengeLost,stat_shotOffTarget,stat_goals,stat_goalAssist,stat_totalOffside
10411775,home,Empoli,Sam Lammers,sam-lammers,S. Lammers,F,10,191,836,M,,804901,EUR,862358400,F,7,7,False,21.0,12.0,,,4.0,6.0,8.0,15.0,2.0,3.0,,,1.0,,,,,83.0,33.0,6.8,15.0,0.2156,0.0561,0.0333846,2,,,,,,1.0,,,2.0,2.0,5.0,,,,3.0,,1.0,1.0,,2.0,,,,,1.0,
10411775,home,Empoli,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,14,179,1671,M,,825861,EUR,920160000,M,10,10,True,15.0,11.0,3.0,1.0,2.0,3.0,9.0,12.0,,1.0,,2.0,1.0,,,,,52.0,25.0,6.4,6.0,0.0428,0.0,0.030858,1,,,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0
10411775,home,Empoli,Liam Henderson,liam-henderson,L. Henderson,M,16,183,304,M,,287573,EUR,830390400,M,8,8,True,13.0,9.0,1.0,,5.0,5.0,4.0,8.0,,2.0,,2.0,1.0,,,,,26.0,21.0,6.0,9.0,0.0,0.0,0.00299333,0,,,,,,,1.0,1.0,,,6.0,,,,1.0,1.0,,2.0,,1.0,,2.0,,,,
10411775,home,Empoli,Răzvan Marin,razvan-marin,R. Marin,M,18,178,3932,M,,279563,EUR,832809600,M,18,18,True,8.0,7.0,2.0,1.0,3.0,3.0,4.0,5.0,,1.0,1.0,2.0,,,,,,26.0,12.0,6.4,3.0,0.0,0.0,0.00586107,0,,,,,,,,1.0,1.0,,2.0,,,,,,,,,2.0,,,,,,
10411775,home,Empoli,Mattia Destro,mattia-destro,M. Destro,F,,181,199,M,,100570,EUR,669427200,F,23,23,True,2.0,1.0,,,,,1.0,2.0,,,,,,,,,,11.0,2.0,6.5,1.0,0.0,0.0,0.00031845,0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0
10411775,home,Empoli,Jacopo Fazzini,jacopo-fazzini,J. Fazzini,F,22,178,840,M,,1012179,EUR,1047772800,M,21,21,True,3.0,2.0,,,,,2.0,3.0,,1.0,,,,,,,,11.0,8.0,6.1,3.0,0.0,0.0,0.00034046,0,,,,,,,,1.0,,1.0,4.0,,,1.0,,,,1.0,,1.0,,1.0,,,,
10411775,home,Empoli,Samir Ujkani,samir-ujkani,S. Ujkani,G,,186,72,,,27991,EUR,584064000,G,22,22,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Samuele Perisan,samuele-perisan,S. Perisan,G,1,191,50,M,,794784,EUR,872121600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Tyronne Ebuehi,tyronne-ebuehi,T. Ebuehi,D,24,187,664,M,,580512,EUR,819072000,D,24,24,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10411775,home,Empoli,Gabriele Guarino,gabriele-guarino,G. Guarino,D,34,193,201,M,,1137373,EUR,1081900800,D,36,36,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
