match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,captain,stat_errorLeadToAShot,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_totalOffside,stat_shotOffTarget,stat_goals,stat_punches,stat_bigChanceMissed,stat_bigChanceCreated,stat_blockedScoringAttempt
14573085,home,FC Drita,Faton Maloku,faton-maloku,F. Maloku,G,1,188,75,M,921157,EUR,676598400,G,1,1,False,32.0,21.0,17.0,6.0,0.0,20.0,24.0,1.0,8.0,2.0,11.0,2.0,1.0,2.0,4.0,90.0,45.0,6.7,11.0,0.00030509,0.143,0,-0.0391,0.01,0.2,0.22,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Egzon Bejtulai,egzon-bejtulai,E. Bejtulai,D,15,182,36,M,167541,EUR,757900800,D,15,15,False,33.0,30.0,7.0,6.0,0.0,23.0,24.0,7.0,10.0,1.0,4.0,,,,,90.0,43.0,6.9,6.0,0.00865788,,0,,0.16,0.03,0.22,,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Jorgo Pëllumbi,pellumbi-jorgo,P. Jorgo,D,32,186,54,M,2125619,EUR,963619200,D,32,32,False,26.0,23.0,6.0,3.0,0.0,22.0,22.0,1.0,4.0,4.0,1.0,,,,,90.0,39.0,7.0,4.0,0.00149458,,0,,0.02,0.01,0.31,,,2.0,,8.0,1.0,2.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Raddy Ovouka,raddy-ovouka,R. Ovouka,D,26,183,93,M,1111213,EUR,944524800,D,26,26,False,27.0,18.0,4.0,2.0,0.0,14.0,20.0,5.0,10.0,9.0,8.0,1.0,,,,90.0,57.0,7.0,18.0,0.00352628,,0,,-0.08,0.25,-0.09,,3.0,3.0,,4.0,,4.0,3.0,3.0,,2.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Albert Dabiqaj,albert-dabiqaj,A. Dabiqaj,M,14,182,37,M,986321,EUR,836956800,M,14,14,False,32.0,29.0,4.0,2.0,0.0,17.0,17.0,12.0,15.0,6.0,6.0,3.0,,,,90.0,48.0,6.8,5.0,0.0171953,,0,,0.22,0.09,-0.02,,,5.0,1.0,1.0,,2.0,1.0,2.0,2.0,3.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Rron Broja,rron-broja,R. Broja,M,4,175,32,M,885049,EUR,829008000,M,4,4,False,14.0,12.0,,,0.0,7.0,8.0,5.0,6.0,2.0,2.0,,,,,66.0,23.0,6.7,5.0,0.0194298,,0,,0.02,0.09,-0.01,,,3.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,2.0,True,1.0,,,,,,,,,,,,,,
14573085,home,FC Drita,Besnik Krasniqi,besnik-krasniqi,B. Krasniqi,D,2,181,35,M,1030954,EUR,633830400,F,2,2,False,32.0,27.0,3.0,,1.0,7.0,8.0,21.0,31.0,4.0,3.0,3.0,,,,90.0,67.0,6.7,15.0,0.0763679,,1,,0.16,-0.01,0.13,,7.0,5.0,1.0,6.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,0.0482,0.2138,1.0,0.01,,,,,,,,,
14573085,home,FC Drita,Liridon Balaj,liridon-balaj,L. Balaj,M,10,174,46,M,991541,EUR,934675200,M,10,10,False,16.0,16.0,1.0,1.0,0.0,2.0,2.0,15.0,19.0,1.0,2.0,1.0,,,,73.0,31.0,6.3,11.0,0.110088,,0,,0.26,0.05,-0.04,,5.0,8.0,,,,,,3.0,2.0,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14573085,home,FC Drita,Ben Zidane,mamadou-soumahoro,B. Zidane,M,20,175,46,M,1886702,EUR,1128124800,M,20,20,False,18.0,11.0,3.0,2.0,0.0,5.0,6.0,6.0,14.0,5.0,3.0,1.0,,,,66.0,28.0,6.2,11.0,0.00608753,,0,,0.05,0.18,-0.27,,2.0,6.0,,,,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,1.0,,,,,,,,,Ben,Zidane,1.0,,,,,,
14573085,home,FC Drita,Blerton Sheji,blerton-sheji,B. Sheji,D,3,180,15,M,1065117,EUR,972086400,F,3,3,False,25.0,18.0,5.0,2.0,0.0,10.0,14.0,8.0,11.0,7.0,1.0,4.0,,,,90.0,51.0,7.1,11.0,0.013259,,1,,0.11,-0.04,0.33,,,4.0,1.0,5.0,,3.0,,,1.0,,1.0,,2.0,,,1.0,,,,0.0101,,,-0.01,,,,1.0,,,,,
