match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_outfielderBlock,stat_totalTackle,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_unsuccessfulTouch,player_sofascoreId,stat_interceptionWon,stat_penaltyWon,stat_goals,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_wonTackle,stat_penaltyConceded,stat_hitWoodwork,stat_errorLeadToAGoal
11396406,home,RB Leipzig,Janis Blaswich,janis-blaswich,J. Blaswich,G,28,193,639,M,96832,EUR,673142400,G,21,21,False,66.0,60.0,12.0,6.0,59.0,61.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,90.0,71.0,7.2,6.0,0.00067771,0,0.9882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396406,home,RB Leipzig,Mohamed Simakan,mohamed-simakan,M. Simakan,D,3,187,5879,M,945063,EUR,957312000,D,2,2,False,69.0,65.0,7.0,5.0,45.0,46.0,20.0,24.0,1.0,2.0,,,,,,90.0,81.0,7.1,6.0,0.0841758,1,,,,1.0,1.0,1.0,5.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0,0.1088,1.0,,,,,,,,,,,,,,,,,,,,,,,
11396406,home,RB Leipzig,Lukas Klostermann,lukas-klostermann,L. Klostermann,D,16,188,717,M,319853,EUR,833760000,D,16,16,False,56.0,52.0,2.0,1.0,46.0,47.0,6.0,9.0,2.0,2.0,,,,,,90.0,63.0,7.0,4.0,0.00788555,0,,,,,4.0,,5.0,1.0,,,,,1.0,1.0,,,True,1.0,,,,,,,,,,,,,,,,,,,,,
11396406,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,84.0,78.0,5.0,3.0,52.0,55.0,26.0,29.0,2.0,7.0,,,,,,90.0,91.0,7.1,6.0,0.0099622,0,,,,,1.0,,1.0,3.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11396406,home,RB Leipzig,Benjamin Henrichs,benjamin-henrichs,B. Henrichs,D,39,182,1142,M,319857,EUR,856656000,M,39,39,False,47.0,40.0,5.0,4.0,20.0,22.0,23.0,29.0,3.0,2.0,,,,,,90.0,76.0,8.8,10.0,0.95696,3,,,,4.0,,,1.0,5.0,,4.0,3.0,1.0,1.0,,0.101,5.0,,,1.0,1.0,3.0,2.0,1.0,1.0,0.0677,,,,,,,,,,,,,,
11396406,home,RB Leipzig,Xaver Schlager,xaver-schlager,X. Schlager,M,24,174,1069,M,791079,EUR,875404800,M,24,24,False,52.0,47.0,3.0,3.0,26.0,28.0,21.0,25.0,,8.0,,,,,,90.0,63.0,7.0,8.0,0.0246287,2,,,,1.0,,,,1.0,,,,1.0,,,0.0346,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,
11396406,home,RB Leipzig,Amadou Haidara,amadou-haidara,A. Haidara,M,21,174,6620,M,822708,EUR,886204800,M,8,8,False,48.0,43.0,4.0,3.0,22.0,23.0,21.0,25.0,,3.0,,,,,,90.0,57.0,7.4,6.0,0.0453064,0,,,,,1.0,1.0,3.0,4.0,1.0,,,,2.0,1.0,,1.0,,,1.0,,,,,,,1.0,amadou_haidara04,1.0,1.0,,,,,,,,,,
11396406,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,M,22,22,False,48.0,40.0,4.0,3.0,15.0,19.0,27.0,43.0,,7.0,,,,,,75.0,77.0,8.0,22.0,0.171845,2,,,,14.0,,,2.0,1.0,1.0,,,,,1.0,0.35,4.0,,,1.0,,2.0,,1.0,1.0,0.707,1.0,,,,1.0,,,,,,,,,
11396406,home,RB Leipzig,Xavi Simons,xavi-simons,X. Simons,M,7,179,50786,M,997183,EUR,1050883200,F,20,20,False,31.0,27.0,1.0,,14.0,14.0,13.0,19.0,,3.0,,,,,,63.0,51.0,8.5,13.0,0.341722,4,,,,2.0,1.0,,7.0,4.0,,6.0,3.0,2.0,1.0,,0.5324,2.0,,,,2.0,,2.0,1.0,1.0,0.1835,,XaviSimons,,,,3.0,,,,,,,,
11396406,home,RB Leipzig,Timo Werner,timo-werner,T. Werner,F,36,180,18941,M,232306,EUR,826070400,F,11,11,False,22.0,14.0,1.0,1.0,8.0,11.0,6.0,11.0,,1.0,,,,,,63.0,32.0,7.0,9.0,0.00632999,3,,,,,,,2.0,2.0,,1.0,1.0,,,1.0,1.393,,,,1.0,,,,3.0,,1.7027,,timowerner,,,1.0,1.0,1.0,,,,,,,
