match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_expectedGoalsOnTarget,stat_totalContest,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox
14167915,home,AS Monaco,Philipp Köhn,,,philipp-kohn,P. Köhn,G,16,191.0,698,M,868964,EUR,891475200,G,16,16,False,35.0,23.0,18.0,6.0,0.0,20.0,22.0,3.0,13.0,2.0,2.0,1.0,11.0,2.0,2.0,1.0,1.0,1.0,90.0,43.0,7.7,12.0,0.00037775,0.413,0,0.3325,0.03,0.0,0.28,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167915,home,AS Monaco,Thilo Kehrer,,,thilo-kehrer,T. Kehrer,D,5,186.0,1925,M,281277,EUR,843264000,D,5,5,False,49.0,35.0,7.0,2.0,0.0,22.0,26.0,13.0,23.0,2.0,14.0,8.0,5.0,,,,,,90.0,77.0,7.5,15.0,0.00550645,,1,,0.2,0.04,0.3,,True,3.0,7.0,1.0,1.0,1.0,7.0,4.0,1.0,5.0,3.0,0.1451,-0.45,,,,,,,,,,,,,,,,,
14167915,home,AS Monaco,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188.0,5721,M,946158,EUR,924307200,D,22,22,False,64.0,54.0,15.0,7.0,0.0,41.0,43.0,13.0,21.0,3.0,5.0,12.0,,,,,,,90.0,88.0,8.5,12.0,0.00309471,,1,,0.15,0.06,0.54,,,3.0,5.0,,,2.0,2.0,,1.0,,1.0,0.3254,0.51,salisu_sarki,1.0,1.0,1.0,1.0,0.8563,,,,,,,,,,,
14167915,home,AS Monaco,Christian Mawissa,,,christian-mawissa,C. Mawissa,D,13,184.0,895,M,1407848,EUR,1113782400,D,13,13,False,58.0,50.0,6.0,1.0,0.0,39.0,44.0,11.0,14.0,6.0,10.0,7.0,6.0,,,,,,90.0,76.0,7.0,10.0,0.00788553,,0,,-0.3,0.12,-0.05,,,2.0,5.0,1.0,,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,
14167915,home,AS Monaco,Krépin Diatta,,,krepin-diatta,K. Diatta,M,27,173.0,13115,M,873534,EUR,919900800,M,27,27,False,33.0,25.0,3.0,1.0,0.0,13.0,15.0,12.0,18.0,2.0,7.0,2.0,7.0,,,,,,90.0,53.0,7.3,12.0,0.467857,,0,,0.42,0.21,0.16,,,1.0,7.0,4.0,,1.0,5.0,3.0,2.0,,1.0,,,krepindiatta,,,,1.0,,1.0,1.0,1.0,1.0,3.0,,,,,,
14167915,home,AS Monaco,Mamadou Coulibaly,,,mamadou-coulibaly,M. Coulibaly,M,28,179.0,1437,M,1410148,EUR,1082505600,M,28,28,False,27.0,24.0,2.0,1.0,0.0,20.0,22.0,4.0,5.0,,1.0,,4.0,,,,,,45.0,35.0,6.4,6.0,0.00125016,,0,,-0.05,0.0,-0.01,,,1.0,4.0,,,2.0,,,1.0,,1.0,,,,,,,,,3.0,,,,,1.0,,,,,
14167915,home,AS Monaco,Aleksandr Golovin,,,aleksandr-golovin,A. Golovin,M,10,180.0,8439,M,318963,EUR,833414400,M,10,10,False,27.0,18.0,3.0,1.0,0.0,10.0,15.0,8.0,12.0,,2.0,,6.0,,,,,,76.0,37.0,6.3,12.0,0.0046523,,0,,-0.14,0.11,-0.09,,,,6.0,3.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,alex_golovin17,1.0,,,,,,1.0,,,,,,,,,
14167915,home,AS Monaco,Kassoum Ouattara,,,ouattara-kassoum,K. Ouattara,D,20,176.0,696,M,1397558,EUR,1097712000,M,20,20,False,47.0,36.0,6.0,1.0,1.0,23.0,27.0,13.0,20.0,,4.0,,9.0,,,,,,90.0,80.0,7.9,22.0,1.00848,,2,,0.99,0.39,-0.1,,,3.0,8.0,2.0,1.0,,2.0,1.0,4.0,,1.0,0.3926,-0.29,,2.0,,,,,2.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,
14167915,home,AS Monaco,Takumi Minamino,,,takumi-minamino,T. Minamino,M,18,174.0,8866,M,155818,EUR,790214400,F,18,18,False,20.0,14.0,2.0,1.0,0.0,7.0,8.0,7.0,12.0,2.0,5.0,2.0,4.0,,,,,,90.0,34.0,6.9,11.0,0.428783,,3,,0.29,-0.04,0.19,,,2.0,3.0,,,,,,4.0,2.0,,0.2456,-0.53,Minamino,1.0,,,,,1.0,,,1.0,1.0,1.0,,3.0,,,
14167915,home,AS Monaco,Ansu Fati,,,ansu-fati,A. Fati,F,31,178.0,169176,M,962883,EUR,1036022400,F,31,31,False,11.0,8.0,3.0,2.0,0.0,4.0,5.0,4.0,6.0,1.0,4.0,1.0,1.0,,,,,,60.0,26.0,6.8,7.0,0.121826,,2,,0.19,-0.74,0.15,,,1.0,1.0,,1.0,1.0,,,4.0,2.0,,0.9695,0.15,AnsuFati,,1.0,,,0.9658,1.0,1.0,1.0,,1.0,1.0,2.0,,,,
