match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,player_firstName,player_lastName,stat_accurateCross,stat_interceptionWon,stat_errorLeadToAShot,stat_keyPass,stat_dispossessed,stat_blockedScoringAttempt,stat_challengeLost,stat_totalOffside,stat_unsuccessfulTouch,player_sofascoreId,captain,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceCreated,stat_lastManTackle,stat_ownGoals,stat_hitWoodwork
12512543,home,Torino,Vanja Milinković-Savić,vanja-milinkovic-savic,V. Milinković-Savić,G,32,202,6339,M,356160,EUR,856396800,G,32,32,False,72.0,64.0,17.0,10.0,0.0,61.0,63.0,3.0,9.0,1.0,11.0,1.0,4.0,1.0,90.0,86.0,7.9,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512543,home,Torino,Mërgim Vojvoda,mergim-vojvoda,M. Vojvoda,D,31,187,1449,M,798147,EUR,791596800,D,27,27,False,76.0,67.0,8.0,6.0,0.0,55.0,63.0,12.0,14.0,4.0,5.0,,,,90.0,89.0,7.3,11.0,0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12512543,home,Torino,Saúl Coco,saul-coco,S. Coco,D,23,188,1246,M,1089453,EUR,918518400,D,23,23,False,57.0,52.0,3.0,2.0,0.0,46.0,48.0,6.0,9.0,2.0,3.0,,,,90.0,63.0,7.3,5.0,1,,,2.0,1.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12512543,home,Torino,Adam Masina,adam-masina,A. Masina,D,,189,5399,M,259995,EUR,757468800,D,5,5,False,84.0,78.0,4.0,3.0,0.0,69.0,74.0,10.0,11.0,2.0,1.0,,,,87.0,99.0,7.3,8.0,0,1.0,,,1.0,2.0,,,,1.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
12512543,home,Torino,Raoul Bellanova,raoul-bellanova,R. Bellanova,M,16,188,2482,M,826185,EUR,958521600,M,19,19,False,19.0,14.0,1.0,,0.0,9.0,11.0,7.0,11.0,1.0,1.0,,,,66.0,35.0,6.9,8.0,0,3.0,,,2.0,3.0,1.0,,,,,2.0,1.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,
12512543,home,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4143,M,930189,EUR,998352000,M,28,28,False,44.0,39.0,2.0,1.0,0.0,29.0,30.0,11.0,16.0,1.0,6.0,,,,90.0,63.0,7.6,9.0,2,2.0,,,3.0,8.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,
12512543,home,Torino,Karol Linetty,karol-linetty,K. Linetty,M,10,176,2100,M,189135,EUR,791683200,M,77,77,False,24.0,22.0,,,0.0,16.0,18.0,7.0,7.0,,4.0,,,,66.0,32.0,6.7,3.0,1,1.0,,,2.0,2.0,1.0,,1.0,1.0,,2.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,
12512543,home,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1764,M,877371,EUR,984787200,M,8,8,False,42.0,37.0,2.0,,0.0,28.0,32.0,11.0,18.0,2.0,2.0,,,,82.0,55.0,7.1,11.0,0,8.0,1.0,1.0,2.0,3.0,,,,,,,,2.0,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,
12512543,home,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1019,M,233826,EUR,827625600,M,20,20,False,49.0,42.0,4.0,1.0,0.0,37.0,42.0,6.0,10.0,,5.0,,,,90.0,61.0,7.0,11.0,0,3.0,,,1.0,4.0,,,,,,4.0,3.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,
12512543,home,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3529,M,333261,EUR,825897600,F,9,9,False,19.0,15.0,4.0,2.0,0.0,11.0,12.0,4.0,7.0,,2.0,,,,65.0,24.0,6.6,5.0,0,,1.0,,3.0,3.0,3.0,2.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
