match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_outfielderBlock,captain,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside,stat_ownGoals,stat_hitWoodwork,stat_goals
12437518,home,Rayo Vallecano,Augusto Batalla,augusto-batalla,A. Batalla,G,13,186.0,1488,M,358910,EUR,830822400,G,13,13,False,25.0,19.0,19.0,13.0,0.0,12.0,12.0,7.0,13.0,1.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,90.0,35.0,7.2,6.0,0.00646751,1.0,0,0.1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437518,home,Rayo Vallecano,Andrei Rațiu,andrei-ratiu,A. Rațiu,D,2,183.0,8158,M,965031,EUR,898300800,D,2,2,False,54.0,42.0,8.0,1.0,0.0,20.0,26.0,23.0,34.0,3.0,2.0,10.0,,,,,,90.0,85.0,6.8,23.0,0.234682,3.0,0,,Sonic,6.0,1.0,8.0,3.0,6.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12437518,home,Rayo Vallecano,Florian Lejeune,florian-lejeune,F. Lejeune,D,24,190.0,1047,M,88528,EUR,674697600,D,24,24,False,45.0,37.0,11.0,4.0,0.0,20.0,22.0,17.0,24.0,9.0,4.0,1.0,2.0,,,,,90.0,59.0,6.8,9.0,0.0127072,,1,,,1.0,,7.0,,,,,,,4.0,3.0,3.0,1.0,4.0,1.0,0.0364,0.0178,,,,,,,,,,,,
12437518,home,Rayo Vallecano,Pathé Ismaël Ciss,ismaila-ciss,P. I. Ciss,M,6,183.0,4735,M,913679,EUR,763776000,D,6,6,False,62.0,54.0,3.0,,0.0,39.0,41.0,15.0,21.0,3.0,3.0,3.0,2.0,,,,,90.0,71.0,6.6,9.0,0.0104199,,0,,,,,3.0,,,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,
12437518,home,Rayo Vallecano,Josep Chavarría,josep-chavarria,J. Chavarría,D,3,174.0,630,M,1010421,EUR,892166400,D,3,3,False,57.0,50.0,4.0,3.0,0.0,20.0,23.0,31.0,38.0,1.0,1.0,2.0,,,,,,90.0,83.0,6.4,14.0,0.0569872,,0,,,4.0,1.0,5.0,,4.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12437518,home,Rayo Vallecano,Óscar Valentín,oscar-valentin,Ó. Valentín,M,23,177.0,443,M,900008,EUR,777340800,M,23,23,False,31.0,27.0,2.0,1.0,0.0,15.0,17.0,12.0,14.0,4.0,,4.0,2.0,,,,,83.0,37.0,6.4,4.0,0.0129973,,0,,,,,4.0,2.0,,,,,,3.0,,,,2.0,,,,,,,True,,,,,,,,
12437518,home,Rayo Vallecano,Gerard Gumbau,gerard-gumbau,G. Gumbau,M,15,187.0,380,M,326471,EUR,787708800,M,15,15,False,39.0,34.0,3.0,3.0,0.0,9.0,10.0,25.0,34.0,1.0,,5.0,,,,,,71.0,49.0,7.0,10.0,0.043144,1.0,0,,,5.0,,3.0,,,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,
12437518,home,Rayo Vallecano,Jorge de Frutos,jorge-de-frutos,J. de Frutos,M,19,173.0,1878,M,900003,EUR,849312000,M,19,19,False,14.0,12.0,1.0,1.0,0.0,6.0,6.0,6.0,11.0,6.0,,5.0,2.0,,,,,71.0,34.0,6.7,11.0,0.00512534,,1,,,3.0,,4.0,1.0,2.0,,,1.0,3.0,,,1.0,,3.0,2.0,0.0113,,,,,,1.0,1.0,,,,,,
12437518,home,Rayo Vallecano,Pedro Díaz,pedro-diaz,P. Díaz,M,4,180.0,572,M,900669,EUR,897004800,M,4,4,False,36.0,31.0,3.0,2.0,0.0,8.0,9.0,23.0,28.0,2.0,,5.0,,,,,,90.0,49.0,7.2,10.0,0.047935,,2,,,1.0,,2.0,,1.0,,,,2.0,,1.0,,,2.0,2.0,0.0536,,,,,,,,2.0,,,,,
12437518,home,Rayo Vallecano,Álvaro García,alvaro-garcia,Á. García,M,18,168.0,1132,M,345111,EUR,720144000,M,18,18,False,39.0,30.0,1.0,,0.0,12.0,12.0,18.0,36.0,2.0,,3.0,1.0,,,,,90.0,60.0,6.9,20.0,0.0260077,,6,,,9.0,,2.0,,2.0,1.0,,,,3.0,,,3.0,,,0.4604,0.1593,,,,,,2.0,1.0,1.0,,,,
