match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_outfielderBlock,stat_aerialWon,captain,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalOffside
12117123,home,Juventude,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,38.0,30.0,14.0,7.0,0.0,24.0,26.0,6.0,12.0,1.0,1.0,1.0,2.0,10.0,3.0,5.0,2.0,2.0,90.0,52.0,8.2,8.0,0.00081354,0,0.7661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117123,home,Juventude,João Lucas,joao-lucas,J. Lucas,D,2,181,682,M,981019,EUR,889401600,D,2,2,False,38.0,30.0,6.0,3.0,1.0,17.0,18.0,15.0,23.0,4.0,2.0,,4.0,7.0,,,,,90.0,66.0,9.1,16.0,0.462302,1,,3.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.1533,0.3413,2.0,,,,,,,,,,,,
12117123,home,Juventude,Danilo Boza,danilo-boza,D. Boza,D,3,184,230,M,924226,EUR,894412800,D,4,4,False,53.0,51.0,1.0,,0.0,44.0,45.0,7.0,8.0,,1.0,,3.0,5.0,,,,,67.0,63.0,6.8,5.0,0.00432372,0,,,,,2.0,,,,,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,
12117123,home,Juventude,Lucas Freitas,lucas-freitas,L. Freitas,D,43,184,1198,M,1069729,EUR,979948800,D,43,43,False,49.0,47.0,3.0,2.0,0.0,35.0,37.0,12.0,12.0,1.0,,,4.0,,,,,,90.0,57.0,6.9,4.0,0.00773237,0,,,,2.0,3.0,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,
12117123,home,Juventude,Alan Ruschel,alan-ruschel,A. L. Ruschel,D,28,175,447,M,551674,EUR,619833600,D,28,28,False,18.0,17.0,1.0,1.0,0.0,11.0,11.0,6.0,9.0,1.0,,,,1.0,,,,,45.0,28.0,7.2,4.0,0.00301065,0,,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,1.0,,,,2.0,,True,,,,,,
12117123,home,Juventude,Jádson,jadson,Jádson,M,16,171,454,M,243651,EUR,746668800,M,16,16,False,54.0,50.0,1.0,1.0,1.0,24.0,26.0,26.0,30.0,5.0,2.0,,,3.0,,,,,90.0,69.0,7.9,9.0,0.352025,0,,2.0,,,5.0,1.0,1.0,,,,3.0,2.0,,2.0,,,4.0,,,1.0,,,,1.0,,,,,
12117123,home,Juventude,Caique Gonçalves,caique-goncalves,Caique,M,95,178,364,M,871032,EUR,813283200,M,95,95,False,47.0,45.0,5.0,5.0,0.0,28.0,29.0,17.0,18.0,2.0,,,2.0,6.0,,,,,90.0,56.0,6.9,2.0,0.0129882,0,,,,,5.0,2.0,,,,2.0,,,,2.0,,,,,,,,,,3.0,,,,,
12117123,home,Juventude,Lucas Barbosa,lucas-barbosa,L. Barbosa,M,21,193,762,M,1067641,EUR,982800000,M,21,21,False,31.0,26.0,2.0,1.0,0.0,9.0,10.0,17.0,22.0,4.0,,,,3.0,,,,,67.0,42.0,6.9,8.0,0.203885,0,,1.0,,2.0,9.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,,1.0,Lucas Barbosa,,1.0,,1.0,,5.0,,,,,
12117123,home,Juventude,Jean Carlos,jean-carlos,J. Carlos,M,20,178,459,M,850475,EUR,698112000,M,20,20,False,24.0,17.0,5.0,2.0,0.0,3.0,3.0,16.0,25.0,1.0,,,,1.0,,,,,76.0,34.0,6.7,12.0,0.146719,0,,4.0,2.0,1.0,3.0,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,
12117123,home,Juventude,Erick Farias,erick-farias,E. Farias,F,97,172,479,M,927667,EUR,852249600,M,7,7,False,22.0,17.0,1.0,,0.0,5.0,6.0,12.0,17.0,5.0,2.0,2.0,,5.0,,,,,90.0,36.0,7.5,8.0,0.00967936,4,,1.0,,1.0,2.0,1.0,,2.0,1.0,,1.0,1.0,2.0,,0.7242,0.745,1.0,,,,,2.0,,,1.0,1.0,1.0,,
