match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,length,confirmed
11897406,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11897406,,,,,90,3.0,,1,,,substitution,122312629.0,False,False,regular,,,,,,,
11897406,,,,,90,,,1,,,card,121080111.0,,True,yellow,Iron Gomis,Foul,False,979593.0,Iron Gomis,,
11897406,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,4.0,
11897406,,,,,88,,,3,,,substitution,122312626.0,False,False,regular,,,,,,,
11897406,,,,,88,,,3,,,substitution,122312625.0,False,True,regular,,,,,,,
11897406,,,,,88,,,3,,,substitution,122312624.0,False,True,regular,,,,,,,
11897406,,,,,76,,,15,,,substitution,122312613.0,False,False,regular,,,,,,,
11897406,,,,,76,,,15,,,substitution,122312612.0,False,False,regular,,,,,,,
11897406,,,,,76,,,15,,,substitution,122312611.0,True,False,injury,,,,,,,
11897406,,,,,71,,,20,,,varDecision,22706.0,,False,goalNotAwarded,,,,920514.0,Jerome Opoku,,False
11897406,,0.0,3.0,,68,,,23,,,goal,176907341.0,,False,regular,,,,920514.0,Jerome Opoku,,
11897406,,,,,67,,,24,,,card,121080107.0,,True,yellow,Andreas Gianniotis,Foul,False,236746.0,Andreas Gianniotis,,
11897406,,0.0,2.0,,54,,,37,,,goal,176906820.0,,False,regular,,,,988909.0,Philippe Keny,,
11897406,,,,,51,,,40,,,card,121080087.0,,False,yellow,Emirhan İlkhan,Foul,False,1142612.0,Emirhan İlkhan,,
11897406,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11897406,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,1.0,
11897406,,0.0,1.0,,24,,,22,,,goal,176904863.0,,False,regular,,,,96520.0,Serdar Gürler,,
11897406,,,,,-5,,,6,,,card,121080094.0,,True,yellow,Sami Uğurlu,Argument,False,,,,
