match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_totalCross,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_goals,stat_dispossessed,stat_accurateCross,stat_shotOffTarget,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_bigChanceMissed
11396449,home,1. FSV Mainz 05,Robin Zentner,robin-zentner,R. Zentner,G,27,193,298,M,174345,EUR,783302400,G,27,27,False,True,29.0,24.0,6.0,2.0,23.0,26.0,1.0,3.0,1.0,12.0,1.0,2.0,3.0,90.0,43.0,6.6,5.0,0.0,0.0,0.00036313,0,-0.6794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Sepp van den Berg,sepp-van-den-berg,S. van den Berg,D,4,192,2107,M,924378,EUR,1008806400,D,3,3,False,,57.0,46.0,12.0,6.0,38.0,41.0,8.0,16.0,3.0,3.0,,,,90.0,70.0,6.4,11.0,0.0,0.0,0.0100363,0,,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Stefan Bell,stefan-bell,S. Bell,D,16,192,142,M,106662,EUR,682992000,D,16,16,False,,23.0,15.0,4.0,1.0,13.0,18.0,2.0,5.0,8.0,5.0,,,,67.0,33.0,6.6,8.0,0.0,0.0,0.132357,0,,5.0,1.0,6.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,330099,EUR,829526400,D,20,20,False,,62.0,45.0,16.0,4.0,34.0,36.0,11.0,28.0,4.0,10.0,,,,90.0,77.0,6.3,22.0,0.0126,0.0,0.0809529,1,,3.0,,4.0,3.0,1.0,,1.0,1.0,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Phillipp Mwene,phillipp-mwene,P. Mwene,M,2,170,470,M,138126,EUR,759801600,M,2,2,False,,28.0,17.0,1.0,,11.0,19.0,6.0,11.0,2.0,6.0,,,,90.0,59.0,6.3,24.0,0.0,0.0,0.0473314,0,,1.0,,7.0,4.0,2.0,,2.0,2.0,2.0,,1.0,4.0,1.0,,,2.0,2.0,1.0,,3.0,,,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Leandro Barreiro,leandro-barreiro,L. Barreiro,M,18,170,2537,M,906800,EUR,946857600,M,8,8,False,,22.0,12.0,2.0,,9.0,14.0,3.0,8.0,,6.0,,,,90.0,35.0,7.4,12.0,0.2703,0.9911,0.0810057,1,,2.0,1.0,3.0,3.0,,1.0,2.0,,,,2.0,1.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Dominik Kohr,dominik-kohr,D. Kohr,D,31,183,342,M,152206,EUR,759974400,M,31,31,False,,37.0,26.0,4.0,1.0,15.0,17.0,11.0,21.0,1.0,6.0,,,,90.0,52.0,6.4,16.0,0.0176,0.0,0.0143603,1,,2.0,2.0,7.0,4.0,2.0,,2.0,2.0,2.0,,,1.0,,,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,
11396449,home,1. FSV Mainz 05,Anthony Caci,anthony-caci,A. Caci,M,19,184,357,M,846471,EUR,867715200,M,19,19,False,,44.0,33.0,10.0,6.0,16.0,20.0,18.0,28.0,1.0,5.0,,,,90.0,67.0,7.2,18.0,0.0169,0.0,0.0904987,1,,2.0,3.0,4.0,9.0,,1.0,2.0,2.0,1.0,,1.0,2.0,1.0,,,4.0,3.0,3.0,,,,,,1.0,1.0,,,,,,,,
11396449,home,1. FSV Mainz 05,Marco Richter,marco-richter,M. Richter,M,23,176,248,M,796027,EUR,880329600,F,10,10,False,,8.0,5.0,1.0,,1.0,1.0,4.0,7.0,,2.0,,,,59.0,19.0,6.9,4.0,0.3672,0.2133,0.00316961,5,,2.0,,2.0,3.0,,,,1.0,,,2.0,,,,,,,,3.0,1.0,1.0,,,,1.0,,,,,,,,
11396449,home,1. FSV Mainz 05,Jae-sung Lee,jae-sung-lee,J. Lee,F,7,180,2646,M,537552,EUR,713404800,F,7,7,False,,17.0,13.0,2.0,1.0,8.0,11.0,5.0,6.0,1.0,4.0,,,,67.0,26.0,6.5,7.0,0.0,0.0,0.00196318,0,,3.0,,5.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,
