match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,player_firstName,stat_shotOffTarget,stat_outfielderBlock,player_lastName,stat_totalCross,stat_dispossessed,stat_challengeLost,stat_totalOffside,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12437779,home,Valencia,Giorgi Mamardashvili,giorgi-mamardashvili,G. Mamardashvili,G,25,200,17187,M,mamardashvili,930997,EUR,970185600,G,25,25,False,21.0,15.0,6.0,0.0,15.0,18.0,3.0,1.0,6.0,2.0,90.0,29.0,6.8,6.0,3.776e-05,0,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437779,home,Valencia,Thierry Correia,correia-thierry,T. Correia,D,12,176,798,M,,851282,EUR,920937600,D,12,12,False,35.0,21.0,7.0,0.0,12.0,17.0,18.0,1.0,1.0,,74.0,52.0,7.0,19.0,0.317434,0,,1.0,9.0,1.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12437779,home,Valencia,César Tárrega,cesar-tarrega,C. Tárrega,D,5,193,816,M,,996928,EUR,1014681600,D,15,15,False,51.0,41.0,5.0,0.0,30.0,33.0,18.0,5.0,3.0,,90.0,64.0,7.2,11.0,0.00366148,1,,2.0,11.0,3.0,2.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,1.0,1.0,0.0136,,,,,,,,,,,,,,,,,,
12437779,home,Valencia,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,False,72.0,61.0,7.0,0.0,44.0,48.0,24.0,2.0,9.0,,90.0,81.0,7.2,13.0,0.0051029,1,,5.0,17.0,3.0,4.0,1.0,1.0,,1.0,,2.0,,,3.0,2.0,,1.0,0.0534,Cristhian Mosquera,1.0,1.0,,,,,,,,,,,,,,,
12437779,home,Valencia,Jesús Vázquez,jesus-vazquez,J. Vázquez,D,21,182,419,M,,996929,EUR,1041465600,D,21,21,False,35.0,23.0,5.0,0.0,12.0,15.0,21.0,6.0,6.0,,90.0,79.0,7.4,20.0,0.00732278,1,,1.0,11.0,6.0,6.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,,3.0,2.0,1.0,1.0,0.0419,,,2.0,,1.0,1.0,,,,,,,,,,,,
12437779,home,Valencia,Diego López,diego-lopez,D. López,M,16,172,1350,M,,998950,EUR,1021248000,M,16,16,False,20.0,12.0,1.0,0.0,5.0,5.0,15.0,,2.0,,74.0,28.0,6.7,11.0,0.0104577,0,,,7.0,3.0,3.0,,,,1.0,1.0,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,
12437779,home,Valencia,Enzo Barrenechea,enzo-barrenechea,E. Barrenechea,M,5,186,6499,M,,1087316,EUR,990489600,M,5,5,False,28.0,18.0,5.0,0.0,11.0,14.0,15.0,3.0,1.0,,62.0,41.0,6.6,13.0,0.00256453,0,,2.0,7.0,3.0,4.0,1.0,,1.0,1.0,,,1.0,,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
12437779,home,Valencia,Pepelu,pepelu,Pepelu,M,18,185,1838,M,,826948,EUR,902793600,M,18,18,False,45.0,38.0,2.0,0.0,23.0,25.0,27.0,1.0,3.0,,90.0,66.0,7.0,17.0,0.117925,1,,1.0,16.0,7.0,5.0,,,,2.0,2.0,,1.0,1.0,3.0,2.0,,1.0,0.0424,,1.0,,,7.0,2.0,1.0,1.0,True,1.0,,,,,,,,
12437779,home,Valencia,Luis Rioja,luis-rioja,L. Rioja,M,11,173,860,M,,900433,EUR,750729600,M,22,22,False,29.0,24.0,1.0,0.0,8.0,10.0,29.0,1.0,5.0,,90.0,53.0,7.7,13.0,0.273513,1,,,21.0,2.0,5.0,4.0,3.0,2.0,,,,2.0,2.0,,,,,0.007,,,,,10.0,1.0,,,,5.0,1.0,0.0102,,,,,,
12437779,home,Valencia,André Almeida,andre-almeida,A. Almeida,M,10,176,1200,M,,845693,EUR,959644800,F,10,10,False,22.0,20.0,,0.0,6.0,6.0,18.0,,4.0,,62.0,34.0,7.2,8.0,0.72392,1,,,15.0,2.0,3.0,1.0,,,2.0,2.0,2.0,,2.0,,1.0,1.0,1.0,0.1241,,,,,2.0,1.0,,,,1.0,,,1.0,,,,,
