match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_dispossessed,stat_keyPass,stat_totalCross,stat_totalContest,stat_wonContest,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_accurateCross,stat_hitWoodwork,stat_errorLeadToAShot
14025267,home,Manchester United,Senne Lammens,,,senne-lammens,S. Lammens,G,31,193.0,27298,M,964753,EUR,1026000000,G,31,31,False,48.0,23.0,34.0,11.0,0.0,12.0,23.0,11.0,25.0,13.0,1.0,1.0,3.0,90.0,55.0,6.9,25.0,0.00184901,0.4404,0,-0.2989,0.04,0.01,-0.2,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025267,home,Manchester United,Leny Yoro,Leny Yoro,,leny-yoro,L. Yoro,D,15,190.0,20033,M,1153315,EUR,1131840000,D,15,15,False,51.0,48.0,2.0,1.0,0.0,29.0,30.0,19.0,21.0,4.0,,,,90.0,59.0,6.2,3.0,0.0114914,,0,,0.11,0.13,-0.41,,YL15,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14025267,home,Manchester United,Matthijs de Ligt,,,matthijs-de-ligt,M. de Ligt,D,4,188.0,32684,M,803031,EUR,934416000,D,4,4,False,43.0,39.0,4.0,3.0,0.0,30.0,31.0,9.0,12.0,5.0,,,,90.0,52.0,6.5,5.0,0.00490872,,0,,0.06,0.03,-0.24,,mdeligt,,2.0,2.0,2.0,2.0,6.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
14025267,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178.0,17970,M,190839,EUR,805507200,D,23,23,False,35.0,31.0,3.0,2.0,1.0,19.0,21.0,12.0,14.0,2.0,,,,65.0,40.0,6.9,5.0,0.00460496,,0,,0.0,0.02,-0.06,,lukeshaw23,1.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
14025267,home,Manchester United,Amad Diallo,,,diallo-amad,A. Diallo,F,16,173.0,104228,M,971037,EUR,1026345600,M,16,16,False,30.0,23.0,1.0,1.0,0.0,5.0,6.0,18.0,24.0,4.0,,,,70.0,41.0,6.4,9.0,0.0129215,,0,,-0.34,0.07,-0.07,,AmadDiallo19,1.0,,3.0,2.0,2.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14025267,home,Manchester United,Casemiro,,,casemiro,Casemiro,M,18,185.0,86039,M,122951,EUR,698803200,M,18,18,False,32.0,25.0,4.0,2.0,1.0,9.0,10.0,16.0,22.0,5.0,,,,70.0,48.0,8.4,10.0,0.0222661,,1,,0.07,0.21,0.23,,Casemiro,1.0,,3.0,4.0,1.0,1.0,2.0,3.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,0.0193,0.1042,0.54,,,,,,,,,
14025267,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179.0,235526,M,288205,EUR,778982400,M,8,8,False,51.0,44.0,3.0,2.0,0.0,9.0,11.0,35.0,40.0,7.0,,,,90.0,83.0,7.3,16.0,0.193112,,4,,0.63,0.24,-0.11,,BrunoFernandes,2.0,,9.0,9.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,,2.0,2.0,6.0,3.0,3.0,2.0,,4.0,0.3847,0.7312,-0.71,True,1.0,1.0,1.0,1.0,,,,
14025267,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184.0,22996,M,843200,EUR,921715200,M,2,2,False,24.0,20.0,2.0,2.0,0.0,9.0,10.0,11.0,14.0,4.0,,,,90.0,42.0,6.8,6.0,0.0816512,,1,,0.25,0.01,-0.17,,DDalot,,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,2.0,0.0284,,-0.06,,,,1.0,,1.0,,,
14025267,home,Manchester United,Bryan Mbeumo,,,bryan-mbeumo,B. Mbeumo,M,19,173.0,110440,M,927083,EUR,933984000,F,19,19,False,38.0,34.0,,,0.0,10.0,11.0,24.0,27.0,7.0,,,,90.0,59.0,9.8,12.0,0.239691,,3,,0.44,0.33,-0.05,,bryan_m19,1.0,,3.0,6.0,1.0,,,,,,,,2.0,2.0,5.0,4.0,2.0,3.0,2.0,6.0,0.5594,1.5378,0.91,,1.0,1.0,,,,1.0,1.0,
14025267,home,Manchester United,Matheus Cunha,,,matheus-cunha,M. Cunha,F,10,184.0,69408,M,886363,EUR,927763200,F,10,10,False,36.0,32.0,1.0,1.0,0.0,14.0,14.0,18.0,22.0,3.0,,,,81.0,62.0,8.8,17.0,0.29617,,2,,0.53,0.24,0.13,,Cunha,,,6.0,7.0,1.0,1.0,1.0,3.0,2.0,,,4.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,0.0935,0.6535,0.54,,1.0,,,,1.0,,,
