match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,captain,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wonTackle,stat_challengeLost,stat_unsuccessfulTouch,stat_shotOffTarget,stat_expectedGoals,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_hitWoodwork,stat_bigChanceMissed,stat_errorLeadToAShot,stat_bigChanceCreated
12117318,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,13.0,12.0,2.0,1.0,0.0,12.0,12.0,1.0,2.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,90.0,24.0,7.5,1.0,0.00010197,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117318,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,61.0,56.0,7.0,5.0,0.0,14.0,14.0,57.0,1.0,1.0,,,,,,,90.0,81.0,7.4,12.0,0.357377,0,,46.0,10.0,4.0,1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12117318,home,Fluminense,Thiago Silva,,,thiago-silva,T. Silva,D,3,181,42324,M,33541,EUR,464659200,D,3,3,False,69.0,65.0,7.0,3.0,0.0,42.0,42.0,27.0,8.0,7.0,,,,,,,90.0,84.0,7.6,4.0,0.0127021,0,,23.0,,,1.0,1.0,5.0,1.0,,1.0,ThiagoSilva,True,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,
12117318,home,Fluminense,Thiago Santos,,,thiago-santos,T. Santos,D,29,181,954,M,378590,EUR,620956800,D,29,29,False,86.0,80.0,7.0,6.0,0.0,56.0,59.0,27.0,,10.0,,,,,,,90.0,98.0,7.6,8.0,0.00892223,0,,24.0,,,4.0,5.0,9.0,2.0,,,,,3.0,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
12117318,home,Fluminense,Diogo Barbosa,,,diogo-barbosa,D. Barbosa,D,16,180,555,M,243107,EUR,714009600,D,6,6,False,72.0,65.0,7.0,2.0,0.0,27.0,30.0,44.0,3.0,6.0,,,,,,,90.0,95.0,7.2,13.0,0.0346964,0,,38.0,2.0,,2.0,3.0,3.0,1.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,
12117318,home,Fluminense,Facundo Bernal,,,bernal-facundo,F. Bernal,M,5,187,1705,M,1177404,EUR,1061424000,M,5,5,False,50.0,44.0,8.0,6.0,0.0,19.0,20.0,31.0,,3.0,,,,,,,77.0,56.0,7.1,7.0,0.0217398,1,,26.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,1.0,0.0184,,,,,,,,
12117318,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176,4179,M,1067671,EUR,1002240000,M,8,8,False,47.0,42.0,4.0,4.0,0.0,21.0,22.0,25.0,1.0,6.0,,,,,,,64.0,60.0,7.4,7.0,0.0294816,0,,21.0,,,1.0,2.0,6.0,2.0,,1.0,,,1.0,,1.0,,,4.0,3.0,,,1.0,,,,,,,,,,
12117318,home,Fluminense,Jhon Arias,,,jhon-arias,J. Arias,M,21,170,30718,M,844096,EUR,874800000,M,21,21,False,66.0,60.0,,,0.0,11.0,11.0,66.0,,5.0,,,,,,,90.0,98.0,7.4,22.0,0.160382,4,,50.0,11.0,1.0,1.0,6.0,4.0,2.0,,4.0,jhonariasa,,1.0,,,,2.0,4.0,1.0,,,,1.0,0.2374,1.0,2.0,0.1673,,,,,
12117318,home,Fluminense,Ganso,,,ganso,Ganso,M,10,184,3271,M,116853,EUR,624153600,M,10,10,False,18.0,13.0,,,0.0,5.0,6.0,13.0,,2.0,,,,,,,38.0,22.0,6.7,6.0,0.0313557,1,,8.0,1.0,,,1.0,2.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,0.0425,,,,1.0,,,,
12117318,home,Fluminense,Keno,,,keno,Keno,M,11,174,1898,M,787607,EUR,621388800,M,11,11,False,24.0,15.0,1.0,,0.0,3.0,3.0,27.0,,1.0,,,,,,,77.0,50.0,7.1,20.0,0.265648,6,,12.0,6.0,,,4.0,5.0,,,1.0,,,,,,1.0,,7.0,4.0,,1.0,2.0,2.0,0.3058,,4.0,,,,,,
