match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_interceptionWon,stat_expectedGoals,captain,stat_goalAssist,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_wonContest,stat_outfielderBlock,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,stat_penaltyConceded,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon,stat_totalOffside,stat_clearanceOffLine
11406849,home,Milan,Mike Maignan,mike-maignan,M. Maignan,G,16,190,15444,M,MMaignan,191210,EUR,804729600,G,16,16,False,49.0,44.0,7.0,2.0,43.0,43.0,1.0,6.0,1.0,1.0,9.0,1.0,2.0,1.0,2.0,90.0,58.0,7.0,5.0,0.00022576,0,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406849,home,Milan,Alessandro Florenzi,alessandro-florenzi,A. Florenzi,D,,173,2203,M,,152420,EUR,668649600,D,42,42,False,36.0,32.0,4.0,1.0,19.0,20.0,15.0,25.0,,2.0,5.0,,,,,57.0,54.0,6.7,13.0,0.169592,0,,9.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11406849,home,Milan,Malick Thiaw,malick-thiaw,M. Thiaw,D,12,194,6237,M,MThiaw,1014286,EUR,997228800,D,28,28,False,72.0,66.0,8.0,4.0,48.0,51.0,18.0,21.0,3.0,5.0,8.0,,,,,90.0,81.0,6.7,9.0,0.00843902,1,,,,1.0,4.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,1.0,1.0,0.1916,,,,,,,,,,,,,,,,,,,,,
11406849,home,Milan,Matteo Gabbia,matteo-gabbia,M. Gabbia,D,46,185,3401,M,,826195,EUR,940464000,D,46,46,False,65.0,60.0,6.0,2.0,46.0,47.0,14.0,18.0,2.0,5.0,6.0,,,,,90.0,79.0,7.2,5.0,0.0116232,1,,,,,,,,3.0,2.0,2.0,,1.0,,,1.0,2.0,0.0187,,,,,,,,,,,,,,,,,,,,,
11406849,home,Milan,Theo Hernández,theo-hernandez,T. Hernández,D,19,184,26616,M,TheoHdez,788027,EUR,876096000,D,19,19,False,74.0,68.0,4.0,3.0,28.0,28.0,42.0,52.0,2.0,6.0,4.0,,,,,90.0,104.0,7.3,13.0,0.0933908,4,,6.0,2.0,2.0,6.0,,3.0,,,,,4.0,1.0,5.0,1.0,,0.0782,True,1.0,3.0,,,,,,,,,,,,,,,,,,
11406849,home,Milan,Yacine Adli,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,7,7,False,93.0,77.0,9.0,3.0,31.0,32.0,46.0,62.0,,6.0,9.0,,,,,90.0,106.0,7.4,18.0,0.0535662,1,,1.0,,,3.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,0.028,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,
11406849,home,Milan,Ismaël Bennacer,ismael-bennacer,I. Bennacer,M,4,175,31837,M,IsmaëlBennacer,823733,EUR,880934400,M,4,4,False,52.0,47.0,3.0,2.0,14.0,16.0,33.0,39.0,1.0,2.0,2.0,,,,,79.0,61.0,6.7,10.0,0.0818617,0,,3.0,,1.0,5.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
11406849,home,Milan,Christian Pulišić,christian-pulisic,C. Pulišić,M,11,177,37774,M,CMPulisic,817957,EUR,906076800,M,11,11,False,35.0,29.0,,,6.0,8.0,23.0,29.0,1.0,2.0,2.0,,,,,88.0,46.0,6.4,12.0,0.0403241,2,,2.0,,,4.0,,3.0,,,,,,,1.0,1.0,,0.2163,,,,,,1.0,,2.0,1.0,1.0,1.0,0.4026,,,,,,,,,
11406849,home,Milan,Ruben Loftus-Cheek,ruben-loftus-cheek,R. Loftus-Cheek,M,8,191,7232,M,rlc,284441,EUR,822355200,M,8,8,False,27.0,24.0,1.0,,8.0,8.0,16.0,19.0,1.0,9.0,4.0,,,,,90.0,43.0,7.4,4.0,0.013087,4,,,,3.0,5.0,1.0,6.0,,,,,2.0,,,2.0,,0.3024,,,,,,6.0,1.0,1.0,,2.0,,0.0668,,,,,,,,,
11406849,home,Milan,Rafael Leão,rafael-leao,R. Leão,M,10,188,75751,M,RLeão,851284,EUR,928972800,M,10,10,False,54.0,42.0,3.0,2.0,9.0,11.0,33.0,51.0,1.0,11.0,1.0,,,,,90.0,85.0,8.8,27.0,0.327812,3,,8.0,,1.0,5.0,,8.0,,,,3.0,4.0,,4.0,,,0.1336,,,1.0,,,6.0,,2.0,,2.0,,0.987,1.0,1.0,,,,,,,
