match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_totalCross,stat_interceptionWon,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_bigChanceCreated,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_errorLeadToAShot
12514089,home,Santa Clara,Gabriel Batista,,,gabriel-batista,G. Batista,G,1,188,348,M,822526,EUR,896832000,G,1,1,False,True,23.0,12.0,19.0,8.0,0.0,7.0,8.0,5.0,15.0,3.0,4.0,1.0,9.0,2.0,2.0,2.0,2.0,1.0,90.0,32.0,7.4,12.0,0.00166165,0,0.1389,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514089,home,Santa Clara,Sidney Lima,Sidney,,sidney-lima,S. Lima,D,23,182,139,M,1131145,EUR,853459200,D,23,23,False,,44.0,34.0,9.0,4.0,0.0,12.0,14.0,22.0,30.0,1.0,3.0,5.0,2.0,,,,,,90.0,67.0,7.0,16.0,0.0182308,0,,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12514089,home,Santa Clara,Luís Rocha,,,luis-rocha,L. Rocha,D,13,186,44,M,141012,EUR,524275200,D,13,13,False,,31.0,21.0,10.0,3.0,0.0,18.0,20.0,3.0,11.0,1.0,2.0,4.0,,,,,,,90.0,42.0,6.8,10.0,0.00208077,0,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
12514089,home,Santa Clara,Matheus Araújo,Matheus,,matheus-araujo,M. Araújo,D,32,185,323,M,1105841,EUR,983404800,D,32,32,False,,44.0,33.0,12.0,5.0,0.0,17.0,20.0,16.0,24.0,2.0,7.0,3.0,9.0,3.0,,,,,90.0,60.0,7.2,14.0,0.0234259,1,,1.0,4.0,,,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,0.1716,1.0,,,,,,,,,,,,
12514089,home,Santa Clara,Diogo Calila,,,diogo-calila,D. Calila,M,2,173,593,M,892083,EUR,907977600,M,2,2,False,,33.0,25.0,3.0,1.0,1.0,12.0,15.0,13.0,21.0,,7.0,,4.0,2.0,,,,,76.0,52.0,7.4,15.0,0.0966638,0,,,3.0,3.0,1.0,4.0,3.0,1.0,1.0,,,,,,,2.0,3.0,1.0,,,,,,,,,,
12514089,home,Santa Clara,Serginho,,,serginho,Serginho,M,35,181,94,M,1019184,EUR,944006400,M,35,35,False,,35.0,29.0,4.0,2.0,0.0,18.0,19.0,11.0,19.0,1.0,7.0,,3.0,3.0,,,,,76.0,50.0,6.5,12.0,0.0631163,1,,1.0,7.0,2.0,1.0,2.0,,1.0,4.0,,1.0,,,,0.0371,,3.0,2.0,1.0,,,,,,,,,
12514089,home,Santa Clara,Adriano Firmino,,,adriano-firmino,A. Firmino,M,6,187,127,M,989383,EUR,941673600,M,6,6,False,,34.0,27.0,,,0.0,13.0,16.0,14.0,18.0,1.0,3.0,1.0,4.0,,,,,,90.0,44.0,6.4,10.0,0.00637522,0,,,5.0,1.0,,2.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,
12514089,home,Santa Clara,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,M,3,3,False,,19.0,14.0,3.0,,0.0,8.0,8.0,6.0,12.0,1.0,3.0,1.0,2.0,1.0,,,,,69.0,29.0,6.5,8.0,0.0095517,0,,1.0,4.0,,,1.0,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
12514089,home,Santa Clara,Vinícius Lopes,,,vinicius-lopes,V. Lopes,F,70,175,316,M,1001753,EUR,926035200,F,70,70,False,,23.0,16.0,2.0,1.0,0.0,3.0,4.0,13.0,20.0,4.0,7.0,1.0,1.0,,,,,,87.0,37.0,7.4,11.0,0.0249563,3,,1.0,6.0,2.0,2.0,1.0,,2.0,1.0,2.0,3.0,1.0,1.0,1.0,0.4443,1.0,1.0,,,2.0,1.0,0.8157,,,,,,
12514089,home,Santa Clara,Gabriel Silva,Gabriel Silva,,gabriel-silva,Gabriel Silva,F,10,177,795,M,1046794,EUR,1016755200,F,11,11,False,,21.0,16.0,1.0,,0.0,3.0,3.0,14.0,19.0,1.0,6.0,,6.0,2.0,,,,,90.0,46.0,6.9,18.0,0.0430235,3,,1.0,5.0,3.0,3.0,,,8.0,2.0,1.0,,3.0,,1.0,0.0789,1.0,1.0,1.0,2.0,,,,1.0,,,,,
