match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_dispossessed,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_challengeLost,stat_onTargetScoringAttempt,stat_wonTackle,stat_keyPass,stat_totalOffside,player_height,stat_bigChanceCreated,stat_bigChanceMissed,stat_goalAssist,stat_goals
11886356,home,RKVV DEM,Swen Verswijveren,Swen Verswijveren,,swen-verswijveren,S. Verswijveren,G,1,1,M,1423699,EUR,914544000,G,1,1,False,40.0,22.0,26.0,8.0,17.0,18.0,5.0,22.0,1.0,13.0,4.0,3.0,4.0,1.0,1.0,90.0,52.0,7.5,19.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11886356,home,RKVV DEM,Jesse Verswijveren,Jesse Verswijveren,,jesse-verswijveren,J. Verswijveren,M,7,1,M,1423716,EUR,976492800,D,2,2,False,18.0,12.0,,,2.0,3.0,11.0,18.0,2.0,5.0,,,,,,90.0,57.0,7.3,16.0,0,3.0,1.0,1.0,1.0,4.0,10.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,,,,,,,,,,,,,,,,,
11886356,home,RKVV DEM,Twan Verswijveren,Twan Verswijveren,,twan-verswijveren,T. Verswijveren,D,3,0,M,1423701,EUR,840326400,D,3,3,False,45.0,37.0,10.0,4.0,29.0,31.0,8.0,14.0,2.0,6.0,,,,,,90.0,62.0,7.5,10.0,1,,,3.0,,4.0,4.0,,,4.0,1.0,1.0,3.0,1.0,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11886356,home,RKVV DEM,Sem van Amersfoort,Sem,van Amersfoort,sem-van-amersfoort,S. v. Amersfoort,D,4,0,M,908448,EUR,719107200,D,4,4,False,65.0,51.0,17.0,9.0,41.0,42.0,10.0,23.0,2.0,8.0,,,,,,90.0,77.0,6.8,14.0,2,,,1.0,3.0,1.0,4.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,
11886356,home,RKVV DEM,Sem Blom,Sem,Blom,sem-blom,S. Blom,D,20,1,M,1594360,EUR,1095811200,D,5,5,False,47.0,36.0,8.0,3.0,19.0,23.0,17.0,27.0,3.0,7.0,,,,,,83.0,67.0,6.7,17.0,0,3.0,,1.0,1.0,2.0,2.0,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
11886356,home,RKVV DEM,Timo Wolters,Timo Wolters,,timo-wolters,T. Wolters,M,9,0,M,1423700,EUR,781747200,M,9,9,False,25.0,16.0,4.0,2.0,3.0,3.0,13.0,24.0,,3.0,,,,,,90.0,38.0,6.4,17.0,1,2.0,,2.0,1.0,6.0,1.0,2.0,,,,2.0,,,,2.0,,,,,,,1.0,,,,,,,,
11886356,home,RKVV DEM,Bryan Herraez Gallego,Bryan Herraez Gallego,,bryan-herraez-gallego,B. H. Gallego,M,6,0,M,1423753,EUR,852595200,M,6,6,False,26.0,14.0,3.0,1.0,5.0,7.0,9.0,19.0,1.0,2.0,,,,,,89.0,38.0,6.9,13.0,0,,,,2.0,3.0,10.0,1.0,,1.0,4.0,,4.0,1.0,,,,,,,,1.0,,2.0,,,,,,,
11886356,home,RKVV DEM,Erkan Altun,Erkan Altun,,erkan-altun,E. Altun,M,,0,M,1423745,EUR,997747200,M,16,16,False,37.0,28.0,8.0,5.0,12.0,12.0,18.0,34.0,,3.0,,,,,,90.0,64.0,7.3,19.0,1,9.0,2.0,,,5.0,7.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,,
11886356,home,RKVV DEM,Stef Bleiji,Stef Bleiji,,stef-bleiji,S. Bleiji,M,11,1,M,1627575,EUR,1084924800,M,11,11,False,7.0,7.0,2.0,2.0,4.0,4.0,3.0,6.0,1.0,2.0,,,,,,42.0,14.0,6.4,4.0,0,3.0,,,,4.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,
11886356,home,RKVV DEM,Brooklyn van Doorneveld,Brooklyn van Doorneveld,,brooklyn-van-doorneveld,B. v. Doorneveld,M,19,1,M,1423751,EUR,988329600,F,19,19,False,23.0,16.0,2.0,1.0,5.0,8.0,11.0,15.0,,3.0,,,,,,83.0,29.0,6.5,10.0,0,,,,,5.0,3.0,3.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,
