match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_keyPass,stat_wonTackle,stat_wasFouled,captain,stat_shotOffTarget,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,player_sofascoreId,stat_bigChanceMissed,stat_punches,stat_errorLeadToAShot,stat_bigChanceCreated,stat_totalOffside
10385378,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,44.0,40.0,10.0,6.0,35.0,35.0,5.0,9.0,9.0,4.0,4.0,1.0,1.0,90.0,55.0,8.0,4.0,0.0,0.0,0.00164488,0,0.3577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385378,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,D,14,14,False,23.0,18.0,4.0,4.0,10.0,10.0,9.0,17.0,5.0,,,,,76.0,49.0,7.0,11.0,0.3282,0.0926,0.0393035,2,,,,4.0,1.0,2.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,
10385378,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,58.0,53.0,10.0,9.0,36.0,39.0,17.0,19.0,6.0,,,,,90.0,66.0,7.5,6.0,0.0,0.0,0.00901276,0,,,,,,,3.0,,6.0,,,,,,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,
10385378,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,80.0,68.0,10.0,6.0,54.0,61.0,14.0,20.0,5.0,,,,,90.0,86.0,7.0,13.0,0.0325,0.0,0.00721728,1,,,,1.0,,3.0,5.0,4.0,6.0,1.0,,,,,1.0,,1.0,,,,,True,1.0,,,,,,,,,
10385378,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,50.0,40.0,4.0,,22.0,26.0,21.0,29.0,7.0,,,,,90.0,75.0,7.3,16.0,0.0,0.0,0.145051,0,,,,5.0,3.0,,2.0,2.0,5.0,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,
10385378,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,False,37.0,31.0,3.0,2.0,9.0,11.0,22.0,26.0,,,,,,90.0,47.0,7.1,6.0,0.1505,0.2422,0.107936,4,,,,,,,1.0,1.0,2.0,1.0,,,1.0,2.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,
10385378,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,29.0,22.0,3.0,1.0,9.0,12.0,13.0,17.0,10.0,,,,,90.0,43.0,7.2,11.0,0.0,0.0,0.00633355,0,,,,,,1.0,2.0,2.0,7.0,1.0,,,,,2.0,,4.0,,,3.0,1.0,,,,1.0,4.0,Palhinha,,,,,
10385378,home,Fulham,Neeskens Kebano,neeskens-kebano,N. Kebano,M,92,172,576,M,137786,EUR,700185600,M,7,7,False,13.0,11.0,,,2.0,2.0,9.0,14.0,4.0,,,,,67.0,26.0,6.5,9.0,0.0,0.0,0.0722782,0,,,,3.0,,3.0,,6.0,3.0,1.0,1.0,3.0,,,1.0,1.0,,,1.0,,1.0,,,2.0,,2.0,,,,,,
10385378,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,30.0,20.0,2.0,,3.0,4.0,22.0,36.0,1.0,,,,,76.0,48.0,7.3,18.0,0.0284,0.0,0.35024,1,,,,10.0,5.0,,1.0,4.0,3.0,,1.0,2.0,,,,,,1.0,7.0,,2.0,,1.0,,,,andreaspereira,,,,,
10385378,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,M,20,20,False,44.0,40.0,5.0,4.0,6.0,6.0,35.0,42.0,7.0,,,,,90.0,64.0,7.5,13.0,0.7769,1.0024,0.112598,4,,,,4.0,1.0,,,1.0,2.0,,1.0,1.0,3.0,,1.0,,,,4.0,,1.0,,1.0,1.0,,5.0,willianborges88,1.0,,,,
