match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_wasFouled,captain,stat_aerialLost,stat_aerialWon,stat_errorLeadToAGoal,stat_fouls,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_challengeLost,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_shotOffTarget,stat_hitWoodwork,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_totalOffside,stat_blockedScoringAttempt,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated
14429556,home,Al-Najma SC,Victor Braga,victor-braga,V. Braga,G,1,193.0,79,M,805020,EUR,698284800,G,1,1,False,17.0,13.0,6.0,2.0,0.0,12.0,14.0,1.0,3.0,1.0,6.0,2.0,2.0,1.0,90.0,24.0,6.4,4.0,0.00018536,0.2447,0,0.1987,0.01,0.01,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Fahad Al Abdulrazzaq,fahad-al-abdulrazzaq,F. A. Abdulrazzaq,D,19,170.0,23,M,1521216,EUR,956534400,D,19,19,False,19.0,13.0,2.0,,0.0,6.0,9.0,7.0,10.0,2.0,2.0,,,,84.0,44.0,7.0,7.0,0.00637859,,0,,-0.02,0.15,-0.07,,Fahad Al Abdulrazzaq,1.0,8.0,1.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Jawad El Yamiq,jawad-el-yamiq,J. E. Yamiq,D,18,190.0,4432,M,877103,EUR,699321600,D,5,5,False,51.0,40.0,10.0,2.0,0.0,36.0,40.0,4.0,11.0,8.0,3.0,,,,90.0,64.0,5.7,12.0,0.00588569,,0,,0.01,0.16,-0.62,,,3.0,4.0,,1.0,,1.0,True,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Samir Caetano,samir-caetano,S. Caetano,D,3,188.0,361,M,331405,EUR,786585600,D,3,3,False,53.0,47.0,2.0,2.0,0.0,34.0,38.0,13.0,15.0,2.0,5.0,,,,90.0,62.0,7.8,6.0,0.00813528,,1,,0.14,0.11,0.18,,,2.0,3.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0702,0.6433,0.54,,,,,,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Mohammed Al-Konaideri,mohammed-al-konaideri,M. Al-Konaideri,D,12,175.0,21,M,1019340,EUR,971222400,D,12,12,False,16.0,12.0,,,0.0,9.0,13.0,3.0,3.0,2.0,6.0,,,,42.0,27.0,6.9,5.0,0.00281518,,0,,-0.02,-0.04,0.29,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Khalid Al-Shammari,khalid-al-shammari,K. Al-Shammari,D,6,181.0,12,,1914895,EUR,947116800,M,6,6,False,64.0,59.0,6.0,4.0,0.0,46.0,47.0,13.0,17.0,3.0,8.0,,,,90.0,80.0,7.2,5.0,0.00523708,,0,,0.19,0.15,0.16,,Khalid Al-Shammari,4.0,6.0,,2.0,,2.0,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
14429556,home,Al-Najma SC,Bilal Boutobba,bilal-boutobba,B. Boutobba,M,98,172.0,465,M,769163,EUR,904348800,M,98,98,False,14.0,11.0,,,0.0,4.0,5.0,7.0,9.0,1.0,2.0,,,,90.0,33.0,6.5,9.0,0.0369283,,2,,-0.04,0.25,-0.03,,,8.0,6.0,3.0,1.0,,1.0,,3.0,2.0,,1.0,,,,,0.0633,,-0.16,3.0,,2.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,
14429556,home,Al-Najma SC,Deybi Flores,deybi-flores,D. Flores,M,,179.0,432,M,791600,EUR,834883200,M,20,20,False,44.0,32.0,13.0,5.0,0.0,14.0,17.0,18.0,27.0,2.0,5.0,,,,90.0,50.0,6.5,15.0,0.015595,,0,,0.22,0.07,-0.14,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,2.0,2.0,,,,,,,
14429556,home,Al-Najma SC,Abdulelah Alshamary,abdulelah-alshamary,A. Alshamary,M,8,172.0,38,M,931838,EUR,917136000,M,8,8,False,21.0,15.0,2.0,,0.0,13.0,16.0,2.0,5.0,,4.0,,,,59.0,43.0,6.4,16.0,0.00432041,,0,,-0.08,0.17,-0.08,,,7.0,5.0,4.0,4.0,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,4.0,,,,,,,,
14429556,home,Al-Najma SC,Ali Jasim,elaibi-ali-jasim,A. Jasim,M,14,182.0,8482,M,1066729,EUR,1074556800,M,14,14,False,17.0,13.0,,,0.0,9.0,9.0,4.0,8.0,,2.0,,,,59.0,28.0,6.1,10.0,0.00270747,,0,,-0.09,0.03,-0.11,,Ali Jasim Elaibi,10.0,2.0,1.0,,,1.0,,1.0,,,2.0,,,,,,,,4.0,3.0,1.0,,,,,,,2.0,,ali_jasim.7,1.0,,,,,
