match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_dispossessed,stat_wonTackle,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_goals,captain,stat_punches
10382005,home,Fortuna Sittard,Yanick van Osch,,,yanick-van-osch,Y. van Osch,G,1,183,70,M,361764,EUR,859161600,G,1,1,False,34.0,21.0,29.0,16.0,8.0,9.0,13.0,25.0,10.0,2.0,3.0,4.0,90.0,43.0,6.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382005,home,Fortuna Sittard,Mickael Tirpan,,,mickael-tirpan,M. Tirpan,D,25,177,59,M,800340,EUR,751334400,D,25,25,False,26.0,21.0,4.0,2.0,10.0,11.0,12.0,18.0,1.0,,,,76.0,51.0,6.9,10.0,0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10382005,home,Fortuna Sittard,Rodrigo Guth,Rodrigo,Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,33.0,25.0,6.0,,19.0,21.0,6.0,12.0,6.0,,,,90.0,47.0,6.6,9.0,1,,,,1.0,2.0,,5.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
10382005,home,Fortuna Sittard,Dimitrios Siovas,Dimitrios,Siovas,dimitrios-siovas,D. Siovas,D,,191,184,M,41165,EUR,590284800,D,33,33,False,20.0,16.0,3.0,1.0,13.0,15.0,3.0,5.0,1.0,,,,80.0,29.0,6.8,4.0,2,,,2.0,2.0,2.0,,4.0,1.0,,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,
10382005,home,Fortuna Sittard,George Cox,George,Cox,george-cox,G. Cox,M,,171,91,M,920556,EUR,884736000,D,5,5,False,19.0,12.0,7.0,4.0,4.0,4.0,10.0,18.0,4.0,,,,90.0,41.0,6.5,12.0,0,3.0,2.0,1.0,2.0,4.0,,1.0,2.0,2.0,,,1.0,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,
10382005,home,Fortuna Sittard,Íñigo Cordoba,,,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,22.0,16.0,1.0,1.0,8.0,8.0,8.0,15.0,5.0,,,,60.0,36.0,7.1,12.0,3,1.0,,1.0,4.0,4.0,,1.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,,,,,
10382005,home,Fortuna Sittard,Deroy Duarte,,,deroy-duarte,D. Duarte,M,23,177,217,M,921089,EUR,931046400,M,6,6,False,25.0,23.0,,,7.0,8.0,16.0,17.0,3.0,,,,90.0,31.0,6.4,3.0,1,,,1.0,3.0,2.0,2.0,,2.0,,,,2.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,
10382005,home,Fortuna Sittard,Arianit Ferati,,,arianit-ferati,A. Ferati,M,10,168,71,M,548088,EUR,873590400,M,19,19,False,31.0,26.0,2.0,2.0,12.0,12.0,14.0,19.0,8.0,,,,90.0,49.0,7.5,7.0,0,,,1.0,5.0,9.0,,,2.0,6.0,,1.0,3.0,2.0,3.0,2.0,,,,,1.0,3.0,,,,,,
10382005,home,Fortuna Sittard,Paul Gladon,,,paul-gladon,P. Gladon,F,19,188,61,M,148615,EUR,700876800,F,11,11,False,21.0,12.0,1.0,1.0,2.0,3.0,10.0,18.0,3.0,,,,60.0,27.0,6.8,11.0,3,,,3.0,5.0,3.0,,,,,,2.0,2.0,3.0,,,,,2.0,1.0,,,,2.0,1.0,,,
10382005,home,Fortuna Sittard,Burak Yılmaz,,,burak-yilmaz,B. Yılmaz,F,,188,1198,,18864,EUR,490233600,F,17,17,False,21.0,15.0,1.0,1.0,6.0,6.0,10.0,17.0,1.0,,,,90.0,37.0,7.3,13.0,4,2.0,1.0,2.0,4.0,4.0,,1.0,,,1.0,2.0,1.0,1.0,3.0,1.0,2.0,,4.0,1.0,,,,1.0,,1.0,,
10382005,home,Fortuna Sittard,Mats Seuntjens,,,mats-seuntjens,M. Seuntjens,M,20,187,138,M,163541,EUR,703468800,F,10,10,False,24.0,17.0,4.0,3.0,5.0,6.0,16.0,24.0,4.0,,,,90.0,48.0,7.0,14.0,2,6.0,4.0,,8.0,4.0,1.0,,1.0,1.0,2.0,2.0,5.0,,6.0,1.0,1.0,,,1.0,,,,,,,True,
10382005,home,Fortuna Sittard,Cole Bassett,,,cole-bassett,C. Bassett,M,23,180,214,M,945420,EUR,996278400,M,8,8,True,13.0,10.0,1.0,1.0,1.0,1.0,9.0,12.0,3.0,,,,30.0,20.0,6.5,5.0,2,,,2.0,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,
10382005,home,Fortuna Sittard,Tijjani Noslin,,,tijjani-noslin,T. Noslin,F,14,177,1224,M,1069244,EUR,931305600,F,77,77,True,12.0,10.0,,,2.0,2.0,8.0,10.0,4.0,,,,30.0,19.0,6.4,6.0,1,,,2.0,4.0,2.0,,,,,,1.0,,2.0,,,,,3.0,,1.0,,,1.0,,,,
