match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_expectedGoals,stat_totalCross,stat_challengeLost,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goodHighClaim,stat_lastManTackle,stat_totalOffside
12451057,home,Stade Rennais,Steve Mandanda,steve-mandanda,S. Mandanda,G,30,185,792,M,27029,EUR,480816000,G,30,30,False,True,23.0,20.0,7.0,4.0,0.0,17.0,18.0,3.0,5.0,7.0,1.0,1.0,1.0,1.0,90.0,27.0,7.1,3.0,0.00183534,0,0.2562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12451057,home,Stade Rennais,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,,41.0,37.0,,,0.0,16.0,17.0,21.0,24.0,7.0,,,,,78.0,71.0,7.7,12.0,0.0208344,0,,Alidu Seidu,,2.0,5.0,10.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
12451057,home,Stade Rennais,Christopher Wooh,christopher-wooh,C. Wooh,D,3,190,3805,M,930231,EUR,1000771200,D,4,4,False,,85.0,79.0,1.0,1.0,0.0,40.0,40.0,39.0,45.0,1.0,,,,,90.0,97.0,7.8,6.0,0.0214009,2,,,,,,5.0,,,,1.0,3.0,2.0,,,,,chriswooh,2.0,1.0,1.0,2.0,1.0,0.3012,,,,,,,,,,,,
12451057,home,Stade Rennais,Mikayil Faye,mikayil-faye,M. Faye,D,30,183,9505,M,1002564,EUR,1089763200,D,15,15,False,,89.0,84.0,2.0,1.0,0.0,40.0,41.0,44.0,48.0,5.0,,,,,74.0,97.0,7.5,5.0,0.227631,1,,,,,2.0,3.0,,,,1.0,1.0,1.0,,,2.0,,mikayilfaye,2.0,,1.0,3.0,1.0,0.0969,,,,,,,,,,,,
12451057,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176,1506,M,999028,EUR,1006214400,D,3,3,False,,58.0,51.0,3.0,1.0,0.0,20.0,22.0,31.0,42.0,2.0,,,,,90.0,87.0,7.7,16.0,0.0283881,1,,,,,2.0,4.0,,,,4.0,1.0,,1.0,1.0,1.0,,,2.0,1.0,,2.0,,0.0165,6.0,1.0,,,,,,,,,,
12451057,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180,1176,M,806076,EUR,883526400,M,11,11,False,,30.0,28.0,2.0,2.0,0.0,10.0,11.0,20.0,24.0,4.0,,,,,90.0,57.0,6.7,15.0,0.482451,6,,,,5.0,12.0,4.0,1.0,7.0,1.0,,,,3.0,2.0,,2.0,,1.0,2.0,2.0,,,0.6797,5.0,,2.0,1.0,2.0,1.2275,,,,,,
12451057,home,Stade Rennais,Glen Kamara,glen-kamara,G. Kamara,M,4,183,808,M,292665,EUR,814838400,M,28,28,False,,54.0,48.0,2.0,2.0,0.0,13.0,14.0,35.0,40.0,6.0,,,,,90.0,59.0,7.1,6.0,0.0826702,0,,,,,2.0,3.0,,,,2.0,2.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
12451057,home,Stade Rennais,Andrés Gómez,andres-gomez,A. Gómez,M,11,172,4058,M,1160386,EUR,1031788800,M,20,20,False,,18.0,17.0,,,0.0,4.0,4.0,14.0,17.0,2.0,,,,,70.0,28.0,7.5,5.0,0.0583733,2,,,,,3.0,2.0,,2.0,1.0,,1.0,1.0,,,2.0,1.0,,,,1.0,,,0.0663,3.0,,1.0,,1.0,0.7804,1.0,,,,,
12451057,home,Stade Rennais,Albert Grønbæk,albert-gronbaek,A. Grønbæk,M,11,176,1696,M,1000263,EUR,990576000,M,7,7,False,,35.0,23.0,4.0,1.0,0.0,3.0,3.0,21.0,42.0,2.0,,,,,79.0,61.0,6.8,27.0,0.0847798,4,,,,,3.0,1.0,,3.0,1.0,,,,4.0,,,,,,2.0,2.0,,,0.1279,10.0,1.0,1.0,,,,,,,,,
12451057,home,Stade Rennais,Jota,jota,Jota,F,7,175,5325,M,845786,EUR,922752000,M,27,27,False,,32.0,26.0,2.0,1.0,0.0,9.0,10.0,18.0,24.0,6.0,,,,,70.0,48.0,7.0,13.0,0.207996,1,,,,1.0,5.0,1.0,,4.0,1.0,1.0,,,2.0,,,4.0,jotafilipe_7,,1.0,,,,0.0763,2.0,1.0,1.0,,,,,,,,,
